#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.1500000 	 -2.5000000 	 7.6403000 	 0.0438000 	 1.6169000 	 0.0651000 	 0.0480000 	 0.6757000
6.9000000 	 -1.1500000 	 -2.2500000 	 5.7091000 	 0.0794000 	 1.7692000 	 0.0728000 	 0.0540000 	 0.6155000
6.9000000 	 -1.1500000 	 -2.0000000 	 4.2559000 	 0.1154000 	 1.9746000 	 0.0681000 	 0.0501000 	 0.4966000
6.9000000 	 -1.0250000 	 -2.5000000 	 7.6545000 	 0.0564000 	 1.6151000 	 0.0650000 	 0.0639000 	 0.6750000
6.9000000 	 -1.0250000 	 -2.2500000 	 5.7030000 	 0.1026000 	 1.7697000 	 0.0728000 	 0.0720000 	 0.6155000
6.9000000 	 -1.0250000 	 -2.0000000 	 4.3425000 	 0.1486000 	 1.9691000 	 0.0679000 	 0.0665000 	 0.4967000
6.9000000 	 -0.9000000 	 -2.5000000 	 7.6892000 	 0.0727000 	 1.6117000 	 0.0647000 	 0.0850000 	 0.6738000
6.9000000 	 -0.9000000 	 -2.2500000 	 5.6977000 	 0.1329000 	 1.7708000 	 0.0727000 	 0.0959000 	 0.6155000
6.9000000 	 -0.9000000 	 -2.0000000 	 4.3119000 	 0.1931000 	 1.9718000 	 0.0679000 	 0.0887000 	 0.4966000
7.0000000 	 -1.1500000 	 -2.5000000 	 7.6683000 	 0.0531000 	 1.6141000 	 0.0809000 	 0.0598000 	 0.8469000
7.0000000 	 -1.1500000 	 -2.2500000 	 5.6846000 	 0.0970000 	 1.7732000 	 0.0910000 	 0.0675000 	 0.7740000
7.0000000 	 -1.1500000 	 -2.0000000 	 4.2720000 	 0.1412000 	 1.9773000 	 0.0853000 	 0.0627000 	 0.6249000
7.0000000 	 -0.9000000 	 -2.5000000 	 7.7076000 	 0.0885000 	 1.6116000 	 0.0806000 	 0.1059000 	 0.8455000
7.0000000 	 -0.9000000 	 -2.2500000 	 5.5858000 	 0.1644000 	 1.7864000 	 0.0914000 	 0.1206000 	 0.7770000
7.0000000 	 -0.9000000 	 -2.0000000 	 4.3049000 	 0.2374000 	 1.9760000 	 0.0850000 	 0.1112000 	 0.6249000
7.2000000 	 -1.1500000 	 -2.5000000 	 7.6081000 	 0.0780000 	 1.6224000 	 0.1244000 	 0.0921000 	 1.3326000
