#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry, stop criterion: 98% free electrons, no grains
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 80.7273000 	 0.0000000 	 0.2722000 	 0.0000000 	 0.0000000 	 0.0218000
6.9000000 	 -1.4000000 	 -3.7500000 	 82.5572000 	 0.0000000 	 0.4827000 	 0.0013000 	 0.0015000 	 0.0692000
6.9000000 	 -1.4000000 	 -3.5000000 	 33.9779000 	 0.0000000 	 0.8391000 	 0.0070000 	 0.0050000 	 0.2187000
6.9000000 	 -1.4000000 	 -3.2500000 	 35.4091000 	 0.0000000 	 1.1119000 	 0.0177000 	 0.0087000 	 0.4153000
6.9000000 	 -1.4000000 	 -3.0000000 	 37.0763000 	 0.0038000 	 1.2752000 	 0.0338000 	 0.0142000 	 0.5858000
6.9000000 	 -1.4000000 	 -2.7500000 	 38.6180000 	 0.0116000 	 1.3532000 	 0.0542000 	 0.0217000 	 0.6989000
6.9000000 	 -1.4000000 	 -2.5000000 	 39.9783000 	 0.0278000 	 1.3553000 	 0.0782000 	 0.0303000 	 0.7607000
6.9000000 	 -1.4000000 	 -2.2500000 	 40.6025000 	 0.0542000 	 1.3302000 	 0.1104000 	 0.0384000 	 0.8098000
6.9000000 	 -1.4000000 	 -2.0000000 	 40.5380000 	 0.0889000 	 1.2823000 	 0.1575000 	 0.0429000 	 0.8709000
6.9000000 	 -1.4000000 	 -1.7500000 	 39.7114000 	 0.1254000 	 1.2212000 	 0.2347000 	 0.0415000 	 0.9688000
6.9000000 	 -1.4000000 	 -1.5000000 	 37.9140000 	 0.1589000 	 1.1665000 	 0.3515000 	 0.0357000 	 1.1196000
6.9000000 	 -1.4000000 	 -1.2500000 	 35.6965000 	 0.2045000 	 1.1348000 	 0.4412000 	 0.0314000 	 1.2370000
6.9000000 	 -1.4000000 	 -1.0000000 	 33.6564000 	 0.3034000 	 1.1220000 	 0.4880000 	 0.0305000 	 1.3117000
6.9000000 	 -1.4000000 	 -0.7500000 	 31.9175000 	 0.4693000 	 1.1297000 	 0.5391000 	 0.0290000 	 1.4193000
6.9000000 	 -1.4000000 	 -0.5000000 	 30.3727000 	 0.6795000 	 1.1560000 	 0.6338000 	 0.0247000 	 1.6100000
6.9000000 	 -1.2750000 	 -4.0000000 	 80.7246000 	 0.0000000 	 0.2722000 	 0.0000000 	 0.0000000 	 0.0218000
6.9000000 	 -1.2750000 	 -3.7500000 	 82.5542000 	 0.0000000 	 0.4827000 	 0.0013000 	 0.0032000 	 0.0692000
6.9000000 	 -1.2750000 	 -3.5000000 	 33.9753000 	 0.0000000 	 0.8391000 	 0.0070000 	 0.0065000 	 0.2187000
6.9000000 	 -1.2750000 	 -3.2500000 	 35.4060000 	 0.0000000 	 1.1119000 	 0.0177000 	 0.0116000 	 0.4153000
6.9000000 	 -1.2750000 	 -3.0000000 	 37.0726000 	 0.0050000 	 1.2752000 	 0.0338000 	 0.0189000 	 0.5857000
6.9000000 	 -1.2750000 	 -2.7500000 	 38.6126000 	 0.0152000 	 1.3533000 	 0.0542000 	 0.0290000 	 0.6989000
6.9000000 	 -1.2750000 	 -2.5000000 	 39.9703000 	 0.0358000 	 1.3551000 	 0.0781000 	 0.0404000 	 0.7605000
6.9000000 	 -1.2750000 	 -2.2500000 	 40.5979000 	 0.0698000 	 1.3298000 	 0.1103000 	 0.0511000 	 0.8094000
6.9000000 	 -1.2750000 	 -2.0000000 	 40.5409000 	 0.1155000 	 1.2833000 	 0.1575000 	 0.0572000 	 0.8711000
6.9000000 	 -1.2750000 	 -1.7500000 	 39.7012000 	 0.1637000 	 1.2218000 	 0.2342000 	 0.0554000 	 0.9680000
6.9000000 	 -1.2750000 	 -1.5000000 	 37.9189000 	 0.2082000 	 1.1667000 	 0.3505000 	 0.0478000 	 1.1180000
6.9000000 	 -1.2750000 	 -1.2500000 	 35.7078000 	 0.2679000 	 1.1347000 	 0.4400000 	 0.0418000 	 1.2350000
6.9000000 	 -1.2750000 	 -1.0000000 	 33.6435000 	 0.3976000 	 1.1234000 	 0.4860000 	 0.0405000 	 1.3082000
6.9000000 	 -1.2750000 	 -0.7500000 	 31.8918000 	 0.6156000 	 1.1311000 	 0.5357000 	 0.0383000 	 1.4139000
6.9000000 	 -1.2750000 	 -0.5000000 	 30.3537000 	 0.8919000 	 1.1584000 	 0.6283000 	 0.0327000 	 1.6012000
6.9000000 	 -1.1500000 	 -4.0000000 	 80.7211000 	 0.0000000 	 0.2722000 	 0.0000000 	 0.0012000 	 0.0218000
6.9000000 	 -1.1500000 	 -3.7500000 	 82.5503000 	 0.0000000 	 0.4827000 	 0.0013000 	 0.0043000 	 0.0692000
6.9000000 	 -1.1500000 	 -3.5000000 	 33.9714000 	 0.0000000 	 0.8391000 	 0.0070000 	 0.0088000 	 0.2186000
6.9000000 	 -1.1500000 	 -3.2500000 	 35.4018000 	 0.0011000 	 1.1118000 	 0.0177000 	 0.0154000 	 0.4152000
6.9000000 	 -1.1500000 	 -3.0000000 	 37.0638000 	 0.0065000 	 1.2756000 	 0.0338000 	 0.0252000 	 0.5858000
6.9000000 	 -1.1500000 	 -2.7500000 	 38.5826000 	 0.0199000 	 1.3560000 	 0.0542000 	 0.0387000 	 0.6995000
6.9000000 	 -1.1500000 	 -2.5000000 	 39.9284000 	 0.0464000 	 1.3571000 	 0.0782000 	 0.0538000 	 0.7609000
6.9000000 	 -1.1500000 	 -2.2500000 	 40.5913000 	 0.0904000 	 1.3296000 	 0.1101000 	 0.0681000 	 0.8091000
6.9000000 	 -1.1500000 	 -2.0000000 	 40.5170000 	 0.1503000 	 1.2821000 	 0.1570000 	 0.0761000 	 0.8698000
6.9000000 	 -1.1500000 	 -1.7500000 	 39.6818000 	 0.2151000 	 1.2237000 	 0.2337000 	 0.0740000 	 0.9672000
6.9000000 	 -1.1500000 	 -1.5000000 	 37.8925000 	 0.2747000 	 1.1676000 	 0.3495000 	 0.0641000 	 1.1167000
6.9000000 	 -1.1500000 	 -1.2500000 	 35.6646000 	 0.3529000 	 1.1369000 	 0.4388000 	 0.0558000 	 1.2331000
6.9000000 	 -1.1500000 	 -1.0000000 	 33.6333000 	 0.5220000 	 1.1242000 	 0.4837000 	 0.0537000 	 1.3045000
6.9000000 	 -1.1500000 	 -0.7500000 	 31.8731000 	 0.8077000 	 1.1329000 	 0.5314000 	 0.0507000 	 1.4071000
6.9000000 	 -1.1500000 	 -0.5000000 	 30.3358000 	 1.1695000 	 1.1615000 	 0.6211000 	 0.0432000 	 1.5898000
6.9000000 	 -1.0250000 	 -4.0000000 	 80.7164000 	 0.0000000 	 0.2722000 	 0.0000000 	 0.0027000 	 0.0218000
6.9000000 	 -1.0250000 	 -3.7500000 	 82.5451000 	 0.0000000 	 0.4826000 	 0.0013000 	 0.0057000 	 0.0692000
6.9000000 	 -1.0250000 	 -3.5000000 	 33.9663000 	 0.0000000 	 0.8391000 	 0.0070000 	 0.0116000 	 0.2186000
6.9000000 	 -1.0250000 	 -3.2500000 	 35.3964000 	 0.0015000 	 1.1118000 	 0.0177000 	 0.0206000 	 0.4152000
6.9000000 	 -1.0250000 	 -3.0000000 	 37.0571000 	 0.0086000 	 1.2757000 	 0.0338000 	 0.0337000 	 0.5857000
6.9000000 	 -1.0250000 	 -2.7500000 	 38.6012000 	 0.0258000 	 1.3530000 	 0.0541000 	 0.0515000 	 0.6986000
6.9000000 	 -1.0250000 	 -2.5000000 	 39.9420000 	 0.0597000 	 1.3551000 	 0.0779000 	 0.0715000 	 0.7599000
6.9000000 	 -1.0250000 	 -2.2500000 	 40.5993000 	 0.1173000 	 1.3289000 	 0.1099000 	 0.0906000 	 0.8086000
6.9000000 	 -1.0250000 	 -2.0000000 	 40.5127000 	 0.1966000 	 1.2820000 	 0.1565000 	 0.1013000 	 0.8689000
6.9000000 	 -1.0250000 	 -1.7500000 	 39.6659000 	 0.2834000 	 1.2238000 	 0.2326000 	 0.0990000 	 0.9657000
6.9000000 	 -1.0250000 	 -1.5000000 	 37.8687000 	 0.3642000 	 1.1693000 	 0.3480000 	 0.0860000 	 1.1145000
6.9000000 	 -1.0250000 	 -1.2500000 	 35.6451000 	 0.4662000 	 1.1382000 	 0.4369000 	 0.0745000 	 1.2301000
6.9000000 	 -1.0250000 	 -1.0000000 	 33.5999000 	 0.6863000 	 1.1260000 	 0.4805000 	 0.0711000 	 1.2995000
6.9000000 	 -1.0250000 	 -0.7500000 	 31.8441000 	 1.0587000 	 1.1357000 	 0.5258000 	 0.0668000 	 1.3978000
6.9000000 	 -1.0250000 	 -0.5000000 	 30.3108000 	 1.5310000 	 1.1650000 	 0.6121000 	 0.0567000 	 1.5756000
6.9000000 	 -0.9000000 	 -4.0000000 	 80.7102000 	 0.0000000 	 0.2722000 	 0.0000000 	 0.0037000 	 0.0218000
6.9000000 	 -0.9000000 	 -3.7500000 	 82.5382000 	 0.0000000 	 0.4826000 	 0.0013000 	 0.0076000 	 0.0692000
6.9000000 	 -0.9000000 	 -3.5000000 	 33.9595000 	 0.0000000 	 0.8391000 	 0.0070000 	 0.0155000 	 0.2185000
6.9000000 	 -0.9000000 	 -3.2500000 	 35.3890000 	 0.0030000 	 1.1118000 	 0.0177000 	 0.0274000 	 0.4151000
6.9000000 	 -0.9000000 	 -3.0000000 	 37.0035000 	 0.0114000 	 1.2805000 	 0.0339000 	 0.0450000 	 0.5873000
6.9000000 	 -0.9000000 	 -2.7500000 	 38.5993000 	 0.0334000 	 1.3526000 	 0.0540000 	 0.0686000 	 0.6982000
6.9000000 	 -0.9000000 	 -2.5000000 	 39.9237000 	 0.0773000 	 1.3552000 	 0.0778000 	 0.0953000 	 0.7596000
6.9000000 	 -0.9000000 	 -2.2500000 	 40.5509000 	 0.1532000 	 1.3305000 	 0.1097000 	 0.1208000 	 0.8085000
6.9000000 	 -0.9000000 	 -2.0000000 	 40.4826000 	 0.2582000 	 1.2831000 	 0.1560000 	 0.1352000 	 0.8682000
6.9000000 	 -0.9000000 	 -1.7500000 	 39.6482000 	 0.3751000 	 1.2248000 	 0.2314000 	 0.1326000 	 0.9637000
6.9000000 	 -0.9000000 	 -1.5000000 	 37.8590000 	 0.4843000 	 1.1711000 	 0.3458000 	 0.1155000 	 1.1109000
6.9000000 	 -0.9000000 	 -1.2500000 	 35.6198000 	 0.6177000 	 1.1400000 	 0.4345000 	 0.0993000 	 1.2262000
