#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: Adveted Dominated Flows (ADAF, Nehmen, 2014)
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000 -1.4000 -4.0000 33.7493 0.0000 0.0000 0.4628 0.0000 0.0000 0.0218
6.9000 -1.4000 -3.7500 32.4107 0.0000 0.0000 0.6797 0.0012 0.0015 0.0655
6.9000 -1.4000 -3.5000 27.0342 0.0000 0.0000 0.8608 0.0056 0.0045 0.1725
6.9000 -1.4000 -3.2500 19.1918 0.0000 0.0000 0.9874 0.0155 0.0081 0.3445
6.9000 -1.4000 -3.0000 12.0790 0.0000 0.0015 1.0668 0.0313 0.0134 0.5218
6.9000 -1.4000 -2.7500 7.9540 0.0000 0.0071 1.1502 0.0533 0.0207 0.6769
6.9000 -1.4000 -2.5000 5.7476 0.0000 0.0187 1.2599 0.0809 0.0296 0.7919
6.9000 -1.4000 -2.2500 4.4598 0.0000 0.0404 1.4261 0.1126 0.0385 0.8603
6.9000 -1.4000 -2.0000 3.2861 0.0030 0.0718 1.6720 0.1438 0.0446 0.8706
6.9000 -1.4000 -1.7500 2.8178 0.0079 0.1026 1.9875 0.1614 0.0430 0.7999
6.9000 -1.4000 -1.5000 2.3861 0.0154 0.1147 2.3432 0.1512 0.0338 0.6513
6.9000 -1.4000 -1.2500 2.2557 0.0217 0.1014 2.6666 0.1141 0.0221 0.4606
6.9000 -1.4000 -1.0000 1.9709 0.0225 0.0739 2.8877 0.0711 0.0129 0.2850
6.9000 -1.4000 -0.7500 1.8291 0.0181 0.0467 2.9678 0.0408 0.0073 0.1610
6.9000 -1.4000 -0.5000 1.5477 0.0127 0.0270 2.9453 0.0363 0.0043 0.1027
7.0000 -1.4000 -3.7500 32.6097 0.0000 0.0000 0.6708 0.0014 0.0030 0.0797
7.0000 -1.4000 -3.5000 27.1459 0.0000 0.0000 0.8556 0.0070 0.0056 0.2141
7.0000 -1.4000 -3.2500 18.6531 0.0000 0.0000 0.9925 0.0193 0.0101 0.4341
7.0000 -1.4000 -3.0000 12.0318 0.0000 0.0018 1.0682 0.0389 0.0167 0.6540
7.0000 -1.4000 -2.7500 8.3389 0.0000 0.0089 1.1518 0.0661 0.0258 0.8480
7.0000 -1.4000 -2.5000 5.7802 0.0000 0.0231 1.2617 0.1003 0.0368 0.9925
7.0000 -1.4000 -2.2500 4.4658 0.0000 0.0493 1.4301 0.1399 0.0480 1.0799
7.0000 -1.4000 -2.0000 3.5536 0.0038 0.0875 1.6747 0.1786 0.0553 1.0916
7.0000 -1.4000 -1.7500 2.9310 0.0097 0.1254 1.9944 0.2009 0.0536 1.0056
7.0000 -1.4000 -1.5000 2.4290 0.0189 0.1403 2.3513 0.1885 0.0422 0.8192
7.0000 -1.4000 -1.2500 2.1792 0.0267 0.1241 2.6770 0.1427 0.0277 0.5803
7.0000 -1.4000 -1.0000 1.9256 0.0278 0.0909 2.8994 0.0892 0.0162 0.3594
7.0000 -1.4000 -0.7500 1.8903 0.0225 0.0576 2.9764 0.0511 0.0091 0.2031
7.0000 -1.4000 -0.5000 1.6567 0.0159 0.0335 2.9438 0.0445 0.0054 0.1282
7.0000 -1.4000 -4.0000 33.5963 0.0000 0.0000 0.4627 0.0000 0.0000 0.0274
7.1000 -1.4000 -3.7500 32.4801 0.0000 0.0000 0.6696 0.0018 0.0037 0.0994
7.1000 -1.4000 -3.5000 27.1487 0.0000 0.0000 0.8625 0.0087 0.0070 0.2707
7.1000 -1.4000 -3.2500 18.5815 0.0000 0.0000 0.9935 0.0240 0.0126 0.5434
7.1000 -1.4000 -3.0000 11.6715 0.0000 0.0035 1.0776 0.0486 0.0209 0.8253
7.1000 -1.4000 -2.7500 7.9911 0.0000 0.0109 1.1534 0.0818 0.0320 1.0617
7.1000 -1.4000 -2.5000 5.6854 0.0000 0.0283 1.2669 0.1245 0.0457 1.2457
7.1000 -1.4000 -2.2500 4.2475 0.0000 0.0602 1.4381 0.1737 0.0597 1.3571
7.1000 -1.4000 -2.0000 3.4787 0.0047 0.1069 1.6830 0.2216 0.0687 1.3715
7.1000 -1.4000 -1.7500 2.9520 0.0120 0.1533 2.0043 0.2496 0.0668 1.2643
7.1000 -1.4000 -1.5000 2.4052 0.0233 0.1719 2.3690 0.2352 0.0528 1.0331
7.1000 -1.4000 -1.2500 2.1316 0.0328 0.1522 2.6956 0.1785 0.0346 0.7325
7.1000 -1.4000 -1.0000 2.0010 0.0342 0.1118 2.9174 0.1118 0.0203 0.4539
7.1000 -1.4000 -0.7500 1.7887 0.0280 0.0711 2.9885 0.0640 0.0114 0.2561
7.1000 -1.4000 -0.5000 1.6736 0.0198 0.0416 2.9421 0.0553 0.0068 0.1611
7.1000 -1.4000 -4.0000 33.4273 0.0000 0.0000 0.4624 0.0000 0.0011 0.0343
7.2000 -1.4000 -3.7500 31.8867 0.0000 0.0000 0.6797 0.0022 0.0047 0.1285
7.2000 -1.4000 -3.5000 27.1666 0.0000 0.0000 0.8651 0.0109 0.0088 0.3393
7.2000 -1.4000 -3.2500 18.4931 0.0000 0.0000 0.9941 0.0295 0.0156 0.6787
7.2000 -1.4000 -3.0000 12.3124 0.0000 0.0042 1.0716 0.0593 0.0256 1.0231
7.2000 -1.4000 -2.7500 7.9638 0.0000 0.0134 1.1564 0.1007 0.0395 1.3274
7.2000 -1.4000 -2.5000 5.7095 0.0000 0.0344 1.2710 0.1533 0.0564 1.5583
7.2000 -1.4000 -2.2500 4.3236 0.0012 0.0731 1.4437 0.2142 0.0737 1.6994
7.2000 -1.4000 -2.0000 3.5448 0.0058 0.1300 1.6906 0.2735 0.0851 1.7193
7.2000 -1.4000 -1.7500 2.8851 0.0148 0.1872 2.0177 0.3091 0.0828 1.5894
7.2000 -1.4000 -1.5000 2.3569 0.0284 0.2101 2.3845 0.2919 0.0656 1.3001
7.2000 -1.4000 -1.2500 2.1569 0.0400 0.1864 2.7138 0.2227 0.0434 0.9237
7.2000 -1.4000 -1.0000 1.9156 0.0420 0.1373 2.9365 0.1399 0.0255 0.5730
7.2000 -1.4000 -0.7500 1.8447 0.0346 0.0877 3.0046 0.0801 0.0144 0.3231
7.2000 -1.4000 -0.5000 1.6886 0.0245 0.0516 2.9426 0.0674 0.0086 0.2007
7.2000 -1.4000 -4.0000 33.1860 0.0000 0.0000 0.4622 0.0000 0.0014 0.0429
7.3000 -1.4000 -4.0000 32.9636 0.0000 0.0000 0.4609 0.0000 0.0029 0.0529
7.3000 -1.4000 -3.7500 31.6546 0.0000 0.0000 0.6781 0.0027 0.0057 0.1595
7.3000 -1.4000 -3.5000 26.5223 0.0000 0.0000 0.8597 0.0132 0.0108 0.4197
7.3000 -1.4000 -3.2500 18.3811 0.0000 0.0000 0.9945 0.0362 0.0193 0.8457
7.3000 -1.4000 -3.0000 12.0799 0.0000 0.0052 1.0777 0.0730 0.0317 1.2813
7.3000 -1.4000 -2.7500 8.0093 0.0000 0.0163 1.1627 0.1238 0.0487 1.6612
7.3000 -1.4000 -2.5000 5.5968 0.0000 0.0416 1.2781 0.1881 0.0695 1.9496
7.3000 -1.4000 -2.2500 4.3544 0.0015 0.0882 1.4494 0.2623 0.0905 2.1229
7.3000 -1.4000 -2.0000 3.4427 0.0071 0.1580 1.7026 0.3363 0.1048 2.1556
7.3000 -1.4000 -1.7500 2.8846 0.0181 0.2280 2.0333 0.3808 0.1023 1.9954
7.3000 -1.4000 -1.5000 2.4743 0.0345 0.2563 2.4019 0.3609 0.0815 1.6347
7.3000 -1.4000 -1.2500 2.1051 0.0486 0.2281 2.7374 0.2769 0.0541 1.1648
7.3000 -1.4000 -1.0000 2.0178 0.0513 0.1684 2.9586 0.1747 0.0320 0.7228
7.3000 -1.4000 -0.7500 1.8422 0.0427 0.1083 3.0238 0.0999 0.0181 0.4076
7.3000 -1.4000 -0.5000 1.5766 0.0306 0.0640 2.9436 0.0821 0.0109 0.2501
7.4000 -1.4000 -3.7500 31.5228 0.0000 0.0000 0.6713 0.0044 0.0070 0.1946
7.4000 -1.4000 -3.5000 26.7546 0.0000 0.0000 0.8643 0.0162 0.0133 0.5248
7.4000 -1.4000 -3.2500 18.1331 0.0000 0.0011 0.9979 0.0441 0.0236 1.0543
7.4000 -1.4000 -3.0000 12.1610 0.0000 0.0063 1.0768 0.0884 0.0385 1.5881
7.4000 -1.4000 -2.7500 7.9411 0.0000 0.0197 1.1678 0.1506 0.0595 2.0697
7.4000 -1.4000 -2.5000 5.6891 0.0000 0.0498 1.2820 0.2283 0.0847 2.4257
7.4000 -1.4000 -2.2500 4.2462 0.0018 0.1064 1.4600 0.3201 0.1108 2.6541
7.4000 -1.4000 -2.0000 3.4547 0.0087 0.1908 1.7130 0.4102 0.1282 2.6941
7.4000 -1.4000 -1.7500 2.9181 0.0218 0.2762 2.0469 0.4660 0.1256 2.4987
7.4000 -1.4000 -1.5000 2.3615 0.0416 0.3126 2.4273 0.4451 0.1010 2.0575
7.4000 -1.4000 -1.2500 2.2451 0.0586 0.2788 2.7633 0.3433 0.0675 1.4683
7.4000 -1.4000 -1.0000 1.9955 0.0627 0.2068 2.9901 0.2180 0.0401 0.9137
7.4000 -1.4000 -0.7500 1.8384 0.0527 0.1337 3.0477 0.1248 0.0228 0.5148
7.4000 -1.4000 -0.5000 1.5856 0.0378 0.0794 2.9465 0.0989 0.0137 0.3105
7.4000 -1.4000 -4.0000 32.6904 0.0000 0.0000 0.4593 0.0000 0.0035 0.0652
7.5000 -1.4000 -3.7500 31.1344 0.0000 0.0000 0.6706 0.0054 0.0085 0.2409
7.5000 -1.4000 -3.5000 25.9614 0.0000 0.0000 0.8652 0.0196 0.0161 0.6512
7.5000 -1.4000 -3.2500 17.9241 0.0000 0.0013 0.9989 0.0531 0.0286 1.3056
7.5000 -1.4000 -3.0000 11.6715 0.0000 0.0077 1.0893 0.1076 0.0471 1.9878
