#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5 (O/H vs. C/O empirically constrained)
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8, no grains
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9000 -1.4000 -0.7500 56.1587 0.0128 1.5429 0.4269 0.4110 0.0169 1.0245
6.9000 -1.4000 -1.0000 59.4356 0.0158 1.4705 0.2493 0.3397 0.0165 0.8587
6.9000 -1.4000 -1.2500 60.2672 0.0189 1.3863 0.1386 0.3098 0.0145 0.7746
6.9000 -1.4000 -1.5000 59.3099 0.0173 1.2784 0.0870 0.2374 0.0128 0.6214
6.9000 -1.4000 -1.7500 59.3080 0.0098 1.2138 0.0566 0.0767 0.0117 0.3227
6.9000 -1.4000 -2.0000 58.2855 0.0050 1.1851 0.0433 0.0449 0.0131 0.2701
6.9000 -1.4000 -2.2500 58.5270 0.0013 1.1822 0.0298 0.0339 0.0136 0.2680
6.9000 -1.4000 -2.5000 59.8261 0.0000 1.1545 0.0167 0.0271 0.0123 0.2744
6.9000 -1.4000 -2.7500 60.8098 0.0000 1.1162 0.0071 0.0211 0.0098 0.2741
6.9000 -1.4000 -3.0000 61.9898 0.0000 1.0373 0.0015 0.0141 0.0068 0.2399
6.9000 -1.4000 -3.2500 63.4713 0.0000 0.9254 0.0000 0.0074 0.0041 0.1676
6.9000 -1.4000 -3.5000 64.5882 0.0000 0.7853 0.0000 0.0020 0.0014 0.0831
6.9000 -1.4000 -3.7500 65.1018 0.0000 0.6484 0.0000 0.0000 0.0000 0.0291
6.9000 -1.4000 -4.0000 65.0810 0.0000 0.5283 0.0000 0.0000 0.0000 0.0085
7.0000 -1.4000 -0.7500 56.0586 0.0152 1.5557 0.5196 0.5061 0.0206 1.2791
7.0000 -1.4000 -1.0000 58.5226 0.0191 1.4704 0.3035 0.4204 0.0202 1.0727
7.0000 -1.4000 -1.2500 59.7526 0.0231 1.3885 0.1702 0.3842 0.0178 0.9686
7.0000 -1.4000 -1.5000 58.9833 0.0211 1.2792 0.1068 0.2887 0.0159 0.7667
