#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9 -1.400 -4.0 72.0452 0.0000 0.0000 0.5174 0.0000 0.0015 0.0258
6.9 -1.400 -3.75 73.7451 0.0000 0.0000 0.8298 0.0020 0.0031 0.0805
6.9 -1.400 -3.5 75.9101 0.0000 0.0000 1.2600 0.0071 0.0057 0.2139
6.9 -1.400 -3.25 32.9556 0.0000 0.0012 1.7242 0.0184 0.0091 0.4231
6.9 -1.400 -3.0 25.1048 0.0000 0.0046 2.0263 0.0306 0.0134 0.5351
6.9 -1.400 -2.75 15.7567 0.0000 0.0131 2.2090 0.0386 0.0174 0.5325
6.9 -1.400 -2.5 10.1503 0.0000 0.0269 2.3063 0.0398 0.0189 0.4511
6.9 -1.400 -2.25 7.2875 0.0017 0.0403 2.3821 0.0343 0.0168 0.3394
6.9 -1.400 -2.0 5.4604 0.0056 0.0460 2.4487 0.0245 0.0123 0.2254
6.9 -1.400 -1.75 4.1523 0.0085 0.0426 2.4772 0.0144 0.0077 0.1310
6.9 -1.400 -1.5 3.2822 0.0098 0.0337 2.4411 0.0072 0.0043 0.0670
6.9 -1.400 -1.25 2.6536 0.0088 0.0235 2.3345 0.0033 0.0023 0.0315
6.9 -1.400 -1.0 2.3512 0.0066 0.0148 2.1703 0.0015 0.0013 0.0150
6.9 -1.400 -0.75 2.2170 0.0041 0.0091 1.9940 0.0000 0.0000 0.0073
6.9 -1.400 -0.5 2.4046 0.0016 0.0063 1.9016 0.0000 0.0000 0.0045
6.9 -1.275 -4.0 72.0425 0.0000 0.0000 0.5174 0.0000 0.0021 0.0258
6.9 -1.275 -3.75 73.7423 0.0000 0.0000 0.8298 0.0020 0.0041 0.0805
6.9 -1.275 -3.5 75.9070 0.0000 0.0000 1.2600 0.0071 0.0076 0.2139
6.9 -1.275 -3.25 32.9533 0.0000 0.0017 1.7243 0.0184 0.0122 0.4230
6.9 -1.275 -3.0 25.0645 0.0000 0.0061 2.0285 0.0306 0.0179 0.5356
6.9 -1.275 -2.75 16.0141 0.0000 0.0171 2.1968 0.0384 0.0230 0.5314
6.9 -1.275 -2.5 10.0952 0.0000 0.0355 2.3094 0.0398 0.0252 0.4509
6.9 -1.275 -2.25 7.2947 0.0034 0.0528 2.3819 0.0343 0.0224 0.3395
6.9 -1.275 -2.0 5.4631 0.0073 0.0603 2.4486 0.0245 0.0164 0.2256
6.9 -1.275 -1.75 4.1039 0.0112 0.0558 2.4769 0.0144 0.0103 0.1307
6.9 -1.275 -1.5 3.2668 0.0128 0.0440 2.4422 0.0072 0.0058 0.0664
6.9 -1.275 -1.25 2.6662 0.0116 0.0305 2.3344 0.0034 0.0031 0.0321
6.9 -1.275 -1.0 2.3334 0.0087 0.0192 2.1709 0.0015 0.0016 0.0145
6.9 -1.275 -0.75 2.2109 0.0055 0.0118 1.9937 0.0000 0.0000 0.0074
6.9 -1.275 -0.5 2.4053 0.0033 0.0081 1.9016 0.0000 0.0000 0.0045
6.9 -1.150 -4.0 72.0389 0.0000 0.0000 0.5174 0.0000 0.0027 0.0258
6.9 -1.150 -3.75 73.7384 0.0000 0.0000 0.8298 0.0020 0.0054 0.0805
6.9 -1.150 -3.5 75.9030 0.0000 0.0000 1.2600 0.0071 0.0102 0.2139
6.9 -1.150 -3.25 32.9502 0.0000 0.0022 1.7243 0.0184 0.0162 0.4230
6.9 -1.150 -3.0 25.0217 0.0000 0.0082 2.0311 0.0307 0.0240 0.5363
6.9 -1.150 -2.75 15.9295 0.0000 0.0226 2.2015 0.0384 0.0308 0.5318
6.9 -1.150 -2.5 10.1154 0.0000 0.0466 2.3078 0.0398 0.0335 0.4511
6.9 -1.150 -2.25 7.3044 0.0044 0.0694 2.3816 0.0343 0.0298 0.3396
6.9 -1.150 -2.0 5.4258 0.0096 0.0791 2.4480 0.0245 0.0219 0.2258
6.9 -1.150 -1.75 4.1050 0.0146 0.0730 2.4767 0.0144 0.0137 0.1309
6.9 -1.150 -1.5 3.2755 0.0167 0.0575 2.4421 0.0072 0.0077 0.0666
6.9 -1.150 -1.25 2.6665 0.0153 0.0398 2.3345 0.0034 0.0041 0.0320
6.9 -1.150 -1.0 2.3758 0.0115 0.0250 2.1698 0.0015 0.0022 0.0146
6.9 -1.150 -0.75 2.1929 0.0073 0.0153 1.9943 0.0000 0.0013 0.0072
6.9 -1.150 -0.5 2.4014 0.0044 0.0105 1.9015 0.0000 0.0000 0.0045
6.9 -1.025 -4.0 72.0341 0.0000 0.0000 0.5174 0.0000 0.0037 0.0258
6.9 -1.025 -3.75 73.7334 0.0000 0.0000 0.8298 0.0020 0.0073 0.0805
6.9 -1.025 -3.5 75.8976 0.0000 0.0000 1.2600 0.0071 0.0136 0.2139
6.9 -1.025 -3.25 32.9454 0.0000 0.0029 1.7244 0.0184 0.0217 0.4230
6.9 -1.025 -3.0 24.9803 0.0000 0.0109 2.0344 0.0307 0.0320 0.5371
6.9 -1.025 -2.75 15.9208 0.0000 0.0299 2.2043 0.0385 0.0411 0.5323
6.9 -1.025 -2.5 10.0776 0.0013 0.0615 2.3124 0.0398 0.0448 0.4508
