#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.0
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000 -1.4000 -4.0000 1.6381 0.0000 0.0000 0.7878 0.0000 0.0000 0.0117
6.9000 -1.4000 -3.7500 0.8906 0.0000 0.0000 0.9861 0.0000 0.0000 0.0432
6.9000 -1.4000 -3.5000 0.5157 0.0000 0.0000 1.1901 0.0047 0.0033 0.1267
6.9000 -1.4000 -3.2500 0.2906 0.0000 0.0000 1.3683 0.0130 0.0063 0.2484
6.9000 -1.4000 -3.0000 0.1689 0.0000 0.0033 1.5150 0.0255 0.0109 0.3570
6.9000 -1.4000 -2.7500 0.0592 0.0000 0.0100 1.6485 0.0400 0.0164 0.4252
6.9000 -1.4000 -2.5000 0.0861 0.0000 0.0225 1.7809 0.0529 0.0210 0.4408
6.9000 -1.4000 -2.2500 0.1780 0.0014 0.0376 1.9200 0.0608 0.0221 0.4049
6.9000 -1.4000 -2.0000 0.0113 0.0048 0.0470 2.0484 0.0569 0.0187 0.3256
6.9000 -1.4000 -1.7500 0.0504 0.0076 0.0447 2.1254 0.0434 0.0127 0.2261
6.9000 -1.4000 -1.5000 0.0677 0.0082 0.0333 2.0823 0.0271 0.0074 0.1338
6.9000 -1.4000 -1.2500 0.0032 0.0065 0.0200 1.8408 0.0145 0.0040 0.0672
6.9000 -1.4000 -1.0000 0.0027 0.0041 0.0102 1.4675 0.0079 0.0013 0.0303
6.9000 -1.4000 -0.7500 0.0023 0.0031 0.0056 1.1093 0.0153 0.0000 0.0275
6.9000 -1.4000 -0.5000 0.0023 0.0012 0.0018 0.7809 0.0101 0.0000 0.0161
7.0000 -1.4000 -0.5000 0.0023 0.0015 0.0033 0.7785 0.0127 0.0000 0.0206
7.0000 -1.4000 -4.0000 1.6086 0.0000 0.0000 0.7883 0.0000 0.0000 0.0147
7.0000 -1.4000 -3.7500 0.8774 0.0000 0.0000 0.9874 0.0011 0.0012 0.0543
7.0000 -1.4000 -3.5000 0.5057 0.0000 0.0000 1.1909 0.0059 0.0042 0.1591
7.0000 -1.4000 -3.2500 0.2933 0.0000 0.0000 1.3692 0.0162 0.0080 0.3119
