#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9000 0.6000 -1.5000 0.7345 0.0000 2.1827 0.0250 0.1387 3.0918 1.2088
6.9000 0.4750 -1.5000 0.7416 0.0000 2.1261 0.0254 0.1529 2.5299 1.2497
6.9000 0.3500 -1.5000 0.7477 0.0000 2.0023 0.0258 0.1660 2.0428 1.2845
6.9000 0.2250 -1.5000 0.7523 0.0000 1.8188 0.0261 0.1776 1.6294 1.3135
6.9000 0.1000 -1.5000 0.7516 0.0000 1.5959 0.0264 0.1878 1.2859 1.3374
6.9000 -0.0250 -1.5000 0.7563 0.0000 1.3592 0.0266 0.1965 1.0052 1.3568
6.9000 -0.1500 -1.5000 0.7551 0.0000 1.1288 0.0268 0.2036 0.7789 1.3719
6.9000 -0.2750 -1.5000 0.7604 0.0000 0.9171 0.0269 0.2094 0.5993 1.3838
6.9000 -0.4000 -1.5000 0.7617 0.0000 0.7327 0.0270 0.2139 0.4585 1.3928
6.9000 -0.5250 -1.5000 0.7597 0.0000 0.5778 0.0271 0.2175 0.3491 1.3998
6.9000 -0.6500 -1.5000 0.7585 0.0000 0.4514 0.0272 0.2204 0.2651 1.4054
6.9000 -0.7750 -1.5000 0.7596 0.0000 0.3503 0.0272 0.2225 0.2006 1.4095
6.9000 -0.9000 -1.5000 0.7622 0.0000 0.2708 0.0273 0.2242 0.1515 1.4126
6.9000 -1.0250 -1.5000 0.7626 0.0000 0.2088 0.0273 0.2254 0.1141 1.4149
6.9000 -1.1500 -1.5000 0.7605 0.0000 0.1610 0.0273 0.2263 0.0860 1.4167
6.9000 -1.2750 -1.5000 0.7619 0.0000 0.1241 0.0273 0.2271 0.0647 1.4180
6.9000 -1.4000 -1.5000 0.7616 0.0000 0.0959 0.0273 0.2276 0.0486 1.4190
6.9000 0.6000 -1.7500 0.9215 0.0000 1.7353 0.0175 0.1130 2.9515 1.1027
6.9000 0.4750 -1.7500 0.9239 0.0000 1.5978 0.0178 0.1223 2.3738 1.1327
6.9000 0.3500 -1.7500 0.9314 0.0000 1.4222 0.0179 0.1305 1.8864 1.1576
6.9000 0.2250 -1.7500 0.9361 0.0000 1.2233 0.0181 0.1378 1.4832 1.1779
6.9000 0.1000 -1.7500 0.9340 0.0000 1.0245 0.0182 0.1438 1.1559 1.1943
6.9000 -0.0250 -1.7500 0.9405 0.0000 0.8377 0.0183 0.1488 0.8934 1.2071
6.9000 -0.1500 -1.7500 0.9429 0.0000 0.6725 0.0184 0.1527 0.6860 1.2172
6.9000 -0.2750 -1.7500 0.9445 0.0000 0.5316 0.0185 0.1558 0.5238 1.2248
6.9000 -0.4000 -1.7500 0.9390 0.0000 0.4159 0.0185 0.1582 0.3983 1.2307
6.9000 -0.5250 -1.7500 0.9402 0.0000 0.3230 0.0185 0.1602 0.3019 1.2353
6.9000 -0.6500 -1.7500 0.9416 0.0000 0.2495 0.0186 0.1616 0.2283 1.2388
6.9000 -0.7750 -1.7500 0.9424 0.0000 0.1921 0.0186 0.1627 0.1722 1.2413
6.9000 -0.9000 -1.7500 0.9427 0.0000 0.1477 0.0186 0.1635 0.1298 1.2433
6.9000 -1.0250 -1.7500 0.9432 0.0000 0.1137 0.0186 0.1642 0.0977 1.2448
6.9000 -1.1500 -1.7500 0.9436 0.0000 0.0875 0.0186 0.1646 0.0735 1.2459
6.9000 -1.2750 -1.7500 0.9435 0.0000 0.0675 0.0186 0.1650 0.0552 1.2468
6.9000 -1.4000 -1.7500 0.9438 0.0000 0.0522 0.0186 0.1653 0.0415 1.2474
6.9000 0.6000 -2.0000 1.1911 0.0000 1.1890 0.0127 0.0880 2.6329 0.9831
6.9000 0.4750 -2.0000 1.2029 0.0000 1.0284 0.0128 0.0936 2.0834 1.0039
6.9000 0.3500 -2.0000 1.2043 0.0000 0.8638 0.0129 0.0985 1.6315 1.0207
6.9000 0.2250 -2.0000 1.2013 0.0000 0.7083 0.0130 0.1025 1.2667 1.0341
6.9000 0.1000 -2.0000 1.2044 0.0000 0.5692 0.0130 0.1057 0.9759 1.0445
6.9000 -0.0250 -2.0000 1.2065 0.0000 0.4508 0.0131 0.1083 0.7474 1.0526
6.9000 -0.1500 -2.0000 1.2072 0.0000 0.3530 0.0131 0.1104 0.5700 1.0591
6.9000 -0.2750 -2.0000 1.2059 0.0000 0.2741 0.0131 0.1119 0.4326 1.0637
6.9000 -0.4000 -2.0000 1.2071 0.0000 0.2116 0.0131 0.1131 0.3275 1.0673
6.9000 -0.5250 -2.0000 1.2075 0.0000 0.1628 0.0131 0.1141 0.2474 1.0701
6.9000 -0.6500 -2.0000 1.2084 0.0000 0.1251 0.0132 0.1148 0.1865 1.0722
6.9000 -0.7750 -2.0000 1.2124 0.0000 0.0961 0.0132 0.1154 0.1405 1.0737
6.9000 -0.9000 -2.0000 1.2111 0.0000 0.0739 0.0132 0.1158 0.1057 1.0749
6.9000 -1.0250 -2.0000 1.2094 0.0000 0.0569 0.0132 0.1160 0.0795 1.0758
6.9000 -1.1500 -2.0000 1.2096 0.0000 0.0440 0.0132 0.1163 0.0597 1.0765
6.9000 -1.2750 -2.0000 1.2096 0.0000 0.0339 0.0132 0.1164 0.0448 1.0770
6.9000 -1.4000 -2.0000 1.2096 0.0000 0.0263 0.0132 0.1166 0.0336 1.0774
6.9000 0.6000 -2.2500 1.6034 0.0000 0.6600 0.0096 0.0651 2.1833 0.8504
6.9000 0.4750 -2.2500 1.6096 0.0000 0.5412 0.0096 0.0681 1.7041 0.8639
6.9000 0.3500 -2.2500 1.6135 0.0000 0.4352 0.0096 0.0707 1.3187 0.8746
6.9000 0.2250 -2.2500 1.6170 0.0000 0.3446 0.0097 0.0727 1.0136 0.8829
6.9000 0.1000 -2.2500 1.6093 0.0000 0.2699 0.0097 0.0743 0.7745 0.8893
6.9000 -0.0250 -2.2500 1.6094 0.0000 0.2097 0.0097 0.0757 0.5893 0.8943
6.9000 -0.1500 -2.2500 1.6118 0.0000 0.1620 0.0097 0.0766 0.4468 0.8980
6.9000 -0.2750 -2.2500 1.6116 0.0000 0.1248 0.0097 0.0774 0.3380 0.9010
6.9000 -0.4000 -2.2500 1.6127 0.0000 0.0959 0.0097 0.0780 0.2551 0.9032
6.9000 -0.5250 -2.2500 1.6137 0.0000 0.0737 0.0097 0.0784 0.1921 0.9047
6.9000 -0.6500 -2.2500 1.6123 0.0000 0.0567 0.0098 0.0787 0.1447 0.9060
6.9000 -0.7750 -2.2500 1.6153 0.0000 0.0437 0.0098 0.0790 0.1088 0.9069
6.9000 -0.9000 -2.2500 1.6155 0.0000 0.0337 0.0098 0.0792 0.0817 0.9076
6.9000 -1.0250 -2.2500 1.6152 0.0000 0.0260 0.0098 0.0793 0.0614 0.9082
6.9000 -1.1500 -2.2500 1.6144 0.0000 0.0201 0.0098 0.0794 0.0461 0.9086
6.9000 -1.2750 -2.2500 1.6146 0.0000 0.0155 0.0098 0.0795 0.0346 0.9089
6.9000 -1.4000 -2.2500 1.6147 0.0000 0.0119 0.0098 0.0796 0.0259 0.9092
6.9000 0.6000 -2.5000 2.2100 0.0000 0.2918 0.0075 0.0451 1.6831 0.7056
6.9000 0.4750 -2.5000 2.2180 0.0000 0.2316 0.0075 0.0467 1.3000 0.7140
6.9000 0.3500 -2.5000 2.2227 0.0000 0.1817 0.0075 0.0479 0.9975 0.7205
6.9000 0.2250 -2.5000 2.2269 0.0000 0.1415 0.0075 0.0490 0.7613 0.7255
6.9000 0.1000 -2.5000 2.2292 0.0000 0.1096 0.0076 0.0498 0.5786 0.7293
6.9000 -0.0250 -2.5000 2.2303 0.0000 0.0846 0.0076 0.0503 0.4384 0.7322
6.9000 -0.1500 -2.5000 2.2369 0.0000 0.0652 0.0076 0.0507 0.3312 0.7344
6.9000 -0.2750 -2.5000 2.2340 0.0000 0.0502 0.0076 0.0511 0.2499 0.7360
6.9000 -0.4000 -2.5000 2.2338 0.0000 0.0387 0.0076 0.0514 0.1881 0.7373
6.9000 -0.5250 -2.5000 2.2344 0.0000 0.0299 0.0076 0.0515 0.1416 0.7383
6.9000 -0.6500 -2.5000 2.2365 0.0000 0.0230 0.0076 0.0518 0.1065 0.7390
6.9000 -0.7750 -2.5000 2.2356 0.0000 0.0178 0.0076 0.0518 0.0800 0.7395
6.9000 -0.9000 -2.5000 2.2363 0.0000 0.0136 0.0076 0.0519 0.0601 0.7399
