#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -0.5
# SED: post-AGB stars from Rauch T* = 150,000 K
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000 -1.4000 -4.0000 119.7512 0.0000 0.0000 2.8529 0.0000 0.0028 0.0223
6.9000 -1.4000 -3.7500 119.3079 0.0000 0.0000 3.4131 0.0011 0.0045 0.0621
6.9000 -1.4000 -3.5000 55.8750 0.0000 0.0000 3.1791 0.0047 0.0047 0.1532
6.9000 -1.4000 -3.2500 38.7815 0.0000 0.0000 3.3939 0.0121 0.0071 0.2912
6.9000 -1.4000 -3.0000 21.8931 0.0000 0.0041 3.5420 0.0217 0.0106 0.3964
6.9000 -1.4000 -2.7500 13.6726 0.0000 0.0133 3.6216 0.0276 0.0133 0.3993
6.9000 -1.4000 -2.5000 8.0577 0.0000 0.0276 3.7094 0.0282 0.0138 0.3423
6.9000 -1.4000 -2.2500 5.4575 0.0017 0.0392 3.7891 0.0248 0.0119 0.2681
6.9000 -1.4000 -2.0000 3.7395 0.0050 0.0438 3.8819 0.0197 0.0094 0.1990
6.9000 -1.4000 -1.7500 2.6541 0.0073 0.0420 3.9567 0.0144 0.0070 0.1420
6.9000 -1.4000 -1.5000 2.1438 0.0084 0.0368 3.9721 0.0100 0.0052 0.0993
6.9000 -1.4000 -1.2500 1.8855 0.0085 0.0310 3.9306 0.0068 0.0040 0.0702
6.9000 -1.4000 -1.0000 1.6337 0.0080 0.0261 3.8663 0.0048 0.0031 0.0514
6.9000 -1.4000 -0.7500 1.5448 0.0073 0.0223 3.8212 0.0026 0.0026 0.0398
6.9000 -1.4000 -0.5000 1.4748 0.0066 0.0195 3.8133 0.0021 0.0014 0.0327
7.0000 -1.4000 -3.7500 119.1211 0.0000 0.0000 3.4151 0.0014 0.0057 0.0782
7.0000 -1.4000 -3.5000 55.7907 0.0000 0.0000 3.1893 0.0060 0.0058 0.1937
7.0000 -1.4000 -3.2500 39.2896 0.0000 0.0000 3.4040 0.0152 0.0090 0.3676
7.0000 -1.4000 -3.0000 22.0423 0.0000 0.0051 3.5474 0.0274 0.0133 0.4992
7.0000 -1.4000 -2.7500 13.6248 0.0000 0.0166 3.6339 0.0347 0.0167 0.5040
7.0000 -1.4000 -2.5000 8.3755 0.0000 0.0343 3.7097 0.0353 0.0173 0.4304
7.0000 -1.4000 -2.2500 5.4197 0.0032 0.0490 3.8001 0.0311 0.0151 0.3379
7.0000 -1.4000 -2.0000 3.6369 0.0062 0.0546 3.8947 0.0247 0.0118 0.2508
7.0000 -1.4000 -1.7500 2.7975 0.0091 0.0524 3.9668 0.0181 0.0088 0.1789
7.0000 -1.4000 -1.5000 2.1949 0.0105 0.0459 3.9802 0.0126 0.0065 0.1252
7.0000 -1.4000 -1.2500 1.8864 0.0106 0.0386 3.9451 0.0086 0.0050 0.0885
7.0000 -1.4000 -1.0000 1.6575 0.0100 0.0323 3.8853 0.0060 0.0040 0.0648
7.0000 -1.4000 -0.7500 1.5756 0.0091 0.0276 3.8413 0.0044 0.0033 0.0502
7.0000 -1.4000 -0.5000 1.4870 0.0082 0.0241 3.8307 0.0026 0.0028 0.0411
7.0000 -1.4000 -4.0000 119.5448 0.0000 0.0000 2.8545 0.0000 0.0036 0.0281
7.1000 -1.4000 -4.0000 119.2849 0.0000 0.0000 2.8565 0.0000 0.0045 0.0353
7.1000 -1.4000 -3.7500 118.8858 0.0000 0.0000 3.4177 0.0017 0.0071 0.0984
7.1000 -1.4000 -3.5000 56.0882 0.0000 0.0000 3.1437 0.0071 0.0072 0.2334
7.1000 -1.4000 -3.2500 39.1971 0.0000 0.0000 3.4075 0.0191 0.0113 0.4624
7.1000 -1.4000 -3.0000 22.5246 0.0000 0.0065 3.5652 0.0345 0.0166 0.6312
7.1000 -1.4000 -2.7500 12.8806 0.0000 0.0209 3.6476 0.0437 0.0211 0.6363
7.1000 -1.4000 -2.5000 8.1258 0.0000 0.0429 3.7201 0.0444 0.0217 0.5425
7.1000 -1.4000 -2.2500 5.4004 0.0039 0.0612 3.8114 0.0392 0.0189 0.4258
7.1000 -1.4000 -2.0000 3.8035 0.0077 0.0682 3.9065 0.0310 0.0147 0.3161
7.1000 -1.4000 -1.7500 2.8222 0.0113 0.0652 3.9737 0.0227 0.0111 0.2255
7.1000 -1.4000 -1.5000 2.2677 0.0130 0.0571 3.9929 0.0158 0.0082 0.1579
7.1000 -1.4000 -1.2500 1.8348 0.0132 0.0480 3.9650 0.0109 0.0063 0.1116
7.1000 -1.4000 -1.0000 1.7019 0.0124 0.0402 3.9075 0.0076 0.0050 0.0818
7.1000 -1.4000 -0.7500 1.5294 0.0112 0.0343 3.8682 0.0056 0.0041 0.0631
7.1000 -1.4000 -0.5000 1.4507 0.0100 0.0298 3.8545 0.0044 0.0036 0.0514
