12+log(O/H)     	 log(U)_min      	 log(U)_max      	 log(C/O)_min    	 log(C/O)_max   
6.9000000 	 -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.0000000 	-2.50	-0.50 	 -0.5500000 	 -0.3000000
7.1000000 	 -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.2000000 	  -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.3000000 	 -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.4000000 	 -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.5000000 	 -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.6000000 	 -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.7000000 	  -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.8000000 	 -2.50	-0.50 	 -0.5500000 	 -0.3000000
7.9000000 	 -2.50	-0.50 	 -0.5500000 	 -0.3000000
8.0000000 	 -2.50	-0.50 	 -0.5500000 	 -0.0500000
8.1000000 	 -2.50	-0.50 	 -0.5500000 	 -0.0500000
8.2000000 	 -2.50	-0.50 	 -0.3000000 	 0.2000000
8.3000000 	 -2.50	-0.50 	 -0.3000000 	 0.2000000
8.4000000 	 -2.50	-0.50 	 -0.3000000 	 0.2000000
8.5000000 	 -2.50	-0.50 	 -0.3000000 	 0.2000000
8.6000000 	 -2.50	-0.50 	 -0.0500000 	 0.6000000
8.7000000 	 -2.50	-0.50 	 -0.0500000 	 0.6000000
8.8000000 	 -2.50	-0.50 	 0.2000000 	 0.6000000
8.9000000 	 -2.50	-0.50 	 0.2000000 	 0.6000000
9.0000000 	 -2.50	-0.50 	 0.2000000 	 0.6000000
9.1000000 	 -2.50	-0.50 	 0.2000000 	 0.6000000
