#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: Adveted Dominated Flows (ADAF, Nehmen, 2014)
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
6.9000 -1.4000 -4.0000 1.8357 0.0000 0.0000 0.4448 0.0000 0.0000 0.3023 0.0134 0.0000 0.0139
6.9000 -1.4000 -3.7500 0.9338 0.0000 0.0000 0.5760 0.0000 0.0011 0.3385 0.0173 0.0000 0.0482
6.9000 -1.4000 -3.5000 0.5340 0.0000 0.0000 0.6998 0.0046 0.0035 0.3319 0.0222 0.0023 0.1371
6.9000 -1.4000 -3.2500 0.3321 0.0000 0.0000 0.7988 0.0127 0.0066 0.2777 0.0283 0.0055 0.2756
6.9000 -1.4000 -3.0000 0.2006 0.0000 0.0012 0.8807 0.0260 0.0111 0.2129 0.0351 0.0099 0.4237
6.9000 -1.4000 -2.7500 0.1139 0.0000 0.0060 0.9627 0.0445 0.0174 0.1554 0.0418 0.0152 0.5567
6.9000 -1.4000 -2.5000 0.1139 0.0000 0.0158 1.0668 0.0680 0.0250 0.1116 0.0470 0.0209 0.6592
6.9000 -1.4000 -2.2500 0.0131 0.0000 0.0339 1.2067 0.0944 0.0324 0.0817 0.0496 0.0262 0.7166
6.9000 -1.4000 -2.0000 0.0196 0.0017 0.0589 1.3867 0.1180 0.0367 0.0630 0.0489 0.0297 0.7109
6.9000 -1.4000 -1.7500 0.0186 0.0062 0.0806 1.5841 0.1283 0.0340 0.0524 0.0444 0.0293 0.6276
6.9000 -1.4000 -1.5000 0.0051 0.0113 0.0837 1.7391 0.1121 0.0249 0.0480 0.0372 0.0240 0.4747
6.9000 -1.4000 -1.2500 0.0026 0.0130 0.0607 1.6319 0.0701 0.0135 0.0484 0.0282 0.0145 0.2753
6.9000 -1.4000 -1.0000 0.0018 0.0094 0.0310 1.2501 0.0314 0.0056 0.0519 0.0192 0.0063 0.1194
6.9000 -1.4000 -0.7500 0.0018 0.0053 0.0135 0.9065 0.0134 0.0014 0.0578 0.0140 0.0025 0.0470
6.9000 -1.4000 -0.5000 0.0022 0.0017 0.0055 0.6462 0.0079 0.0000 0.0656 0.0115 0.0014 0.0212
7.0000 -1.4000 -3.7500 0.9158 0.0000 0.0000 0.5766 0.0011 0.0013 0.4248 0.0216 0.0000 0.0605
7.0000 -1.4000 -3.5000 0.5223 0.0000 0.0000 0.7003 0.0058 0.0045 0.4163 0.0278 0.0029 0.1718
7.0000 -1.4000 -3.2500 0.3273 0.0000 0.0000 0.7996 0.0158 0.0082 0.3484 0.0354 0.0068 0.3454
7.0000 -1.4000 -3.0000 0.1978 0.0000 0.0015 0.8814 0.0322 0.0139 0.2671 0.0440 0.0124 0.5308
7.0000 -1.4000 -2.7500 0.1129 0.0000 0.0074 0.9639 0.0553 0.0217 0.1950 0.0523 0.0190 0.6975
