#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.1500000 	 -4.0000000 	 1.8358000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0015000 	 0.0139000
6.9000000 	 -1.1500000 	 -3.7500000 	 0.9337000 	 0.0000000 	 0.0000000 	 0.5761000 	 0.0000000 	 0.0064000 	 0.0482000
6.9000000 	 -1.1500000 	 -3.5000000 	 0.5335000 	 0.0000000 	 0.0000000 	 0.6998000 	 0.0046000 	 0.0126000 	 0.1371000
6.9000000 	 -1.1500000 	 -3.2500000 	 0.3339000 	 0.0000000 	 0.0000000 	 0.7989000 	 0.0127000 	 0.0233000 	 0.2756000
6.9000000 	 -1.1500000 	 -3.0000000 	 0.2022000 	 0.0000000 	 0.0077000 	 0.8808000 	 0.0260000 	 0.0397000 	 0.4236000
6.9000000 	 -1.1500000 	 -2.7500000 	 0.1133000 	 0.0000000 	 0.0246000 	 0.9630000 	 0.0445000 	 0.0620000 	 0.5566000
6.9000000 	 -1.1500000 	 -2.5000000 	 0.1161000 	 0.0000000 	 0.0636000 	 1.0669000 	 0.0679000 	 0.0889000 	 0.6590000
6.9000000 	 -1.1500000 	 -2.2500000 	 0.0131000 	 0.0014000 	 0.1340000 	 1.2071000 	 0.0943000 	 0.1154000 	 0.7164000
6.9000000 	 -1.1500000 	 -2.0000000 	 0.0152000 	 0.0088000 	 0.2328000 	 1.3873000 	 0.1178000 	 0.1302000 	 0.7107000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.0065000 	 0.0214000 	 0.3194000 	 1.5847000 	 0.1269000 	 0.1208000 	 0.6273000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.0719000 	 0.0384000 	 0.3306000 	 1.7381000 	 0.1105000 	 0.0884000 	 0.4740000
6.9000000 	 -1.1500000 	 -1.2500000 	 0.0278000 	 0.0442000 	 0.2401000 	 1.6376000 	 0.0689000 	 0.0482000 	 0.2762000
6.9000000 	 -1.1500000 	 -1.0000000 	 0.0018000 	 0.0322000 	 0.1225000 	 1.2515000 	 0.0302000 	 0.0202000 	 0.1194000
6.9000000 	 -1.1500000 	 -0.7500000 	 0.0019000 	 0.0182000 	 0.0540000 	 0.9069000 	 0.0123000 	 0.0085000 	 0.0470000
6.9000000 	 -1.1500000 	 -0.5000000 	 0.0019000 	 0.0091000 	 0.0223000 	 0.6465000 	 0.0079000 	 0.0032000 	 0.0212000
6.9000000 	 -1.0250000 	 -4.0000000 	 1.8328000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0032000 	 0.0139000
6.9000000 	 -1.0250000 	 -3.7500000 	 0.9335000 	 0.0000000 	 0.0000000 	 0.5761000 	 0.0000000 	 0.0085000 	 0.0482000
6.9000000 	 -1.0250000 	 -3.5000000 	 0.5332000 	 0.0000000 	 0.0000000 	 0.6998000 	 0.0046000 	 0.0169000 	 0.1370000
6.9000000 	 -1.0250000 	 -3.2500000 	 0.3328000 	 0.0000000 	 0.0011000 	 0.7989000 	 0.0127000 	 0.0312000 	 0.2755000
6.9000000 	 -1.0250000 	 -3.0000000 	 0.2002000 	 0.0000000 	 0.0103000 	 0.8801000 	 0.0259000 	 0.0528000 	 0.4232000
6.9000000 	 -1.0250000 	 -2.7500000 	 0.1134000 	 0.0000000 	 0.0324000 	 0.9630000 	 0.0444000 	 0.0826000 	 0.5565000
6.9000000 	 -1.0250000 	 -2.5000000 	 0.1189000 	 0.0000000 	 0.0825000 	 1.0671000 	 0.0679000 	 0.1184000 	 0.6589000
6.9000000 	 -1.0250000 	 -2.2500000 	 0.0322000 	 0.0030000 	 0.1739000 	 1.2069000 	 0.0942000 	 0.1535000 	 0.7159000
6.9000000 	 -1.0250000 	 -2.0000000 	 0.0139000 	 0.0116000 	 0.3026000 	 1.3868000 	 0.1175000 	 0.1732000 	 0.7100000
6.9000000 	 -1.0250000 	 -1.7500000 	 0.0188000 	 0.0280000 	 0.4156000 	 1.5857000 	 0.1268000 	 0.1609000 	 0.6273000
6.9000000 	 -1.0250000 	 -1.5000000 	 0.0079000 	 0.0498000 	 0.4297000 	 1.7386000 	 0.1104000 	 0.1178000 	 0.4738000
6.9000000 	 -1.0250000 	 -1.2500000 	 0.0025000 	 0.0573000 	 0.3114000 	 1.6368000 	 0.0687000 	 0.0641000 	 0.2759000
6.9000000 	 -1.0250000 	 -1.0000000 	 0.0018000 	 0.0420000 	 0.1590000 	 1.2521000 	 0.0302000 	 0.0269000 	 0.1195000
6.9000000 	 -1.0250000 	 -0.7500000 	 0.0018000 	 0.0240000 	 0.0702000 	 0.9070000 	 0.0123000 	 0.0112000 	 0.0470000
6.9000000 	 -1.0250000 	 -0.5000000 	 0.0019000 	 0.0121000 	 0.0291000 	 0.6465000 	 0.0078000 	 0.0054000 	 0.0211000
6.9000000 	 -0.9000000 	 -4.0000000 	 1.8330000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0054000 	 0.0139000
6.9000000 	 -0.9000000 	 -3.7500000 	 0.9331000 	 0.0000000 	 0.0000000 	 0.5760000 	 0.0000000 	 0.0114000 	 0.0482000
6.9000000 	 -0.9000000 	 -3.5000000 	 0.5337000 	 0.0000000 	 0.0000000 	 0.6999000 	 0.0046000 	 0.0225000 	 0.1370000
6.9000000 	 -0.9000000 	 -3.2500000 	 0.3330000 	 0.0000000 	 0.0015000 	 0.7989000 	 0.0127000 	 0.0414000 	 0.2755000
6.9000000 	 -0.9000000 	 -3.0000000 	 0.2005000 	 0.0000000 	 0.0136000 	 0.8809000 	 0.0259000 	 0.0704000 	 0.4235000
6.9000000 	 -0.9000000 	 -2.7500000 	 0.1133000 	 0.0000000 	 0.0425000 	 0.9632000 	 0.0444000 	 0.1100000 	 0.5564000
6.9000000 	 -0.9000000 	 -2.5000000 	 0.1173000 	 0.0000000 	 0.1073000 	 1.0673000 	 0.0678000 	 0.1578000 	 0.6587000
6.9000000 	 -0.9000000 	 -2.2500000 	 0.0945000 	 0.0040000 	 0.2259000 	 1.2067000 	 0.0940000 	 0.2044000 	 0.7154000
6.9000000 	 -0.9000000 	 -1.7500000 	 0.0818000 	 0.0364000 	 0.5415000 	 1.5855000 	 0.1264000 	 0.2142000 	 0.6267000
6.9000000 	 -0.9000000 	 -1.5000000 	 0.0060000 	 0.0642000 	 0.5597000 	 1.7398000 	 0.1101000 	 0.1571000 	 0.4737000
6.9000000 	 -0.9000000 	 -1.2500000 	 0.0027000 	 0.0736000 	 0.4011000 	 1.6232000 	 0.0681000 	 0.0848000 	 0.2733000
6.9000000 	 -0.9000000 	 -1.0000000 	 0.0018000 	 0.0546000 	 0.2067000 	 1.2538000 	 0.0302000 	 0.0360000 	 0.1195000
6.9000000 	 -0.9000000 	 -0.7500000 	 0.0018000 	 0.0314000 	 0.0913000 	 0.9073000 	 0.0122000 	 0.0150000 	 0.0470000
6.9000000 	 -0.9000000 	 -0.5000000 	 0.0021000 	 0.0160000 	 0.0380000 	 0.6465000 	 0.0078000 	 0.0072000 	 0.0211000
7.0000000 	 -1.1500000 	 -4.0000000 	 1.7929000 	 0.0000000 	 0.0000000 	 0.4450000 	 0.0000000 	 0.0031000 	 0.0174000
7.0000000 	 -1.1500000 	 -3.7500000 	 0.9156000 	 0.0000000 	 0.0000000 	 0.5766000 	 0.0011000 	 0.0080000 	 0.0605000
7.0000000 	 -1.1500000 	 -3.5000000 	 0.5225000 	 0.0000000 	 0.0000000 	 0.7003000 	 0.0058000 	 0.0157000 	 0.1718000
7.0000000 	 -1.1500000 	 -3.2500000 	 0.3273000 	 0.0000000 	 0.0010000 	 0.7996000 	 0.0158000 	 0.0290000 	 0.3453000
7.0000000 	 -1.1500000 	 -3.0000000 	 0.1979000 	 0.0000000 	 0.0096000 	 0.8814000 	 0.0322000 	 0.0494000 	 0.5307000
7.0000000 	 -1.1500000 	 -2.7500000 	 0.1127000 	 0.0000000 	 0.0303000 	 0.9636000 	 0.0551000 	 0.0770000 	 0.6969000
7.0000000 	 -1.1500000 	 -2.5000000 	 0.1105000 	 0.0000000 	 0.0777000 	 1.0688000 	 0.0843000 	 0.1106000 	 0.8260000
7.0000000 	 -1.1500000 	 -2.2500000 	 0.0132000 	 0.0028000 	 0.1635000 	 1.2084000 	 0.1170000 	 0.1432000 	 0.8973000
7.0000000 	 -1.1500000 	 -2.0000000 	 0.0145000 	 0.0108000 	 0.2846000 	 1.3896000 	 0.1462000 	 0.1617000 	 0.8911000
7.0000000 	 -1.1500000 	 -1.7500000 	 0.0158000 	 0.0263000 	 0.3907000 	 1.5886000 	 0.1577000 	 0.1503000 	 0.7873000
7.0000000 	 -1.1500000 	 -1.5000000 	 0.0238000 	 0.0468000 	 0.4047000 	 1.7416000 	 0.1374000 	 0.1102000 	 0.5951000
7.0000000 	 -1.1500000 	 -1.2500000 	 0.0247000 	 0.0538000 	 0.2924000 	 1.6317000 	 0.0855000 	 0.0598000 	 0.3453000
