#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 1.8357000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0000000 	 0.0139000
6.9000000 	 -1.4000000 	 -3.7500000 	 0.9338000 	 0.0000000 	 0.0000000 	 0.5760000 	 0.0000000 	 0.0029000 	 0.0482000
6.9000000 	 -1.4000000 	 -3.5000000 	 0.5340000 	 0.0000000 	 0.0000000 	 0.6998000 	 0.0046000 	 0.0071000 	 0.1371000
6.9000000 	 -1.4000000 	 -3.2500000 	 0.3321000 	 0.0000000 	 0.0000000 	 0.7988000 	 0.0127000 	 0.0132000 	 0.2756000
6.9000000 	 -1.4000000 	 -3.0000000 	 0.2006000 	 0.0000000 	 0.0031000 	 0.8807000 	 0.0260000 	 0.0223000 	 0.4237000
6.9000000 	 -1.4000000 	 -2.7500000 	 0.1139000 	 0.0000000 	 0.0141000 	 0.9627000 	 0.0445000 	 0.0348000 	 0.5567000
6.9000000 	 -1.4000000 	 -2.5000000 	 0.1139000 	 0.0000000 	 0.0371000 	 1.0668000 	 0.0680000 	 0.0500000 	 0.6592000
6.9000000 	 -1.4000000 	 -2.2500000 	 0.0131000 	 0.0000000 	 0.0796000 	 1.2067000 	 0.0944000 	 0.0649000 	 0.7166000
6.9000000 	 -1.4000000 	 -2.0000000 	 0.0196000 	 0.0042000 	 0.1384000 	 1.3867000 	 0.1180000 	 0.0734000 	 0.7109000
6.9000000 	 -1.4000000 	 -1.7500000 	 0.0186000 	 0.0124000 	 0.1896000 	 1.5841000 	 0.1273000 	 0.0681000 	 0.6276000
6.9000000 	 -1.4000000 	 -1.5000000 	 0.0051000 	 0.0225000 	 0.1968000 	 1.7391000 	 0.1109000 	 0.0498000 	 0.4747000
6.9000000 	 -1.4000000 	 -1.2500000 	 0.0026000 	 0.0260000 	 0.1428000 	 1.6319000 	 0.0688000 	 0.0270000 	 0.2753000
