#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: Adveted Dominated Flows (ADAF, Nehmen, 2014)
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 33.7493000 	 0.0000000 	 0.0000000 	 0.4628000 	 0.0000000 	 0.0000000 	 0.3814000 	 0.0128000 	 0.0000000 	 0.0218000
6.9000000 	 -1.4000000 	 -3.7500000 	 32.4107000 	 0.0000000 	 0.0000000 	 0.6797000 	 0.0012000 	 0.0015000 	 0.4189000 	 0.0177000 	 0.0000000 	 0.0655000
6.9000000 	 -1.4000000 	 -3.5000000 	 27.0342000 	 0.0000000 	 0.0000000 	 0.8608000 	 0.0056000 	 0.0045000 	 0.4017000 	 0.0235000 	 0.0028000 	 0.1725000
6.9000000 	 -1.4000000 	 -3.2500000 	 19.1918000 	 0.0000000 	 0.0000000 	 0.9874000 	 0.0155000 	 0.0081000 	 0.3220000 	 0.0303000 	 0.0068000 	 0.3445000
6.9000000 	 -1.4000000 	 -3.0000000 	 12.0790000 	 0.0000000 	 0.0015000 	 1.0668000 	 0.0313000 	 0.0134000 	 0.2300000 	 0.0376000 	 0.0121000 	 0.5218000
6.9000000 	 -1.4000000 	 -2.7500000 	 7.9540000 	 0.0000000 	 0.0071000 	 1.1502000 	 0.0533000 	 0.0207000 	 0.1556000 	 0.0446000 	 0.0184000 	 0.6769000
6.9000000 	 -1.4000000 	 -2.5000000 	 5.7476000 	 0.0000000 	 0.0187000 	 1.2599000 	 0.0809000 	 0.0296000 	 0.1048000 	 0.0497000 	 0.0250000 	 0.7919000
6.9000000 	 -1.4000000 	 -2.2500000 	 4.4598000 	 0.0000000 	 0.0404000 	 1.4261000 	 0.1126000 	 0.0385000 	 0.0721000 	 0.0518000 	 0.0313000 	 0.8603000
6.9000000 	 -1.4000000 	 -2.0000000 	 3.2861000 	 0.0030000 	 0.0718000 	 1.6720000 	 0.1438000 	 0.0446000 	 0.0503000 	 0.0502000 	 0.0362000 	 0.8706000
6.9000000 	 -1.4000000 	 -1.7500000 	 2.8178000 	 0.0079000 	 0.1026000 	 1.9875000 	 0.1614000 	 0.0430000 	 0.0368000 	 0.0440000 	 0.0373000 	 0.7999000
