#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.1500000 	 -4.0000000 	 33.7439000 	 0.0000000 	 0.0000000 	 0.4628000 	 0.0000000 	 0.0013000 	 0.3812000 	 0.0128000 	 0.0000000 	 0.0218000
6.9000000 	 -1.1500000 	 -3.7500000 	 32.3884000 	 0.0000000 	 0.0000000 	 0.6802000 	 0.0012000 	 0.0043000 	 0.4189000 	 0.0177000 	 0.0000000 	 0.0656000
6.9000000 	 -1.1500000 	 -3.5000000 	 27.3695000 	 0.0000000 	 0.0000000 	 0.8628000 	 0.0056000 	 0.0081000 	 0.4020000 	 0.0235000 	 0.0028000 	 0.1728000
6.9000000 	 -1.1500000 	 -3.2500000 	 19.2108000 	 0.0000000 	 0.0000000 	 0.9868000 	 0.0154000 	 0.0144000 	 0.3220000 	 0.0303000 	 0.0068000 	 0.3442000
6.9000000 	 -1.1500000 	 -3.0000000 	 12.0824000 	 0.0000000 	 0.0039000 	 1.0668000 	 0.0313000 	 0.0239000 	 0.2300000 	 0.0376000 	 0.0121000 	 0.5216000
6.9000000 	 -1.1500000 	 -2.7500000 	 8.1012000 	 0.0000000 	 0.0124000 	 1.1472000 	 0.0531000 	 0.0368000 	 0.1562000 	 0.0445000 	 0.0183000 	 0.6748000
6.9000000 	 -1.1500000 	 -2.5000000 	 5.7644000 	 0.0000000 	 0.0320000 	 1.2596000 	 0.0807000 	 0.0526000 	 0.1049000 	 0.0496000 	 0.0250000 	 0.7914000
6.9000000 	 -1.0250000 	 -4.0000000 	 33.7393000 	 0.0000000 	 0.0000000 	 0.4628000 	 0.0000000 	 0.0030000 	 0.3812000 	 0.0128000 	 0.0000000 	 0.0218000
6.9000000 	 -1.0250000 	 -3.7500000 	 32.3676000 	 0.0000000 	 0.0000000 	 0.6807000 	 0.0012000 	 0.0058000 	 0.4190000 	 0.0177000 	 0.0000000 	 0.0657000
6.9000000 	 -1.0250000 	 -3.5000000 	 27.3672000 	 0.0000000 	 0.0000000 	 0.8628000 	 0.0056000 	 0.0108000 	 0.4019000 	 0.0235000 	 0.0028000 	 0.1728000
6.9000000 	 -1.0250000 	 -3.2500000 	 19.2107000 	 0.0000000 	 0.0000000 	 0.9868000 	 0.0154000 	 0.0193000 	 0.3219000 	 0.0303000 	 0.0068000 	 0.3441000
