#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.1500000 	 -4.0000000 	 1.9587000 	 0.0000000 	 0.0000000 	 0.6011000 	 0.0000000 	 0.0014000 	 0.0094000
6.9000000 	 -1.1500000 	 -3.7500000 	 1.0497000 	 0.0000000 	 0.0000000 	 0.7501000 	 0.0011000 	 0.0025000 	 0.0324000
6.9000000 	 -1.1500000 	 -3.5000000 	 0.5941000 	 0.0000000 	 0.0000000 	 0.9259000 	 0.0034000 	 0.0047000 	 0.0931000
6.9000000 	 -1.1500000 	 -3.2500000 	 0.3297000 	 0.0000000 	 0.0000000 	 1.1090000 	 0.0088000 	 0.0083000 	 0.1885000
6.9000000 	 -1.1500000 	 -3.0000000 	 0.2519000 	 0.0000000 	 0.0040000 	 1.2789000 	 0.0162000 	 0.0134000 	 0.2715000
6.9000000 	 -1.1500000 	 -2.7500000 	 0.1222000 	 0.0000000 	 0.0124000 	 1.4284000 	 0.0227000 	 0.0187000 	 0.3045000
6.9000000 	 -1.1500000 	 -2.5000000 	 0.0316000 	 0.0000000 	 0.0271000 	 1.5543000 	 0.0254000 	 0.0215000 	 0.2829000
6.9000000 	 -1.1500000 	 -2.2500000 	 0.0409000 	 0.0018000 	 0.0419000 	 1.6533000 	 0.0232000 	 0.0200000 	 0.2248000
6.9000000 	 -1.1500000 	 -2.0000000 	 0.1727000 	 0.0057000 	 0.0476000 	 1.7098000 	 0.0173000 	 0.0151000 	 0.1537000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.0726000 	 0.0083000 	 0.0420000 	 1.6942000 	 0.0109000 	 0.0099000 	 0.0910000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.0080000 	 0.0086000 	 0.0299000 	 1.5717000 	 0.0065000 	 0.0062000 	 0.0490000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.0080000 	 0.0086000 	 0.0299000 	 1.5717000 	 0.0065000 	 0.0062000 	 0.0490000
6.9000000 	 -1.1500000 	 -1.0000000 	 0.0031000 	 0.0037000 	 0.0084000 	 0.9797000 	 0.0032000 	 0.0028000 	 0.0167000
6.9000000 	 -1.1500000 	 -0.7500000 	 0.0028000 	 0.0011000 	 0.0040000 	 0.6978000 	 0.0027000 	 0.0023000 	 0.0127000
6.9000000 	 -1.1500000 	 -0.5000000 	 0.0028000 	 0.0000000 	 0.0020000 	 0.4729000 	 0.0025000 	 0.0019000 	 0.0106000
6.9000000 	 -1.0250000 	 -4.0000000 	 1.9486000 	 0.0000000 	 0.0000000 	 0.6011000 	 0.0000000 	 0.0018000 	 0.0094000
6.9000000 	 -1.0250000 	 -3.7500000 	 1.0503000 	 0.0000000 	 0.0000000 	 0.7501000 	 0.0011000 	 0.0034000 	 0.0324000
6.9000000 	 -1.0250000 	 -3.5000000 	 0.5935000 	 0.0000000 	 0.0000000 	 0.9258000 	 0.0034000 	 0.0063000 	 0.0931000
6.9000000 	 -1.0250000 	 -3.2500000 	 0.3344000 	 0.0000000 	 0.0012000 	 1.1091000 	 0.0087000 	 0.0111000 	 0.1885000
6.9000000 	 -1.0250000 	 -3.0000000 	 0.2030000 	 0.0000000 	 0.0053000 	 1.2790000 	 0.0162000 	 0.0178000 	 0.2715000
6.9000000 	 -1.0250000 	 -2.7500000 	 0.2579000 	 0.0000000 	 0.0164000 	 1.4282000 	 0.0227000 	 0.0249000 	 0.3044000
6.9000000 	 -1.0250000 	 -2.5000000 	 0.0316000 	 0.0000000 	 0.0356000 	 1.5543000 	 0.0254000 	 0.0287000 	 0.2829000
6.9000000 	 -1.0250000 	 -2.2500000 	 0.0246000 	 0.0035000 	 0.0551000 	 1.6534000 	 0.0231000 	 0.0266000 	 0.2248000
6.9000000 	 -1.0250000 	 -2.0000000 	 0.0145000 	 0.0075000 	 0.0625000 	 1.7092000 	 0.0172000 	 0.0201000 	 0.1536000
6.9000000 	 -1.0250000 	 -1.7500000 	 0.0469000 	 0.0108000 	 0.0550000 	 1.6939000 	 0.0109000 	 0.0132000 	 0.0909000
6.9000000 	 -1.0250000 	 -1.5000000 	 0.0347000 	 0.0113000 	 0.0392000 	 1.5719000 	 0.0065000 	 0.0082000 	 0.0490000
6.9000000 	 -1.0250000 	 -1.5000000 	 0.0347000 	 0.0113000 	 0.0392000 	 1.5719000 	 0.0065000 	 0.0082000 	 0.0490000
6.9000000 	 -1.0250000 	 -1.0000000 	 0.0032000 	 0.0049000 	 0.0109000 	 0.9797000 	 0.0032000 	 0.0038000 	 0.0167000
6.9000000 	 -1.0250000 	 -0.7500000 	 0.0028000 	 0.0014000 	 0.0051000 	 0.6980000 	 0.0027000 	 0.0030000 	 0.0127000
6.9000000 	 -1.0250000 	 -0.5000000 	 0.0028000 	 0.0000000 	 0.0026000 	 0.4729000 	 0.0025000 	 0.0025000 	 0.0106000
6.9000000 	 -0.9000000 	 -4.0000000 	 1.9499000 	 0.0000000 	 0.0000000 	 0.6011000 	 0.0000000 	 0.0024000 	 0.0094000
6.9000000 	 -0.9000000 	 -3.7500000 	 1.0517000 	 0.0000000 	 0.0000000 	 0.7498000 	 0.0011000 	 0.0045000 	 0.0324000
6.9000000 	 -0.9000000 	 -3.5000000 	 0.5952000 	 0.0000000 	 0.0000000 	 0.9253000 	 0.0034000 	 0.0083000 	 0.0930000
6.9000000 	 -0.9000000 	 -3.2500000 	 0.3300000 	 0.0000000 	 0.0016000 	 1.1086000 	 0.0087000 	 0.0148000 	 0.1884000
