#Library constrained for high ionization AGNs
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.4000000 	 -2.5000000 	 0.0966000 	 0.0000000 	 0.0157000 	 1.5541000 	 0.0254000 	 0.0121000 	 0.1025000 	 0.0466000 	 0.0081000 	 0.2829000
6.9000000 	 -1.4000000 	 -2.2500000 	 0.1128000 	 0.0010000 	 0.0242000 	 1.6528000 	 0.0232000 	 0.0112000 	 0.0844000 	 0.0400000 	 0.0069000 	 0.2247000
6.9000000 	 -1.4000000 	 -2.0000000 	 0.0617000 	 0.0033000 	 0.0276000 	 1.7092000 	 0.0172000 	 0.0084000 	 0.0754000 	 0.0347000 	 0.0048000 	 0.1536000
6.9000000 	 -1.4000000 	 -1.7500000 	 0.0445000 	 0.0049000 	 0.0243000 	 1.6938000 	 0.0109000 	 0.0055000 	 0.0741000 	 0.0322000 	 0.0028000 	 0.0910000
6.9000000 	 -1.4000000 	 -1.5000000 	 0.0066000 	 0.0050000 	 0.0175000 	 1.5747000 	 0.0064000 	 0.0035000 	 0.0780000 	 0.0325000 	 0.0014000 	 0.0491000
6.9000000 	 -1.4000000 	 -1.5000000 	 0.0066000 	 0.0050000 	 0.0175000 	 1.5747000 	 0.0064000 	 0.0035000 	 0.0780000 	 0.0325000 	 0.0014000 	 0.0491000
6.9000000 	 -1.4000000 	 -1.0000000 	 0.0031000 	 0.0014000 	 0.0050000 	 0.9847000 	 0.0021000 	 0.0000000 	 0.0849000 	 0.0314000 	 0.0000000 	 0.0168000
6.9000000 	 -1.4000000 	 -0.7500000 	 0.0028000 	 0.0000000 	 0.0015000 	 0.6980000 	 0.0020000 	 0.0000000 	 0.0863000 	 0.0289000 	 0.0000000 	 0.0127000
6.9000000 	 -1.4000000 	 -0.5000000 	 0.0028000 	 0.0000000 	 0.0000000 	 0.4729000 	 0.0019000 	 0.0000000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000
6.9000000 	 -1.2750000 	 -2.5000000 	 0.2099000 	 0.0000000 	 0.0206000 	 1.5540000 	 0.0254000 	 0.0161000 	 0.1025000 	 0.0466000 	 0.0081000 	 0.2829000
