#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.1500000 	 -2.5000000 	 0.0316000 	 0.0000000 	 0.0271000 	 1.5543000 	 0.0254000 	 0.0215000 	 0.1025000 	 0.0466000 	 0.0081000 	 0.2829000
6.9000000 	 -1.1500000 	 -2.2500000 	 0.0409000 	 0.0018000 	 0.0418000 	 1.6533000 	 0.0232000 	 0.0199000 	 0.0844000 	 0.0399000 	 0.0069000 	 0.2248000
6.9000000 	 -1.1500000 	 -2.0000000 	 0.1727000 	 0.0057000 	 0.0475000 	 1.7098000 	 0.0172000 	 0.0151000 	 0.0754000 	 0.0347000 	 0.0048000 	 0.1537000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.0726000 	 0.0083000 	 0.0418000 	 1.6942000 	 0.0109000 	 0.0098000 	 0.0741000 	 0.0322000 	 0.0028000 	 0.0910000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.0080000 	 0.0086000 	 0.0298000 	 1.5717000 	 0.0064000 	 0.0061000 	 0.0780000 	 0.0325000 	 0.0014000 	 0.0490000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.0080000 	 0.0086000 	 0.0298000 	 1.5717000 	 0.0064000 	 0.0061000 	 0.0780000 	 0.0325000 	 0.0014000 	 0.0490000
6.9000000 	 -1.1500000 	 -1.0000000 	 0.0031000 	 0.0037000 	 0.0083000 	 0.9797000 	 0.0021000 	 0.0028000 	 0.0847000 	 0.0313000 	 0.0000000 	 0.0167000
6.9000000 	 -1.1500000 	 -0.7500000 	 0.0028000 	 0.0011000 	 0.0039000 	 0.6978000 	 0.0020000 	 0.0014000 	 0.0863000 	 0.0288000 	 0.0000000 	 0.0127000
6.9000000 	 -1.1500000 	 -0.5000000 	 0.0028000 	 0.0000000 	 0.0013000 	 0.4729000 	 0.0019000 	 0.0011000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000
6.9000000 	 -1.0250000 	 -2.5000000 	 0.0316000 	 0.0000000 	 0.0356000 	 1.5543000 	 0.0254000 	 0.0286000 	 0.1025000 	 0.0466000 	 0.0081000 	 0.2829000
6.9000000 	 -1.0250000 	 -2.2500000 	 0.0246000 	 0.0035000 	 0.0550000 	 1.6534000 	 0.0232000 	 0.0265000 	 0.0844000 	 0.0399000 	 0.0069000 	 0.2248000
6.9000000 	 -1.0250000 	 -2.0000000 	 0.0145000 	 0.0075000 	 0.0623000 	 1.7092000 	 0.0172000 	 0.0200000 	 0.0754000 	 0.0348000 	 0.0048000 	 0.1536000
6.9000000 	 -1.0250000 	 -1.7500000 	 0.0469000 	 0.0108000 	 0.0548000 	 1.6939000 	 0.0109000 	 0.0131000 	 0.0741000 	 0.0322000 	 0.0028000 	 0.0909000
6.9000000 	 -1.0250000 	 -1.5000000 	 0.0347000 	 0.0113000 	 0.0389000 	 1.5719000 	 0.0064000 	 0.0081000 	 0.0780000 	 0.0325000 	 0.0014000 	 0.0490000
6.9000000 	 -1.0250000 	 -1.5000000 	 0.0347000 	 0.0113000 	 0.0389000 	 1.5719000 	 0.0064000 	 0.0081000 	 0.0780000 	 0.0325000 	 0.0014000 	 0.0490000
6.9000000 	 -1.0250000 	 -1.0000000 	 0.0032000 	 0.0049000 	 0.0109000 	 0.9797000 	 0.0021000 	 0.0038000 	 0.0847000 	 0.0313000 	 0.0000000 	 0.0167000
6.9000000 	 -1.0250000 	 -0.7500000 	 0.0028000 	 0.0014000 	 0.0051000 	 0.6980000 	 0.0020000 	 0.0030000 	 0.0863000 	 0.0289000 	 0.0000000 	 0.0127000
6.9000000 	 -1.0250000 	 -0.5000000 	 0.0028000 	 0.0000000 	 0.0016000 	 0.4729000 	 0.0019000 	 0.0025000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000
6.9000000 	 -0.9000000 	 -2.5000000 	 0.1982000 	 0.0000000 	 0.0468000 	 1.5544000 	 0.0254000 	 0.0381000 	 0.1025000 	 0.0465000 	 0.0081000 	 0.2828000
6.9000000 	 -0.9000000 	 -2.2500000 	 0.0218000 	 0.0046000 	 0.0724000 	 1.6534000 	 0.0232000 	 0.0354000 	 0.0844000 	 0.0400000 	 0.0069000 	 0.2247000
6.9000000 	 -0.9000000 	 -2.0000000 	 0.0267000 	 0.0097000 	 0.0820000 	 1.7098000 	 0.0172000 	 0.0268000 	 0.0755000 	 0.0347000 	 0.0048000 	 0.1536000
6.9000000 	 -0.9000000 	 -1.7500000 	 0.1044000 	 0.0141000 	 0.0719000 	 1.6942000 	 0.0109000 	 0.0175000 	 0.0741000 	 0.0322000 	 0.0028000 	 0.0910000
6.9000000 	 -0.9000000 	 -1.5000000 	 0.0060000 	 0.0147000 	 0.0509000 	 1.5722000 	 0.0064000 	 0.0109000 	 0.0780000 	 0.0325000 	 0.0014000 	 0.0490000
6.9000000 	 -0.9000000 	 -1.5000000 	 0.0060000 	 0.0147000 	 0.0509000 	 1.5722000 	 0.0064000 	 0.0109000 	 0.0780000 	 0.0325000 	 0.0014000 	 0.0490000
6.9000000 	 -0.9000000 	 -1.0000000 	 0.0032000 	 0.0064000 	 0.0141000 	 0.9797000 	 0.0021000 	 0.0050000 	 0.0847000 	 0.0313000 	 0.0000000 	 0.0167000
6.9000000 	 -0.9000000 	 -0.7500000 	 0.0028000 	 0.0019000 	 0.0065000 	 0.6981000 	 0.0020000 	 0.0040000 	 0.0863000 	 0.0289000 	 0.0000000 	 0.0127000
6.9000000 	 -0.9000000 	 -0.5000000 	 0.0029000 	 0.0000000 	 0.0032000 	 0.4729000 	 0.0019000 	 0.0033000 	 0.0890000 	 0.0267000 	 0.0000000 	 0.0106000
7.0000000 	 -1.1500000 	 -2.5000000 	 0.1137000 	 0.0000000 	 0.0335000 	 1.5537000 	 0.0318000 	 0.0269000 	 0.1289000 	 0.0370000 	 0.0101000 	 0.3555000
7.0000000 	 -1.1500000 	 -2.2500000 	 0.0452000 	 0.0033000 	 0.0518000 	 1.6530000 	 0.0291000 	 0.0250000 	 0.1062000 	 0.0317000 	 0.0086000 	 0.2827000
7.0000000 	 -1.1500000 	 -2.0000000 	 0.0966000 	 0.0070000 	 0.0588000 	 1.7083000 	 0.0216000 	 0.0189000 	 0.0949000 	 0.0276000 	 0.0061000 	 0.1932000
7.0000000 	 -1.1500000 	 -1.7500000 	 0.0897000 	 0.0103000 	 0.0518000 	 1.6928000 	 0.0136000 	 0.0124000 	 0.0933000 	 0.0255000 	 0.0035000 	 0.1144000
