#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5 (O/H vs. C/O empirically constrained)
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8, no grains
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
6.9000 -1.4000 -4.0000 71.7170 0.0000 0.0000 0.5216 0.0000 0.0000 0.3939 0.0272 0.0000 0.0265
6.9000 -1.4000 -3.7500 73.3387 0.0000 0.0000 0.8376 0.0015 0.0031 0.4382 0.0359 0.0012 0.0825
6.9000 -1.4000 -3.5000 75.3602 0.0000 0.0000 1.2735 0.0074 0.0058 0.4100 0.0458 0.0036 0.2184
6.9000 -1.4000 -3.2500 40.9399 0.0000 0.0000 1.7197 0.0187 0.0092 0.2366 0.0522 0.0083 0.4286
6.9000 -1.4000 -3.0000 42.6994 0.0000 0.0048 2.0166 0.0317 0.0138 0.1218 0.0562 0.0125 0.5477
6.9000 -1.4000 -2.7500 45.0647 0.0000 0.0138 2.1319 0.0409 0.0181 0.0641 0.0523 0.0145 0.5520
6.9000 -1.4000 -2.5000 46.8491 0.0000 0.0297 2.1376 0.0472 0.0210 0.0342 0.0425 0.0152 0.4999
6.9000 -1.4000 -2.2500 47.8995 0.0032 0.0487 2.0677 0.0528 0.0212 0.0187 0.0336 0.0154 0.4413
6.9000 -1.4000 -2.0000 47.9687 0.0077 0.0654 1.9488 0.0624 0.0188 0.0104 0.0296 0.0163 0.4047
6.9000 -1.4000 -1.7500 46.7455 0.0132 0.0754 1.7999 0.0871 0.0148 0.0056 0.0313 0.0198 0.4111
6.9000 -1.4000 -1.5000 43.6918 0.0191 0.0839 1.6232 0.1797 0.0118 0.0034 0.0453 0.0339 0.5440
6.9000 -1.4000 -1.2500 39.3970 0.0200 0.1239 1.5203 0.2818 0.0130 0.0000 0.0733 0.0501 0.7242
6.9000 -1.4000 -1.0000 36.1839 0.0160 0.2362 1.4871 0.3246 0.0163 0.0000 0.0848 0.0580 0.8320
6.9000 -1.4000 -0.7500 33.5934 0.0126 0.4259 1.4970 0.4115 0.0177 0.0000 0.0859 0.0733 1.0284
6.9000 -1.4000 -0.5000 31.4184 0.0113 0.6510 1.5519 0.5545 0.0159 0.0000 0.0901 0.0971 1.3099
7.0000 -1.4000 -4.0000 71.5687 0.0000 0.0000 0.5215 0.0000 0.0012 0.4944 0.0215 0.0000 0.0333
7.0000 -1.4000 -3.7500 73.1895 0.0000 0.0000 0.8375 0.0019 0.0038 0.5499 0.0284 0.0014 0.1036
7.0000 -1.4000 -3.5000 75.1548 0.0000 0.0000 1.2731 0.0091 0.0073 0.5144 0.0362 0.0046 0.2742
7.0000 -1.4000 -3.2500 40.7954 0.0000 0.0010 1.7200 0.0233 0.0115 0.2976 0.0414 0.0104 0.5378
7.0000 -1.4000 -3.0000 42.5501 0.0000 0.0060 2.0181 0.0396 0.0172 0.1533 0.0446 0.0156 0.6881
7.0000 -1.4000 -2.7500 44.7163 0.0000 0.0173 2.1488 0.0516 0.0228 0.0780 0.0415 0.0183 0.6957
7.0000 -1.4000 -2.5000 46.6989 0.0000 0.0368 2.1427 0.0593 0.0263 0.0427 0.0337 0.0191 0.6290
7.0000 -1.4000 -2.2500 47.7842 0.0040 0.0606 2.0716 0.0663 0.0265 0.0235 0.0267 0.0193 0.5553
7.0000 -1.4000 -2.0000 47.8676 0.0094 0.0813 1.9531 0.0783 0.0236 0.0131 0.0235 0.0205 0.5097
7.0000 -1.4000 -1.7500 46.6357 0.0163 0.0937 1.8061 0.1091 0.0186 0.0069 0.0249 0.0249 0.5176
7.0000 -1.4000 -1.5000 43.5617 0.0233 0.1043 1.6336 0.2221 0.0148 0.0042 0.0358 0.0421 0.6808
7.0000 -1.4000 -1.2500 39.2239 0.0245 0.1532 1.5282 0.3523 0.0163 0.0025 0.0578 0.0628 0.9120
7.0000 -1.4000 -1.0000 36.0089 0.0194 0.2896 1.4994 0.4050 0.0201 0.0000 0.0669 0.0727 1.0457
7.0000 -1.4000 -0.7500 33.4245 0.0151 0.5209 1.5121 0.5092 0.0216 0.0000 0.0681 0.0912 1.2880
7.0000 -1.4000 -0.5000 31.2794 0.0131 0.7935 1.5727 0.6797 0.0192 0.0000 0.0716 0.1198 1.6321
7.2000 -1.4000 -4.0000 71.1115 0.0000 0.0000 0.5212 0.0000 0.0030 0.7761 0.0338 0.0000 0.0523
7.2000 -1.4000 -3.7500 72.7252 0.0000 0.0000 0.8373 0.0040 0.0060 0.8638 0.0447 0.0023 0.1630
7.2000 -1.4000 -3.5000 74.7068 0.0000 0.0000 1.2737 0.0142 0.0113 0.8086 0.0570 0.0071 0.4315
7.2000 -1.4000 -3.2500 40.0855 0.0000 0.0017 1.7348 0.0369 0.0181 0.4609 0.0653 0.0165 0.8569
7.2000 -1.4000 -3.0000 42.2715 0.0000 0.0091 2.0168 0.0609 0.0267 0.2468 0.0701 0.0242 1.0809
7.2000 -1.4000 -2.7500 44.2357 0.0000 0.0264 2.1574 0.0803 0.0355 0.1232 0.0654 0.0287 1.0984
7.2000 -1.4000 -2.5000 46.2793 0.0012 0.0561 2.1524 0.0923 0.0409 0.0680 0.0533 0.0299 0.9947
7.2000 -1.4000 -2.2500 47.3755 0.0061 0.0930 2.0856 0.1037 0.0415 0.0372 0.0423 0.0304 0.8794
7.2000 -1.4000 -2.0000 47.4724 0.0140 0.1254 1.9705 0.1222 0.0369 0.0208 0.0373 0.0322 0.8070
7.2000 -1.4000 -1.7500 46.2746 0.0242 0.1453 1.8287 0.1684 0.0293 0.0113 0.0394 0.0388 0.8178
7.2000 -1.4000 -1.5000 43.1630 0.0345 0.1609 1.6701 0.3266 0.0232 0.0067 0.0553 0.0632 1.0490
7.2000 -1.4000 -1.2500 38.6717 0.0367 0.2316 1.5627 0.5343 0.0245 0.0038 0.0891 0.0963 1.4207
7.2000 -1.4000 -1.0000 35.3495 0.0288 0.4327 1.5289 0.6238 0.0297 0.0023 0.1057 0.1132 1.6567
7.2000 -1.4000 -0.7500 32.7810 0.0212 0.7652 1.5481 0.7677 0.0312 0.0000 0.1104 0.1399 2.0283
7.2000 -1.4000 -0.5000 30.6981 0.0173 1.1465 1.6185 0.9975 0.0270 0.0000 0.1191 0.1802 2.5441
7.3000 -1.4000 -4.0000 70.7866 0.0000 0.0000 0.5210 0.0000 0.0038 0.9704 0.0423 0.0000 0.0655
7.3000 -1.4000 -3.7500 72.3974 0.0000 0.0000 0.8371 0.0050 0.0075 1.0803 0.0559 0.0028 0.2041
7.3000 -1.4000 -3.5000 74.3573 0.0000 0.0000 1.2738 0.0176 0.0141 1.0114 0.0712 0.0089 0.5404
7.3000 -1.4000 -3.2500 39.7578 0.0000 0.0030 1.7357 0.0455 0.0224 0.5778 0.0816 0.0204 1.0713
7.3000 -1.4000 -3.0000 41.6961 0.0000 0.0115 2.0296 0.0762 0.0333 0.3023 0.0878 0.0304 1.3604
7.3000 -1.4000 -2.7500 43.8609 0.0000 0.0325 2.1661 0.0999 0.0442 0.1538 0.0820 0.0358 1.3794
7.3000 -1.4000 -2.5000 45.9712 0.0015 0.0689 2.1597 0.1150 0.0510 0.0856 0.0670 0.0374 1.2503
7.3000 -1.4000 -2.2500 47.0099 0.0075 0.1153 2.0997 0.1294 0.0517 0.0459 0.0530 0.0380 1.1049
7.3000 -1.4000 -2.0000 47.2191 0.0171 0.1556 1.9811 0.1522 0.0461 0.0264 0.0469 0.0402 1.0154
7.3000 -1.4000 -1.7500 45.9726 0.0295 0.1816 1.8480 0.2083 0.0368 0.0140 0.0494 0.0484 1.0258
7.3000 -1.4000 -1.5000 42.9315 0.0418 0.1999 1.6946 0.3901 0.0289 0.0086 0.0684 0.0765 1.2930
7.3000 -1.4000 -1.2500 38.3630 0.0447 0.2825 1.5872 0.6475 0.0296 0.0051 0.1096 0.1177 1.7580
7.3000 -1.4000 -1.0000 34.9313 0.0351 0.5220 1.5500 0.7648 0.0355 0.0029 0.1323 0.1399 2.0745
7.3000 -1.4000 -0.7500 32.3596 0.0253 0.9085 1.5726 0.9276 0.0366 0.0000 0.1404 0.1713 2.5311
7.3000 -1.4000 -0.5000 30.3308 0.0197 1.3380 1.6479 1.1786 0.0308 0.0000 0.1539 0.2170 3.1494
7.5000 -1.4000 -4.0000 69.8773 0.0000 0.0000 0.5202 0.0013 0.0058 1.5073 0.0657 0.0012 0.1022
7.5000 -1.4000 -3.7500 71.4726 0.0000 0.0000 0.8363 0.0075 0.0115 1.6796 0.0869 0.0043 0.3185
7.5000 -1.4000 -3.5000 73.3781 0.0000 0.0000 1.2739 0.0267 0.0214 1.5734 0.1109 0.0136 0.8430
7.5000 -1.4000 -3.2500 38.8787 0.0000 0.0045 1.7368 0.0681 0.0339 0.9057 0.1267 0.0311 1.6637
7.5000 -1.4000 -3.0000 40.6990 0.0000 0.0171 2.0430 0.1155 0.0508 0.4722 0.1369 0.0467 2.1301
7.5000 -1.4000 -2.7500 42.9625 0.0000 0.0481 2.1791 0.1521 0.0675 0.2435 0.1285 0.0553 2.1664
7.5000 -1.4000 -2.5000 45.0748 0.0034 0.1036 2.1838 0.1764 0.0783 0.1340 0.1055 0.0580 1.9717
7.5000 -1.4000 -2.2500 46.1948 0.0109 0.1754 2.1274 0.1992 0.0796 0.0722 0.0838 0.0591 1.7449
7.5000 -1.4000 -2.0000 46.4173 0.0251 0.2401 2.0155 0.2345 0.0717 0.0412 0.0742 0.0627 1.6047
7.5000 -1.4000 -1.7500 45.2428 0.0436 0.2827 1.8915 0.3143 0.0577 0.0227 0.0779 0.0742 1.6119
7.5000 -1.4000 -1.5000 42.2223 0.0611 0.3096 1.7602 0.5458 0.0446 0.0132 0.1042 0.1106 1.9529
7.5000 -1.4000 -1.2500 37.5819 0.0662 0.4134 1.6575 0.9127 0.0426 0.0081 0.1626 0.1700 2.6375
7.5000 -1.4000 -1.0000 33.9112 0.0523 0.7264 1.6132 1.1037 0.0479 0.0046 0.2029 0.2069 3.1836
7.5000 -1.4000 -0.7500 31.3015 0.0357 1.2017 1.6330 1.2936 0.0462 0.0029 0.2250 0.2482 3.8817
7.5000 -1.4000 -0.5000 29.4022 0.0249 1.6404 1.7180 1.5208 0.0355 0.0010 0.2542 0.2969 4.6910
7.6000 -1.4000 -3.7500 70.8694 0.0000 0.0000 0.8358 0.0091 0.0140 2.0871 0.1080 0.0053 0.3966
7.6000 -1.4000 -3.5000 72.7308 0.0000 0.0000 1.2738 0.0326 0.0263 1.9553 0.1378 0.0168 1.0498
