#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.0
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 1.6381000 	 0.0000000 	 0.0000000 	 0.7878000 	 0.0000000 	 0.0000000 	 0.2497000 	 0.0186000 	 0.0000000 	 0.0117000
6.9000000 	 -1.4000000 	 -3.7500000 	 0.8906000 	 0.0000000 	 0.0000000 	 0.9861000 	 0.0000000 	 0.0000000 	 0.2796000 	 0.0216000 	 0.0000000 	 0.0432000
6.9000000 	 -1.4000000 	 -3.5000000 	 0.5157000 	 0.0000000 	 0.0000000 	 1.1901000 	 0.0047000 	 0.0033000 	 0.2694000 	 0.0256000 	 0.0022000 	 0.1267000
6.9000000 	 -1.4000000 	 -3.2500000 	 0.2906000 	 0.0000000 	 0.0000000 	 1.3683000 	 0.0130000 	 0.0063000 	 0.2202000 	 0.0305000 	 0.0053000 	 0.2484000
6.9000000 	 -1.4000000 	 -3.0000000 	 0.1689000 	 0.0000000 	 0.0033000 	 1.5150000 	 0.0255000 	 0.0109000 	 0.1693000 	 0.0350000 	 0.0092000 	 0.3570000
6.9000000 	 -1.4000000 	 -2.7500000 	 0.0592000 	 0.0000000 	 0.0100000 	 1.6485000 	 0.0400000 	 0.0164000 	 0.1275000 	 0.0371000 	 0.0128000 	 0.4252000
6.9000000 	 -1.4000000 	 -2.5000000 	 0.0861000 	 0.0000000 	 0.0225000 	 1.7809000 	 0.0529000 	 0.0210000 	 0.0958000 	 0.0359000 	 0.0153000 	 0.4408000
6.9000000 	 -1.4000000 	 -2.2500000 	 0.1780000 	 0.0014000 	 0.0376000 	 1.9200000 	 0.0608000 	 0.0221000 	 0.0744000 	 0.0325000 	 0.0158000 	 0.4049000
6.9000000 	 -1.4000000 	 -2.0000000 	 0.0113000 	 0.0048000 	 0.0470000 	 2.0484000 	 0.0569000 	 0.0187000 	 0.0616000 	 0.0282000 	 0.0139000 	 0.3256000
6.9000000 	 -1.4000000 	 -1.7500000 	 0.0504000 	 0.0076000 	 0.0447000 	 2.1254000 	 0.0434000 	 0.0127000 	 0.0558000 	 0.0242000 	 0.0101000 	 0.2261000
6.9000000 	 -1.4000000 	 -1.5000000 	 0.0677000 	 0.0082000 	 0.0333000 	 2.0823000 	 0.0271000 	 0.0074000 	 0.0552000 	 0.0215000 	 0.0060000 	 0.1338000
6.9000000 	 -1.4000000 	 -1.2500000 	 0.0032000 	 0.0065000 	 0.0200000 	 1.8408000 	 0.0145000 	 0.0040000 	 0.0582000 	 0.0196000 	 0.0030000 	 0.0672000
6.9000000 	 -1.4000000 	 -1.0000000 	 0.0027000 	 0.0041000 	 0.0102000 	 1.4675000 	 0.0079000 	 0.0013000 	 0.0625000 	 0.0175000 	 0.0014000 	 0.0303000
6.9000000 	 -1.4000000 	 -0.7500000 	 0.0023000 	 0.0031000 	 0.0056000 	 1.1093000 	 0.0153000 	 0.0000000 	 0.0623000 	 0.0157000 	 0.0022000 	 0.0275000
6.9000000 	 -1.4000000 	 -0.5000000 	 0.0023000 	 0.0012000 	 0.0018000 	 0.7809000 	 0.0101000 	 0.0000000 	 0.0685000 	 0.0149000 	 0.0014000 	 0.0161000
6.9000000 	 -1.2750000 	 -4.0000000 	 1.6361000 	 0.0000000 	 0.0000000 	 0.7878000 	 0.0000000 	 0.0000000 	 0.2497000 	 0.0186000 	 0.0000000 	 0.0117000
6.9000000 	 -1.2750000 	 -3.7500000 	 0.8905000 	 0.0000000 	 0.0000000 	 0.9862000 	 0.0000000 	 0.0013000 	 0.2796000 	 0.0216000 	 0.0000000 	 0.0432000
6.9000000 	 -1.2750000 	 -3.5000000 	 0.5152000 	 0.0000000 	 0.0000000 	 1.1898000 	 0.0047000 	 0.0045000 	 0.2693000 	 0.0256000 	 0.0022000 	 0.1267000
6.9000000 	 -1.2750000 	 -3.2500000 	 0.2905000 	 0.0000000 	 0.0000000 	 1.3682000 	 0.0130000 	 0.0085000 	 0.2202000 	 0.0305000 	 0.0053000 	 0.2484000
6.9000000 	 -1.2750000 	 -3.0000000 	 0.1665000 	 0.0000000 	 0.0044000 	 1.5159000 	 0.0255000 	 0.0146000 	 0.1694000 	 0.0350000 	 0.0092000 	 0.3572000
6.9000000 	 -1.2750000 	 -2.7500000 	 0.0593000 	 0.0000000 	 0.0133000 	 1.6486000 	 0.0400000 	 0.0219000 	 0.1275000 	 0.0371000 	 0.0128000 	 0.4252000
6.9000000 	 -1.2750000 	 -2.5000000 	 0.0667000 	 0.0000000 	 0.0295000 	 1.7808000 	 0.0529000 	 0.0280000 	 0.0958000 	 0.0359000 	 0.0153000 	 0.4407000
6.9000000 	 -1.2750000 	 -2.2500000 	 0.1576000 	 0.0018000 	 0.0493000 	 1.9193000 	 0.0607000 	 0.0296000 	 0.0744000 	 0.0325000 	 0.0158000 	 0.4047000
