#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.1500000 	 -4.0000000 	 1.6358000 	 0.0000000 	 0.0000000 	 0.7878000 	 0.0000000 	 0.0000000 	 0.2497000 	 0.0186000 	 0.0000000 	 0.0117000
6.9000000 	 -1.1500000 	 -3.7500000 	 0.8904000 	 0.0000000 	 0.0000000 	 0.9862000 	 0.0000000 	 0.0030000 	 0.2796000 	 0.0216000 	 0.0000000 	 0.0432000
6.9000000 	 -1.1500000 	 -3.5000000 	 0.5115000 	 0.0000000 	 0.0000000 	 1.1902000 	 0.0047000 	 0.0060000 	 0.2694000 	 0.0256000 	 0.0022000 	 0.1267000
6.9000000 	 -1.1500000 	 -3.2500000 	 0.2955000 	 0.0000000 	 0.0000000 	 1.3678000 	 0.0130000 	 0.0113000 	 0.2201000 	 0.0305000 	 0.0053000 	 0.2483000
6.9000000 	 -1.1500000 	 -3.0000000 	 0.1668000 	 0.0000000 	 0.0057000 	 1.5160000 	 0.0255000 	 0.0194000 	 0.1694000 	 0.0350000 	 0.0092000 	 0.3572000
6.9000000 	 -1.1500000 	 -2.7500000 	 0.0614000 	 0.0000000 	 0.0175000 	 1.6487000 	 0.0400000 	 0.0292000 	 0.1275000 	 0.0371000 	 0.0128000 	 0.4251000
6.9000000 	 -1.1500000 	 -2.5000000 	 0.0695000 	 0.0000000 	 0.0388000 	 1.7815000 	 0.0529000 	 0.0374000 	 0.0960000 	 0.0359000 	 0.0153000 	 0.4408000
6.9000000 	 -1.1500000 	 -2.2500000 	 0.1698000 	 0.0037000 	 0.0647000 	 1.9197000 	 0.0607000 	 0.0393000 	 0.0744000 	 0.0325000 	 0.0158000 	 0.4047000
6.9000000 	 -1.1500000 	 -2.0000000 	 0.0117000 	 0.0084000 	 0.0809000 	 2.0491000 	 0.0569000 	 0.0332000 	 0.0618000 	 0.0282000 	 0.0138000 	 0.3256000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.0354000 	 0.0130000 	 0.0769000 	 2.1262000 	 0.0434000 	 0.0228000 	 0.0558000 	 0.0242000 	 0.0101000 	 0.2261000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.0082000 	 0.0142000 	 0.0571000 	 2.0823000 	 0.0271000 	 0.0132000 	 0.0552000 	 0.0215000 	 0.0060000 	 0.1338000
6.9000000 	 -1.1500000 	 -1.2500000 	 0.0031000 	 0.0114000 	 0.0342000 	 1.8427000 	 0.0145000 	 0.0071000 	 0.0582000 	 0.0196000 	 0.0030000 	 0.0673000
6.9000000 	 -1.1500000 	 -1.0000000 	 0.0027000 	 0.0073000 	 0.0175000 	 1.4680000 	 0.0079000 	 0.0038000 	 0.0626000 	 0.0175000 	 0.0014000 	 0.0303000
6.9000000 	 -1.1500000 	 -0.7500000 	 0.0023000 	 0.0054000 	 0.0097000 	 1.1094000 	 0.0153000 	 0.0025000 	 0.0624000 	 0.0157000 	 0.0022000 	 0.0275000
6.9000000 	 -1.1500000 	 -0.5000000 	 0.0023000 	 0.0031000 	 0.0047000 	 0.7809000 	 0.0101000 	 0.0010000 	 0.0685000 	 0.0149000 	 0.0013000 	 0.0161000
6.9000000 	 -1.0250000 	 -4.0000000 	 1.6371000 	 0.0000000 	 0.0000000 	 0.7878000 	 0.0000000 	 0.0011000 	 0.2496000 	 0.0186000 	 0.0000000 	 0.0117000
6.9000000 	 -1.0250000 	 -3.7500000 	 0.8900000 	 0.0000000 	 0.0000000 	 0.9861000 	 0.0000000 	 0.0040000 	 0.2795000 	 0.0216000 	 0.0000000 	 0.0432000
6.9000000 	 -1.0250000 	 -3.5000000 	 0.5188000 	 0.0000000 	 0.0000000 	 1.1898000 	 0.0047000 	 0.0080000 	 0.2693000 	 0.0256000 	 0.0022000 	 0.1267000
6.9000000 	 -1.0250000 	 -3.2500000 	 0.2926000 	 0.0000000 	 0.0012000 	 1.3682000 	 0.0130000 	 0.0151000 	 0.2202000 	 0.0305000 	 0.0053000 	 0.2484000
6.9000000 	 -1.0250000 	 -3.0000000 	 0.1692000 	 0.0000000 	 0.0077000 	 1.5152000 	 0.0255000 	 0.0259000 	 0.1693000 	 0.0350000 	 0.0092000 	 0.3569000
6.9000000 	 -1.0250000 	 -2.7500000 	 0.1192000 	 0.0000000 	 0.0231000 	 1.6483000 	 0.0400000 	 0.0389000 	 0.1275000 	 0.0371000 	 0.0128000 	 0.4250000
6.9000000 	 -1.0250000 	 -2.5000000 	 0.0730000 	 0.0010000 	 0.0510000 	 1.7818000 	 0.0528000 	 0.0498000 	 0.0960000 	 0.0359000 	 0.0153000 	 0.4407000
6.9000000 	 -1.0250000 	 -2.2500000 	 0.1744000 	 0.0049000 	 0.0851000 	 1.9200000 	 0.0607000 	 0.0524000 	 0.0744000 	 0.0325000 	 0.0158000 	 0.4047000
