#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.1500000 	 -4.0000000 	 38.7924000 	 0.0000000 	 0.0000000 	 0.9059000 	 0.0000000 	 0.0025000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -1.1500000 	 -3.7500000 	 38.9386000 	 0.0000000 	 0.0000000 	 1.3191000 	 0.0014000 	 0.0049000 	 0.0210000 	 0.0011000 	 0.0749000
6.9000000 	 -1.1500000 	 -3.5000000 	 34.1557000 	 0.0000000 	 0.0000000 	 1.7184000 	 0.0071000 	 0.0093000 	 0.0266000 	 0.0034000 	 0.1995000
6.9000000 	 -1.1500000 	 -3.2500000 	 24.4531000 	 0.0000000 	 0.0013000 	 1.9862000 	 0.0186000 	 0.0165000 	 0.0325000 	 0.0078000 	 0.3761000
6.9000000 	 -1.1500000 	 -3.0000000 	 15.1609000 	 0.0000000 	 0.0078000 	 2.1285000 	 0.0353000 	 0.0268000 	 0.0372000 	 0.0130000 	 0.5205000
6.9000000 	 -1.1500000 	 -2.7500000 	 10.0777000 	 0.0000000 	 0.0235000 	 2.2403000 	 0.0541000 	 0.0391000 	 0.0385000 	 0.0176000 	 0.5994000
6.9000000 	 -1.1500000 	 -2.5000000 	 7.0433000 	 0.0010000 	 0.0520000 	 2.3642000 	 0.0705000 	 0.0494000 	 0.0354000 	 0.0207000 	 0.6060000
6.9000000 	 -1.1500000 	 -2.2500000 	 4.9775000 	 0.0050000 	 0.0869000 	 2.5280000 	 0.0793000 	 0.0521000 	 0.0296000 	 0.0212000 	 0.5515000
6.9000000 	 -1.1500000 	 -2.0000000 	 3.7744000 	 0.0114000 	 0.1108000 	 2.7358000 	 0.0754000 	 0.0446000 	 0.0228000 	 0.0189000 	 0.4499000
6.9000000 	 -1.1500000 	 -1.7500000 	 3.1680000 	 0.0186000 	 0.1092000 	 2.9346000 	 0.0588000 	 0.0312000 	 0.0160000 	 0.0142000 	 0.3238000
6.9000000 	 -1.1500000 	 -1.5000000 	 2.8246000 	 0.0218000 	 0.0872000 	 3.0699000 	 0.0380000 	 0.0190000 	 0.0105000 	 0.0091000 	 0.2063000
6.9000000 	 -1.1500000 	 -1.2500000 	 2.4711000 	 0.0201000 	 0.0604000 	 3.1090000 	 0.0217000 	 0.0109000 	 0.0065000 	 0.0053000 	 0.1206000
6.9000000 	 -1.1500000 	 -1.0000000 	 2.3693000 	 0.0156000 	 0.0378000 	 3.0147000 	 0.0122000 	 0.0062000 	 0.0040000 	 0.0029000 	 0.0673000
6.9000000 	 -1.1500000 	 -0.7500000 	 1.3286000 	 0.0146000 	 0.0264000 	 2.7712000 	 0.0352000 	 0.0050000 	 0.0026000 	 0.0058000 	 0.0751000
6.9000000 	 -1.1500000 	 -0.5000000 	 1.0222000 	 0.0116000 	 0.0177000 	 2.6607000 	 0.0322000 	 0.0041000 	 0.0025000 	 0.0051000 	 0.0620000
6.9000000 	 -1.0250000 	 -4.0000000 	 38.7889000 	 0.0000000 	 0.0000000 	 0.9059000 	 0.0000000 	 0.0034000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -1.0250000 	 -3.7500000 	 38.9334000 	 0.0000000 	 0.0000000 	 1.3191000 	 0.0014000 	 0.0065000 	 0.0210000 	 0.0011000 	 0.0749000
6.9000000 	 -1.0250000 	 -3.5000000 	 34.0783000 	 0.0000000 	 0.0000000 	 1.7208000 	 0.0071000 	 0.0125000 	 0.0266000 	 0.0034000 	 0.2000000
