#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 38.7963000 	 0.0000000 	 0.0000000 	 0.9059000 	 0.0000000 	 0.0000000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -1.4000000 	 -3.7500000 	 38.9484000 	 0.0000000 	 0.0000000 	 1.3190000 	 0.0014000 	 0.0028000 	 0.0210000 	 0.0011000 	 0.0749000
6.9000000 	 -1.4000000 	 -3.5000000 	 34.3550000 	 0.0000000 	 0.0000000 	 1.7115000 	 0.0070000 	 0.0052000 	 0.0265000 	 0.0034000 	 0.1978000
6.9000000 	 -1.4000000 	 -3.2500000 	 24.4521000 	 0.0000000 	 0.0000000 	 1.9869000 	 0.0187000 	 0.0093000 	 0.0325000 	 0.0078000 	 0.3763000
6.9000000 	 -1.4000000 	 -3.0000000 	 15.1600000 	 0.0000000 	 0.0044000 	 2.1283000 	 0.0353000 	 0.0151000 	 0.0372000 	 0.0130000 	 0.5206000
6.9000000 	 -1.4000000 	 -2.7500000 	 9.8239000 	 0.0000000 	 0.0135000 	 2.2418000 	 0.0542000 	 0.0220000 	 0.0385000 	 0.0177000 	 0.6000000
6.9000000 	 -1.4000000 	 -2.5000000 	 7.3665000 	 0.0000000 	 0.0299000 	 2.3533000 	 0.0701000 	 0.0276000 	 0.0354000 	 0.0205000 	 0.6029000
6.9000000 	 -1.4000000 	 -2.2500000 	 4.9255000 	 0.0019000 	 0.0506000 	 2.5286000 	 0.0794000 	 0.0293000 	 0.0296000 	 0.0213000 	 0.5518000
6.9000000 	 -1.4000000 	 -2.0000000 	 3.9401000 	 0.0065000 	 0.0643000 	 2.7306000 	 0.0753000 	 0.0251000 	 0.0228000 	 0.0189000 	 0.4493000
6.9000000 	 -1.4000000 	 -1.7500000 	 3.2675000 	 0.0108000 	 0.0635000 	 2.9275000 	 0.0586000 	 0.0175000 	 0.0160000 	 0.0142000 	 0.3232000
6.9000000 	 -1.4000000 	 -1.5000000 	 2.7246000 	 0.0126000 	 0.0510000 	 3.0737000 	 0.0381000 	 0.0107000 	 0.0104000 	 0.0091000 	 0.2066000
6.9000000 	 -1.4000000 	 -1.2500000 	 2.4414000 	 0.0115000 	 0.0353000 	 3.1091000 	 0.0217000 	 0.0061000 	 0.0065000 	 0.0053000 	 0.1207000
6.9000000 	 -1.4000000 	 -1.0000000 	 2.3865000 	 0.0089000 	 0.0221000 	 3.0144000 	 0.0122000 	 0.0035000 	 0.0040000 	 0.0029000 	 0.0672000
6.9000000 	 -1.4000000 	 -0.7500000 	 1.2815000 	 0.0083000 	 0.0151000 	 2.7720000 	 0.0353000 	 0.0028000 	 0.0026000 	 0.0058000 	 0.0753000
6.9000000 	 -1.4000000 	 -0.5000000 	 1.0555000 	 0.0065000 	 0.0101000 	 2.6594000 	 0.0323000 	 0.0014000 	 0.0025000 	 0.0051000 	 0.0621000
6.9000000 	 -1.2750000 	 -4.0000000 	 38.7946000 	 0.0000000 	 0.0000000 	 0.9059000 	 0.0000000 	 0.0011000 	 0.0163000 	 0.0000000 	 0.0261000
6.9000000 	 -1.2750000 	 -3.7500000 	 38.9504000 	 0.0000000 	 0.0000000 	 1.3190000 	 0.0014000 	 0.0037000 	 0.0210000 	 0.0011000 	 0.0748000
6.9000000 	 -1.2750000 	 -3.5000000 	 34.3530000 	 0.0000000 	 0.0000000 	 1.7115000 	 0.0070000 	 0.0070000 	 0.0265000 	 0.0034000 	 0.1978000
6.9000000 	 -1.2750000 	 -3.2500000 	 24.4567000 	 0.0000000 	 0.0000000 	 1.9871000 	 0.0187000 	 0.0124000 	 0.0325000 	 0.0078000 	 0.3763000
6.9000000 	 -1.2750000 	 -3.0000000 	 15.1618000 	 0.0000000 	 0.0059000 	 2.1284000 	 0.0353000 	 0.0201000 	 0.0372000 	 0.0130000 	 0.5205000
6.9000000 	 -1.2750000 	 -2.7500000 	 10.0693000 	 0.0000000 	 0.0177000 	 2.2403000 	 0.0541000 	 0.0293000 	 0.0385000 	 0.0177000 	 0.5995000
6.9000000 	 -1.2750000 	 -2.5000000 	 6.9014000 	 0.0000000 	 0.0397000 	 2.3694000 	 0.0707000 	 0.0372000 	 0.0355000 	 0.0207000 	 0.6074000
6.9000000 	 -1.2750000 	 -2.2500000 	 4.9538000 	 0.0038000 	 0.0663000 	 2.5268000 	 0.0794000 	 0.0390000 	 0.0296000 	 0.0212000 	 0.5517000
6.9000000 	 -1.2750000 	 -2.0000000 	 3.9247000 	 0.0087000 	 0.0843000 	 2.7317000 	 0.0753000 	 0.0335000 	 0.0228000 	 0.0189000 	 0.4494000
