#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry, stop criterion: 2% free electrons, no grains
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
6.9000 -1.4000 -4.0000 51.7186 0.0000 0.0000 0.3394 0.0000 0.0000 0.2537 0.0245 0.0000 0.0110
6.9000 -1.4000 -3.7500 52.2398 0.0000 0.0000 0.4470 0.0000 0.0000 0.2800 0.0297 0.0000 0.0381
6.9000 -1.4000 -3.5000 52.3789 0.0000 0.0000 0.5740 0.0026 0.0027 0.2712 0.0361 0.0018 0.1118
6.9000 -1.4000 -3.2500 52.3644 0.0000 0.0000 0.6878 0.0099 0.0051 0.2164 0.0436 0.0044 0.2277
6.9000 -1.4000 -3.0000 52.1980 0.0000 0.0015 0.7773 0.0204 0.0088 0.1583 0.0513 0.0079 0.3420
6.9000 -1.4000 -2.7500 52.3516 0.0000 0.0073 0.8326 0.0354 0.0142 0.1125 0.0572 0.0118 0.4303
6.9000 -1.4000 -2.5000 52.7246 0.0000 0.0183 0.8563 0.0534 0.0205 0.0779 0.0600 0.0159 0.4921
6.9000 -1.4000 -2.2500 53.3629 0.0010 0.0363 0.8518 0.0769 0.0263 0.0534 0.0613 0.0205 0.5387
6.9000 -1.4000 -2.0000 53.8783 0.0045 0.0608 0.8383 0.1123 0.0299 0.0377 0.0649 0.0267 0.5955
6.9000 -1.4000 -1.7500 55.4804 0.0097 0.0886 0.8242 0.1730 0.0297 0.0284 0.0736 0.0364 0.6865
6.9000 -1.4000 -1.5000 59.7277 0.0165 0.1205 0.8402 0.2763 0.0272 0.0233 0.0931 0.0526 0.8540
6.9000 -1.4000 -1.2500 66.1851 0.0223 0.1791 0.9390 0.3889 0.0272 0.0214 0.1228 0.0712 1.0749
6.9000 -1.4000 -1.0000 71.4368 0.0230 0.2883 1.0248 0.4612 0.0284 0.0207 0.1407 0.0839 1.2332
6.9000 -1.4000 -0.7500 60.9878 0.0215 0.4782 1.1449 0.5470 0.0287 0.0221 0.1497 0.0997 1.4438
6.9000 -1.4000 -0.5000 51.3364 0.0188 0.6825 1.1947 0.6349 0.0241 0.0294 0.1454 0.1149 1.6248
7.0000 -1.4000 -4.0000 51.3111 0.0000 0.0000 0.3394 0.0000 0.0000 0.3180 0.0194 0.0000 0.0137
7.0000 -1.4000 -3.7500 51.7898 0.0000 0.0000 0.4485 0.0000 0.0010 0.3520 0.0234 0.0000 0.0479
7.0000 -1.4000 -3.5000 51.9887 0.0000 0.0000 0.5739 0.0044 0.0034 0.3399 0.0285 0.0022 0.1400
7.0000 -1.4000 -3.2500 51.9502 0.0000 0.0000 0.6884 0.0123 0.0063 0.2717 0.0344 0.0055 0.2854
7.0000 -1.4000 -3.0000 51.8764 0.0000 0.0018 0.7773 0.0264 0.0111 0.1987 0.0405 0.0098 0.4283
7.0000 -1.4000 -2.7500 52.0099 0.0000 0.0090 0.8332 0.0440 0.0176 0.1412 0.0452 0.0147 0.5392
7.0000 -1.4000 -2.5000 52.3919 0.0000 0.0222 0.8572 0.0663 0.0255 0.0978 0.0473 0.0199 0.6167
7.0000 -1.4000 -2.2500 53.0278 0.0013 0.0441 0.8533 0.0956 0.0327 0.0671 0.0484 0.0256 0.6753
7.0000 -1.4000 -2.0000 53.4707 0.0055 0.0745 0.8430 0.1394 0.0373 0.0474 0.0512 0.0333 0.7477
7.0000 -1.4000 -1.7500 55.1193 0.0117 0.1085 0.8286 0.2131 0.0368 0.0357 0.0579 0.0451 0.8580
7.0000 -1.4000 -1.5000 59.1589 0.0196 0.1472 0.8449 0.3372 0.0336 0.0292 0.0728 0.0646 1.0609
7.0000 -1.4000 -1.2500 65.7129 0.0264 0.2172 0.9420 0.4750 0.0333 0.0268 0.0958 0.0875 1.3339
7.0000 -1.4000 -1.0000 71.5719 0.0271 0.3479 1.0322 0.5645 0.0344 0.0260 0.1101 0.1033 1.5341
7.0000 -1.4000 -0.7500 60.8720 0.0248 0.5698 1.1453 0.6617 0.0344 0.0272 0.1164 0.1213 1.7776
7.0000 -1.4000 -0.5000 52.4976 0.0214 0.8175 1.2090 0.7673 0.0289 0.0351 0.1141 0.1401 2.0106
7.2000 -1.4000 -4.0000 50.0692 0.0000 0.0000 0.3394 0.0000 0.0000 0.4967 0.0301 0.0000 0.0215
7.2000 -1.4000 -3.7500 50.5897 0.0000 0.0000 0.4493 0.0012 0.0026 0.5514 0.0365 0.0000 0.0750
7.2000 -1.4000 -3.5000 50.8192 0.0000 0.0000 0.5747 0.0067 0.0052 0.5328 0.0443 0.0034 0.2188
7.2000 -1.4000 -3.2500 50.7800 0.0000 0.0000 0.6909 0.0200 0.0098 0.4271 0.0534 0.0085 0.4469
7.2000 -1.4000 -3.0000 50.7230 0.0000 0.0042 0.7779 0.0402 0.0169 0.3118 0.0628 0.0151 0.6684
7.2000 -1.4000 -2.7500 50.9236 0.0000 0.0133 0.8350 0.0669 0.0270 0.2219 0.0700 0.0226 0.8424
7.2000 -1.4000 -2.5000 51.3527 0.0000 0.0324 0.8607 0.1010 0.0389 0.1539 0.0733 0.0305 0.9639
7.2000 -1.4000 -2.2500 51.9944 0.0029 0.0649 0.8596 0.1448 0.0499 0.1057 0.0748 0.0392 1.0546
7.2000 -1.4000 -2.0000 52.5404 0.0079 0.1098 0.8493 0.2083 0.0562 0.0747 0.0789 0.0505 1.1588
7.2000 -1.4000 -1.7500 54.0760 0.0165 0.1603 0.8389 0.3108 0.0551 0.0560 0.0886 0.0672 1.3167
7.2000 -1.4000 -1.5000 57.7521 0.0272 0.2158 0.8581 0.4789 0.0498 0.0460 0.1095 0.0940 1.6010
7.2000 -1.4000 -1.2500 64.9516 0.0364 0.3098 0.9508 0.6724 0.0475 0.0422 0.1421 0.1264 1.9902
7.2000 -1.4000 -1.0000 70.5398 0.0376 0.4865 1.0467 0.8062 0.0480 0.0407 0.1652 0.1505 2.3077
7.2000 -1.4000 -0.7500 70.4932 0.0331 0.7718 1.1490 0.9210 0.0460 0.0428 0.1744 0.1731 2.6337
7.2000 -1.4000 -0.5000 52.7114 0.0269 1.0903 1.2135 1.0444 0.0380 0.0484 0.1731 0.1967 2.9594
7.3000 -1.4000 -4.0000 49.2126 0.0000 0.0000 0.3395 0.0000 0.0000 0.6189 0.0373 0.0000 0.0267
7.3000 -1.4000 -3.7500 49.7422 0.0000 0.0000 0.4486 0.0015 0.0032 0.6862 0.0452 0.0012 0.0933
7.3000 -1.4000 -3.5000 49.9930 0.0000 0.0000 0.5741 0.0092 0.0065 0.6638 0.0549 0.0042 0.2721
7.3000 -1.4000 -3.2500 50.0074 0.0000 0.0000 0.6926 0.0246 0.0120 0.5342 0.0662 0.0104 0.5576
7.3000 -1.4000 -3.0000 49.9573 0.0000 0.0051 0.7790 0.0492 0.0207 0.3898 0.0777 0.0186 0.8331
7.3000 -1.4000 -2.7500 50.1773 0.0000 0.0160 0.8374 0.0820 0.0331 0.2778 0.0866 0.0279 1.0510
7.3000 -1.4000 -2.5000 50.6459 0.0000 0.0390 0.8633 0.1233 0.0475 0.1926 0.0906 0.0376 1.2016
7.3000 -1.4000 -2.2500 51.2836 0.0035 0.0784 0.8643 0.1767 0.0610 0.1324 0.0925 0.0483 1.3144
7.3000 -1.4000 -2.0000 51.8312 0.0095 0.1330 0.8554 0.2524 0.0685 0.0935 0.0973 0.0618 1.4398
7.3000 -1.4000 -1.7500 53.5081 0.0191 0.1926 0.8409 0.3681 0.0664 0.0697 0.1083 0.0807 1.6127
7.3000 -1.4000 -1.5000 57.2895 0.0320 0.2623 0.8757 0.5657 0.0604 0.0580 0.1344 0.1129 1.9675
7.3000 -1.4000 -1.2500 63.7001 0.0426 0.3672 0.9602 0.7860 0.0561 0.0525 0.1717 0.1498 2.4131
