#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
6.9000 -1.4000 -4.0000 81.2063 0.0000 0.0000 0.2692 0.0000 0.0000 0.3468 0.0196 0.0000 0.0212
6.9000 -1.4000 -3.7500 83.2012 0.0000 0.0000 0.4768 0.0012 0.0014 0.3905 0.0280 0.0000 0.0674
6.9000 -1.4000 -3.5000 30.3539 0.0000 0.0000 0.8491 0.0068 0.0050 0.3854 0.0409 0.0035 0.2170
6.9000 -1.4000 -3.2500 25.7192 0.0000 0.0000 1.1249 0.0172 0.0085 0.2791 0.0509 0.0077 0.4035
6.9000 -1.4000 -3.0000 18.0286 0.0000 0.0036 1.3302 0.0323 0.0138 0.1710 0.0595 0.0128 0.5676
6.9000 -1.4000 -2.7500 11.4868 0.0000 0.0109 1.4719 0.0494 0.0204 0.1018 0.0636 0.0175 0.6585
6.9000 -1.4000 -2.5000 7.6455 0.0000 0.0261 1.6162 0.0651 0.0270 0.0614 0.0603 0.0207 0.6757
6.9000 -1.4000 -2.2500 5.7095 0.0014 0.0476 1.7688 0.0728 0.0304 0.0392 0.0502 0.0213 0.6156
6.9000 -1.4000 -2.0000 4.3172 0.0058 0.0693 1.9728 0.0681 0.0281 0.0243 0.0369 0.0187 0.4966
6.9000 -1.4000 -1.7500 3.6892 0.0116 0.0786 2.1735 0.0501 0.0206 0.0154 0.0239 0.0134 0.3444
6.9000 -1.4000 -1.5000 3.3072 0.0168 0.0724 2.3277 0.0290 0.0124 0.0098 0.0139 0.0078 0.2048
6.9000 -1.4000 -1.2500 2.8805 0.0184 0.0571 2.3987 0.0139 0.0066 0.0060 0.0075 0.0039 0.1072
6.9000 -1.4000 -1.0000 2.5334 0.0161 0.0397 2.3673 0.0059 0.0033 0.0031 0.0036 0.0017 0.0499
6.9000 -1.4000 -0.7500 2.1815 0.0111 0.0242 2.2416 0.0019 0.0010 0.0000 0.0017 0.0000 0.0224
6.9000 -1.4000 -0.5000 2.1160 0.0062 0.0138 2.0686 0.0000 0.0000 0.0000 0.0000 0.0000 0.0106
7.0000 -1.4000 -4.0000 81.0605 0.0000 0.0000 0.2690 0.0000 0.0000 0.4343 0.0155 0.0000 0.0266
7.0000 -1.4000 -3.7500 83.0505 0.0000 0.0000 0.4766 0.0015 0.0030 0.4893 0.0222 0.0012 0.0845
7.0000 -1.4000 -3.5000 30.2224 0.0000 0.0000 0.8496 0.0086 0.0061 0.4828 0.0323 0.0044 0.2723
7.0000 -1.4000 -3.2500 25.6307 0.0000 0.0000 1.1245 0.0212 0.0106 0.3504 0.0402 0.0096 0.5053
7.0000 -1.4000 -3.0000 17.9617 0.0000 0.0044 1.3311 0.0402 0.0171 0.2146 0.0471 0.0160 0.7118
7.0000 -1.4000 -2.7500 11.8159 0.0000 0.0135 1.4723 0.0616 0.0254 0.1275 0.0503 0.0218 0.8271
7.0000 -1.4000 -2.5000 7.6541 0.0000 0.0318 1.6154 0.0811 0.0336 0.0774 0.0478 0.0259 0.8477
7.0000 -1.4000 -2.2500 5.6858 0.0017 0.0582 1.7725 0.0912 0.0380 0.0492 0.0398 0.0267 0.7742
