#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.4
# Plane-parallel geometry, stop criterion: 2% free electrons, 
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 41.8140000 	 0.0000000 	 0.0000000 	 1.0738000 	 0.0000000 	 0.0000000 	 0.3860000 	 0.0172000 	 0.0000000 	 0.0262000
6.9000000 	 -1.4000000 	 -3.7500000 	 42.9586000 	 0.0000000 	 0.0000000 	 1.5499000 	 0.0014000 	 0.0028000 	 0.4151000 	 0.0216000 	 0.0010000 	 0.0729000
6.9000000 	 -1.4000000 	 -3.5000000 	 37.5761000 	 0.0000000 	 0.0000000 	 1.9838000 	 0.0067000 	 0.0053000 	 0.3838000 	 0.0268000 	 0.0033000 	 0.1913000
6.9000000 	 -1.4000000 	 -3.2500000 	 27.5486000 	 0.0000000 	 0.0000000 	 2.2656000 	 0.0174000 	 0.0090000 	 0.2863000 	 0.0320000 	 0.0074000 	 0.3591000
6.9000000 	 -1.4000000 	 -3.0000000 	 17.3052000 	 0.0000000 	 0.0042000 	 2.4157000 	 0.0327000 	 0.0144000 	 0.1890000 	 0.0359000 	 0.0122000 	 0.4955000
6.9000000 	 -1.4000000 	 -2.7500000 	 11.6147000 	 0.0000000 	 0.0128000 	 2.4901000 	 0.0481000 	 0.0202000 	 0.1235000 	 0.0359000 	 0.0159000 	 0.5501000
6.9000000 	 -1.4000000 	 -2.5000000 	 7.7502000 	 0.0000000 	 0.0283000 	 2.5939000 	 0.0601000 	 0.0243000 	 0.0799000 	 0.0317000 	 0.0179000 	 0.5386000
6.9000000 	 -1.4000000 	 -2.2500000 	 5.2352000 	 0.0018000 	 0.0454000 	 2.7417000 	 0.0645000 	 0.0245000 	 0.0511000 	 0.0256000 	 0.0177000 	 0.4759000
6.9000000 	 -1.4000000 	 -2.0000000 	 4.1712000 	 0.0059000 	 0.0542000 	 2.8992000 	 0.0579000 	 0.0198000 	 0.0351000 	 0.0192000 	 0.0150000 	 0.3736000
6.9000000 	 -1.4000000 	 -1.7500000 	 3.3818000 	 0.0089000 	 0.0507000 	 3.0479000 	 0.0432000 	 0.0134000 	 0.0248000 	 0.0133000 	 0.0109000 	 0.2610000
6.9000000 	 -1.4000000 	 -1.5000000 	 2.9434000 	 0.0100000 	 0.0391000 	 3.1377000 	 0.0272000 	 0.0081000 	 0.0186000 	 0.0086000 	 0.0068000 	 0.1631000
6.9000000 	 -1.4000000 	 -1.2500000 	 2.7096000 	 0.0088000 	 0.0264000 	 3.1306000 	 0.0152000 	 0.0046000 	 0.0140000 	 0.0054000 	 0.0039000 	 0.0941000
6.9000000 	 -1.4000000 	 -1.0000000 	 2.5704000 	 0.0067000 	 0.0166000 	 2.9991000 	 0.0082000 	 0.0027000 	 0.0114000 	 0.0034000 	 0.0021000 	 0.0527000
