#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 41.8140000 	 0.0000000 	 0.0000000 	 1.0738000 	 0.0000000 	 0.0000000 	 0.3860000 	 0.0172000 	 0.0000000 	 0.0262000
6.9000000 	 -1.4000000 	 -3.7500000 	 42.9852000 	 0.0000000 	 0.0000000 	 1.5493000 	 0.0014000 	 0.0028000 	 0.4149000 	 0.0216000 	 0.0010000 	 0.0728000
6.9000000 	 -1.4000000 	 -3.5000000 	 37.5764000 	 0.0000000 	 0.0000000 	 1.9838000 	 0.0067000 	 0.0053000 	 0.3838000 	 0.0268000 	 0.0033000 	 0.1913000
6.9000000 	 -1.4000000 	 -3.2500000 	 27.5482000 	 0.0000000 	 0.0000000 	 2.2656000 	 0.0174000 	 0.0090000 	 0.2863000 	 0.0320000 	 0.0074000 	 0.3592000
6.9000000 	 -1.4000000 	 -3.0000000 	 17.3681000 	 0.0000000 	 0.0042000 	 2.4133000 	 0.0327000 	 0.0143000 	 0.1893000 	 0.0359000 	 0.0121000 	 0.4948000
6.9000000 	 -1.4000000 	 -2.7500000 	 11.4006000 	 0.0000000 	 0.0128000 	 2.4978000 	 0.0483000 	 0.0202000 	 0.1224000 	 0.0359000 	 0.0160000 	 0.5522000
6.9000000 	 -1.4000000 	 -2.5000000 	 7.7498000 	 0.0000000 	 0.0283000 	 2.5937000 	 0.0601000 	 0.0243000 	 0.0799000 	 0.0317000 	 0.0179000 	 0.5387000
6.9000000 	 -1.4000000 	 -2.2500000 	 5.2356000 	 0.0018000 	 0.0454000 	 2.7417000 	 0.0645000 	 0.0245000 	 0.0512000 	 0.0256000 	 0.0177000 	 0.4759000
6.9000000 	 -1.4000000 	 -2.0000000 	 4.1756000 	 0.0059000 	 0.0542000 	 2.8988000 	 0.0579000 	 0.0198000 	 0.0351000 	 0.0192000 	 0.0150000 	 0.3735000
6.9000000 	 -1.4000000 	 -1.7500000 	 3.3819000 	 0.0089000 	 0.0507000 	 3.0479000 	 0.0432000 	 0.0134000 	 0.0248000 	 0.0133000 	 0.0109000 	 0.2610000
6.9000000 	 -1.4000000 	 -1.5000000 	 2.9256000 	 0.0100000 	 0.0391000 	 3.1382000 	 0.0272000 	 0.0081000 	 0.0184000 	 0.0086000 	 0.0068000 	 0.1631000
6.9000000 	 -1.4000000 	 -1.2500000 	 2.7933000 	 0.0088000 	 0.0264000 	 3.1288000 	 0.0152000 	 0.0046000 	 0.0143000 	 0.0054000 	 0.0039000 	 0.0941000
6.9000000 	 -1.4000000 	 -1.0000000 	 2.5771000 	 0.0067000 	 0.0166000 	 2.9987000 	 0.0082000 	 0.0027000 	 0.0114000 	 0.0035000 	 0.0021000 	 0.0527000
6.9000000 	 -1.4000000 	 -0.7500000 	 1.2445000 	 0.0069000 	 0.0123000 	 2.7075000 	 0.0314000 	 0.0015000 	 0.0062000 	 0.0023000 	 0.0051000 	 0.0649000
6.9000000 	 -1.4000000 	 -0.5000000 	 1.1613000 	 0.0057000 	 0.0087000 	 2.6456000 	 0.0278000 	 0.0013000 	 0.0048000 	 0.0023000 	 0.0044000 	 0.0536000
6.9000000 	 -1.2750000 	 -4.0000000 	 41.8116000 	 0.0000000 	 0.0000000 	 1.0738000 	 0.0000000 	 0.0012000 	 0.3860000 	 0.0172000 	 0.0000000 	 0.0262000
6.9000000 	 -1.2750000 	 -3.7500000 	 43.0599000 	 0.0000000 	 0.0000000 	 1.5476000 	 0.0014000 	 0.0038000 	 0.4146000 	 0.0216000 	 0.0010000 	 0.0724000
