#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.1500000 	 -2.2500000 	 1.6144000 	 0.0000000 	 0.0201000 	 0.0098000 	 0.0794000 	 0.0461000 	 0.0942000 	 0.0928000 	 0.0263000 	 0.9086000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.2096000 	 0.0000000 	 0.0440000 	 0.0132000 	 0.1163000 	 0.0597000 	 0.0679000 	 0.1103000 	 0.0352000 	 1.0765000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.9436000 	 0.0000000 	 0.0875000 	 0.0186000 	 0.1646000 	 0.0735000 	 0.0512000 	 0.1292000 	 0.0459000 	 1.2459000
6.9000000 	 -1.0250000 	 -2.2500000 	 1.6152000 	 0.0000000 	 0.0260000 	 0.0098000 	 0.0793000 	 0.0614000 	 0.0941000 	 0.0927000 	 0.0263000 	 0.9082000
6.9000000 	 -1.0250000 	 -2.0000000 	 1.2094000 	 0.0000000 	 0.0569000 	 0.0132000 	 0.1160000 	 0.0795000 	 0.0679000 	 0.1102000 	 0.0352000 	 1.0758000
6.9000000 	 -1.0250000 	 -1.7500000 	 0.9432000 	 0.0000000 	 0.1137000 	 0.0186000 	 0.1642000 	 0.0977000 	 0.0512000 	 0.1291000 	 0.0458000 	 1.2448000
6.9000000 	 -0.9000000 	 -2.2500000 	 1.6155000 	 0.0000000 	 0.0337000 	 0.0098000 	 0.0792000 	 0.0817000 	 0.0940000 	 0.0927000 	 0.0262000 	 0.9076000
6.9000000 	 -0.9000000 	 -2.0000000 	 1.2111000 	 0.0000000 	 0.0739000 	 0.0132000 	 0.1158000 	 0.1057000 	 0.0679000 	 0.1101000 	 0.0351000 	 1.0749000
6.9000000 	 -0.9000000 	 -1.7500000 	 0.9427000 	 0.0000000 	 0.1477000 	 0.0186000 	 0.1635000 	 0.1298000 	 0.0511000 	 0.1289000 	 0.0457000 	 1.2433000
7.0000000 	 -1.1500000 	 -2.2500000 	 1.5934000 	 0.0000000 	 0.0228000 	 0.0090000 	 0.0971000 	 0.0571000 	 0.1196000 	 0.0728000 	 0.0324000 	 1.1331000
7.0000000 	 -1.1500000 	 -2.0000000 	 1.1955000 	 0.0000000 	 0.0499000 	 0.0122000 	 0.1417000 	 0.0739000 	 0.0861000 	 0.0865000 	 0.0434000 	 1.3419000
7.0000000 	 -1.1500000 	 -1.7500000 	 0.9348000 	 0.0000000 	 0.0999000 	 0.0172000 	 0.1999000 	 0.0910000 	 0.0648000 	 0.1013000 	 0.0563000 	 1.5519000
7.0000000 	 -0.9000000 	 -2.2500000 	 1.6038000 	 0.0000000 	 0.0382000 	 0.0090000 	 0.0967000 	 0.1011000 	 0.1194000 	 0.0727000 	 0.0323000 	 1.1317000
