#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -0.5
# SED: post-AGB stars from Rauch T* = 100,000 K
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)   log(C/O)   log(U)   Lya_1216   NV_1239   CIV_1549   HeII_1640   OIII_1665   CIII_1909   OII_3727   NeIII_3869   OIII_4363   OIII_5007
6.9000 -1.4000 -4.0000 82.9191 0.0000 0.0000 0.6760 0.0000 0.0035 0.5248 0.0284 0.0000 0.0509
6.9000 -1.4000 -3.7500 49.0979 0.0000 0.0000 0.3381 0.0018 0.0035 0.3812 0.0233 0.0014 0.1005
6.9000 -1.4000 -3.5000 45.4236 0.0000 0.0000 0.3512 0.0060 0.0052 0.3399 0.0268 0.0032 0.2006
6.9000 -1.4000 -3.2500 35.8723 0.0000 0.0000 0.3236 0.0130 0.0073 0.2617 0.0310 0.0061 0.3389
6.9000 -1.4000 -3.0000 24.8624 0.0000 0.0013 0.2922 0.0229 0.0099 0.1840 0.0357 0.0098 0.4788
6.9000 -1.4000 -2.7500 15.8484 0.0000 0.0065 0.2799 0.0370 0.0128 0.1215 0.0415 0.0143 0.6170
6.9000 -1.4000 -2.5000 10.8771 0.0000 0.0174 0.2794 0.0555 0.0151 0.0814 0.0482 0.0196 0.7420
6.9000 -1.4000 -2.2500 7.2978 0.0000 0.0388 0.2990 0.0810 0.0166 0.0540 0.0562 0.0261 0.8689
6.9000 -1.4000 -1.7500 3.8430 0.0000 0.1276 0.4125 0.1592 0.0175 0.0282 0.0735 0.0428 1.1074
6.9000 -1.4000 -1.5000 2.9387 0.0000 0.2003 0.5267 0.2124 0.0175 0.0217 0.0814 0.0524 1.2091
6.9000 -1.4000 -1.2500 2.3831 0.0000 0.2836 0.6942 0.2663 0.0170 0.0173 0.0869 0.0611 1.2783
6.9000 -1.4000 -1.0000 2.0663 0.0016 0.3546 0.9201 0.3068 0.0157 0.0151 0.0889 0.0666 1.2989
6.9000 -1.4000 -0.7500 1.7753 0.0063 0.3932 1.2058 0.3240 0.0140 0.0130 0.0871 0.0681 1.2715
6.9000 -1.4000 -0.5000 1.6319 0.0144 0.3967 1.5397 0.3171 0.0122 0.0118 0.0823 0.0657 1.2028
7.0000 -1.4000 -0.7500 1.8148 0.0078 0.4816 1.2117 0.4030 0.0175 0.0167 0.1096 0.0851 1.5999
7.0000 -1.4000 -0.5000 1.6680 0.0176 0.4859 1.5485 0.3948 0.0153 0.0153 0.1035 0.0822 1.5138
7.0000 -1.4000 -4.0000 82.6820 0.0000 0.0000 0.6762 0.0000 0.0043 0.6597 0.0357 0.0000 0.0640
7.0000 -1.4000 -3.7500 49.1269 0.0000 0.0000 0.3342 0.0022 0.0045 0.4791 0.0292 0.0017 0.1246
7.0000 -1.4000 -3.5000 45.2455 0.0000 0.0000 0.3524 0.0076 0.0065 0.4271 0.0337 0.0040 0.2528
7.0000 -1.4000 -3.2500 35.7333 0.0000 0.0000 0.3246 0.0162 0.0092 0.3287 0.0389 0.0076 0.4268
7.0000 -1.4000 -3.0000 24.6144 0.0000 0.0016 0.2911 0.0286 0.0124 0.2325 0.0448 0.0122 0.5996
7.0000 -1.4000 -2.7500 15.9282 0.0000 0.0081 0.2796 0.0461 0.0159 0.1536 0.0521 0.0179 0.7737
7.0000 -1.4000 -2.5000 10.8180 0.0000 0.0216 0.2801 0.0694 0.0189 0.1022 0.0606 0.0245 0.9330
7.0000 -1.4000 -2.2500 7.2981 0.0000 0.0482 0.2993 0.1011 0.0207 0.0684 0.0705 0.0326 1.0911
7.0000 -1.4000 -2.0000 5.2282 0.0000 0.0922 0.3411 0.1435 0.0215 0.0479 0.0813 0.0423 1.2452
7.0000 -1.4000 -1.7500 3.7903 0.0000 0.1581 0.4142 0.1987 0.0219 0.0350 0.0924 0.0536 1.3934
7.0000 -1.4000 -1.5000 2.8916 0.0000 0.2474 0.5290 0.2647 0.0218 0.0267 0.1023 0.0656 1.5218
7.0000 -1.4000 -1.2500 2.4172 0.0000 0.3485 0.6965 0.3311 0.0211 0.0220 0.1092 0.0763 1.6070
7.0000 -1.4000 -1.0000 2.0082 0.0019 0.4352 0.9251 0.3819 0.0195 0.0186 0.1118 0.0834 1.6356
7.1000 -1.4000 -3.7500 48.5786 0.0000 0.0000 0.3430 0.0029 0.0056 0.6023 0.0369 0.0022 0.1614
7.1000 -1.4000 -3.5000 45.1900 0.0000 0.0000 0.3501 0.0095 0.0080 0.5372 0.0423 0.0049 0.3157
7.1000 -1.4000 -3.2500 35.6814 0.0000 0.0000 0.3241 0.0203 0.0115 0.4137 0.0489 0.0095 0.5353
7.1000 -1.4000 -3.0000 24.7334 0.0000 0.0030 0.2931 0.0359 0.0156 0.2910 0.0564 0.0153 0.7562
7.1000 -1.4000 -2.7500 15.7739 0.0000 0.0101 0.2809 0.0578 0.0201 0.1922 0.0656 0.0224 0.9744
7.1000 -1.4000 -2.5000 10.6711 0.0000 0.0269 0.2818 0.0868 0.0237 0.1270 0.0762 0.0308 1.1758
7.1000 -1.4000 -2.2500 7.3345 0.0000 0.0597 0.3001 0.1260 0.0258 0.0862 0.0885 0.0408 1.3705
7.1000 -1.4000 -2.0000 5.1831 0.0000 0.1142 0.3424 0.1788 0.0269 0.0600 0.1021 0.0529 1.5653
7.1000 -1.4000 -1.7500 3.8451 0.0000 0.1951 0.4159 0.2471 0.0273 0.0437 0.1160 0.0669 1.7516
7.1000 -1.4000 -1.5000 2.9649 0.0000 0.3034 0.5305 0.3281 0.0271 0.0343 0.1283 0.0818 1.9103
7.1000 -1.4000 -1.2500 2.4363 0.0000 0.4254 0.6995 0.4102 0.0261 0.0280 0.1370 0.0951 2.0189
7.1000 -1.4000 -1.0000 2.0328 0.0036 0.5296 0.9294 0.4731 0.0242 0.0238 0.1404 0.1040 2.0561
7.1000 -1.4000 -0.7500 1.8293 0.0095 0.5858 1.2191 0.4999 0.0216 0.0213 0.1378 0.1063 2.0130
7.1000 -1.4000 -0.5000 1.6433 0.0214 0.5920 1.5618 0.4910 0.0190 0.0189 0.1304 0.1028 1.9075
7.1000 -1.4000 -4.0000 82.3840 0.0000 0.0000 0.6765 0.0012 0.0055 0.8292 0.0449 0.0010 0.0804
7.2000 -1.4000 -0.5000 1.6605 0.0257 0.7139 1.5749 0.6078 0.0234 0.0242 0.1640 0.1282 2.4007
7.2000 -1.4000 -4.0000 82.0095 0.0000 0.0000 0.6769 0.0015 0.0068 1.0417 0.0564 0.0013 0.1011
