#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -0.5
# SED: post-AGB stars from Rauch T* = 150,000 K
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000 -1.4000 -4.0000 20.1990 0.0000 0.0000 2.0527 0.0000 0.0000 0.2705 0.0220 0.0000 0.0099
6.9000 -1.4000 -3.7500 11.6304 0.0000 0.0000 2.3724 0.0000 0.0011 0.3101 0.0229 0.0000 0.0343
6.9000 -1.4000 -3.5000 6.5631 0.0000 0.0000 2.7018 0.0026 0.0035 0.3167 0.0249 0.0017 0.1085
6.9000 -1.4000 -3.2500 3.6152 0.0000 0.0000 3.0032 0.0103 0.0060 0.2587 0.0277 0.0046 0.2416
6.9000 -1.4000 -3.0000 1.8883 0.0000 0.0039 3.2373 0.0199 0.0096 0.1755 0.0293 0.0079 0.3523
6.9000 -1.4000 -2.7500 0.9286 0.0000 0.0129 3.4046 0.0262 0.0126 0.1104 0.0268 0.0095 0.3724
6.9000 -1.4000 -2.5000 0.4707 0.0000 0.0266 3.5412 0.0271 0.0133 0.0694 0.0212 0.0092 0.3270
6.9000 -1.4000 -2.2500 0.2665 0.0016 0.0383 3.6727 0.0243 0.0117 0.0450 0.0156 0.0078 0.2608
6.9000 -1.4000 -2.0000 0.1678 0.0049 0.0430 3.7989 0.0193 0.0093 0.0305 0.0111 0.0060 0.1956
6.9000 -1.4000 -1.7500 0.1130 0.0071 0.0414 3.8933 0.0142 0.0069 0.0217 0.0078 0.0044 0.1405
6.9000 -1.4000 -1.5000 0.0843 0.0083 0.0365 3.9277 0.0100 0.0052 0.0164 0.0055 0.0031 0.0988
6.9000 -1.4000 -1.2500 0.0696 0.0085 0.0309 3.9031 0.0070 0.0040 0.0133 0.0039 0.0022 0.0700
6.9000 -1.4000 -1.0000 0.0566 0.0080 0.0260 3.8460 0.0048 0.0031 0.0116 0.0030 0.0015 0.0513
6.9000 -1.4000 -0.7500 0.0443 0.0073 0.0223 3.8077 0.0027 0.0026 0.0112 0.0024 0.0012 0.0395
6.9000 -1.4000 -0.5000 0.0308 0.0065 0.0196 3.8020 0.0021 0.0014 0.0114 0.0021 0.0000 0.0321
7.0000 -1.4000 -3.7500 11.6715 0.0000 0.0000 2.3740 0.0000 0.0014 0.3902 0.0288 0.0000 0.0432
7.0000 -1.4000 -3.5000 6.5297 0.0000 0.0000 2.7037 0.0043 0.0043 0.3984 0.0313 0.0022 0.1364
7.0000 -1.4000 -3.2500 3.5188 0.0000 0.0000 3.0055 0.0130 0.0076 0.3255 0.0349 0.0058 0.3040
7.0000 -1.4000 -3.0000 1.8352 0.0000 0.0050 3.2403 0.0249 0.0121 0.2208 0.0369 0.0099 0.4434
7.0000 -1.4000 -2.7500 0.9441 0.0000 0.0160 3.4093 0.0329 0.0159 0.1389 0.0338 0.0119 0.4688
7.0000 -1.4000 -2.5000 0.4790 0.0000 0.0333 3.5467 0.0341 0.0167 0.0874 0.0267 0.0115 0.4118
7.0000 -1.4000 -2.2500 0.2673 0.0030 0.0478 3.6797 0.0304 0.0147 0.0568 0.0196 0.0098 0.3284
7.0000 -1.4000 -2.0000 0.1669 0.0061 0.0537 3.8069 0.0244 0.0116 0.0384 0.0140 0.0076 0.2464
7.0000 -1.4000 -1.7500 0.1106 0.0089 0.0516 3.9027 0.0180 0.0088 0.0274 0.0098 0.0055 0.1771
7.0000 -1.4000 -1.5000 0.0836 0.0103 0.0456 3.9390 0.0126 0.0065 0.0206 0.0069 0.0039 0.1246
7.0000 -1.4000 -1.2500 0.0708 0.0105 0.0385 3.9174 0.0087 0.0050 0.0166 0.0049 0.0027 0.0883
7.0000 -1.4000 -1.0000 0.0585 0.0098 0.0323 3.8656 0.0062 0.0040 0.0147 0.0037 0.0020 0.0647
7.0000 -1.4000 -0.7500 0.0429 0.0091 0.0276 3.8283 0.0046 0.0033 0.0141 0.0030 0.0015 0.0497
7.0000 -1.4000 -0.5000 0.0307 0.0080 0.0241 3.8205 0.0026 0.0029 0.0141 0.0026 0.0012 0.0402
7.0000 -1.4000 -4.0000 20.0443 0.0000 0.0000 2.0542 0.0000 0.0000 0.3403 0.0277 0.0000 0.0125
7.1000 -1.4000 -4.0000 20.0036 0.0000 0.0000 2.0561 0.0000 0.0010 0.4280 0.0348 0.0000 0.0158
7.1000 -1.4000 -3.7500 11.6509 0.0000 0.0000 2.3763 0.0000 0.0030 0.4908 0.0362 0.0000 0.0543
7.1000 -1.4000 -3.5000 6.5088 0.0000 0.0000 2.7062 0.0054 0.0055 0.5012 0.0394 0.0027 0.1717
7.1000 -1.4000 -3.2500 3.5244 0.0000 0.0000 3.0083 0.0162 0.0095 0.4097 0.0439 0.0073 0.3824
7.1000 -1.4000 -3.0000 1.8508 0.0000 0.0062 3.2446 0.0313 0.0151 0.2779 0.0464 0.0124 0.5579
7.1000 -1.4000 -2.7500 0.9238 0.0000 0.0201 3.4147 0.0413 0.0199 0.1749 0.0425 0.0150 0.5902
7.1000 -1.4000 -2.5000 0.4698 0.0000 0.0414 3.5538 0.0428 0.0210 0.1099 0.0336 0.0145 0.5186
7.1000 -1.4000 -2.2500 0.2665 0.0038 0.0596 3.6885 0.0382 0.0185 0.0714 0.0247 0.0123 0.4137
7.1000 -1.4000 -2.0000 0.1661 0.0076 0.0669 3.8168 0.0306 0.0146 0.0484 0.0176 0.0096 0.3105
7.1000 -1.4000 -1.7500 0.1129 0.0111 0.0643 3.9147 0.0225 0.0109 0.0344 0.0124 0.0070 0.2232
7.1000 -1.4000 -1.5000 0.0838 0.0129 0.0567 3.9543 0.0158 0.0081 0.0259 0.0087 0.0049 0.1571
7.1000 -1.4000 -1.2500 0.0669 0.0130 0.0479 3.9365 0.0110 0.0063 0.0210 0.0062 0.0034 0.1114
7.1000 -1.4000 -1.0000 0.0559 0.0123 0.0402 3.8890 0.0078 0.0050 0.0185 0.0047 0.0025 0.0816
7.1000 -1.4000 -0.7500 0.0453 0.0112 0.0343 3.8542 0.0058 0.0041 0.0176 0.0038 0.0018 0.0627
7.1000 -1.4000 -0.5000 0.0307 0.0100 0.0299 3.8441 0.0044 0.0036 0.0177 0.0033 0.0015 0.0505
7.2000 -1.4000 -4.0000 20.3023 0.0000 0.0000 2.0587 0.0000 0.0013 0.5383 0.0437 0.0000 0.0198
7.2000 -1.4000 -3.7500 11.5654 0.0000 0.0000 2.3789 0.0012 0.0038 0.6171 0.0455 0.0000 0.0683
7.2000 -1.4000 -3.5000 6.4635 0.0000 0.0000 2.7092 0.0067 0.0068 0.6304 0.0495 0.0034 0.2159
7.2000 -1.4000 -3.2500 3.4889 0.0000 0.0010 3.0124 0.0204 0.0120 0.5152 0.0552 0.0091 0.4811
7.2000 -1.4000 -3.0000 1.8393 0.0000 0.0077 3.2497 0.0392 0.0191 0.3497 0.0584 0.0156 0.7020
7.2000 -1.4000 -2.7500 0.9358 0.0000 0.0249 3.4217 0.0518 0.0250 0.2201 0.0535 0.0188 0.7429
7.2000 -1.4000 -2.5000 0.4637 0.0011 0.0517 3.5622 0.0537 0.0263 0.1385 0.0424 0.0182 0.6530
7.2000 -1.4000 -2.2500 0.2624 0.0048 0.0743 3.6986 0.0479 0.0232 0.0898 0.0312 0.0154 0.5212
7.2000 -1.4000 -2.0000 0.1626 0.0095 0.0834 3.8293 0.0384 0.0182 0.0610 0.0222 0.0120 0.3913
7.2000 -1.4000 -1.7500 0.1086 0.0138 0.0802 3.9296 0.0283 0.0137 0.0434 0.0156 0.0088 0.2814
7.2000 -1.4000 -1.5000 0.0822 0.0161 0.0706 3.9719 0.0199 0.0103 0.0326 0.0109 0.0062 0.1981
7.2000 -1.4000 -1.2500 0.0687 0.0162 0.0595 3.9595 0.0138 0.0078 0.0264 0.0079 0.0043 0.1406
7.2000 -1.4000 -1.0000 0.0581 0.0153 0.0500 3.9173 0.0098 0.0063 0.0232 0.0059 0.0031 0.1030
7.2000 -1.4000 -0.7500 0.0450 0.0138 0.0425 3.8856 0.0072 0.0053 0.0220 0.0048 0.0023 0.0790
7.2000 -1.4000 -0.5000 0.0315 0.0122 0.0369 3.8743 0.0055 0.0045 0.0221 0.0041 0.0018 0.0634
7.3000 -1.4000 -3.7500 11.7960 0.0000 0.0000 2.3823 0.0015 0.0047 0.7760 0.0572 0.0011 0.0859
7.3000 -1.4000 -3.5000 6.4577 0.0000 0.0000 2.7122 0.0085 0.0085 0.7926 0.0622 0.0043 0.2715
7.3000 -1.4000 -3.2500 3.5466 0.0000 0.0013 3.0178 0.0255 0.0150 0.6478 0.0694 0.0115 0.6050
7.3000 -1.4000 -3.0000 1.8132 0.0000 0.0095 3.2565 0.0490 0.0239 0.4399 0.0734 0.0196 0.8832
7.3000 -1.4000 -2.7500 0.9217 0.0000 0.0310 3.4301 0.0648 0.0313 0.2771 0.0672 0.0236 0.9351
7.3000 -1.4000 -2.5000 0.4584 0.0014 0.0645 3.5731 0.0672 0.0330 0.1743 0.0533 0.0228 0.8224
7.3000 -1.4000 -2.2500 0.2645 0.0059 0.0926 3.7119 0.0600 0.0290 0.1132 0.0392 0.0194 0.6567
7.3000 -1.4000 -2.0000 0.1661 0.0118 0.1038 3.8451 0.0480 0.0229 0.0767 0.0280 0.0151 0.4932
7.3000 -1.4000 -1.7500 0.1093 0.0172 0.0998 3.9482 0.0355 0.0172 0.0546 0.0197 0.0110 0.3548
7.3000 -1.4000 -1.5000 0.0816 0.0200 0.0877 3.9953 0.0250 0.0129 0.0411 0.0138 0.0078 0.2501
7.3000 -1.4000 -1.2500 0.0674 0.0201 0.0740 3.9873 0.0173 0.0099 0.0332 0.0099 0.0054 0.1775
7.3000 -1.4000 -1.0000 0.0555 0.0188 0.0620 3.9514 0.0122 0.0078 0.0292 0.0075 0.0039 0.1300
7.3000 -1.4000 -0.7500 0.0447 0.0169 0.0526 3.9240 0.0090 0.0066 0.0276 0.0060 0.0029 0.0996
7.3000 -1.4000 -0.5000 0.0317 0.0150 0.0455 3.9125 0.0070 0.0056 0.0276 0.0051 0.0023 0.0797
7.3000 -1.4000 -4.0000 20.9528 0.0000 0.0000 2.0609 0.0000 0.0027 0.6766 0.0550 0.0000 0.0249
7.4000 -1.4000 -3.7500 12.3870 0.0000 0.0000 2.3868 0.0018 0.0059 0.9753 0.0719 0.0014 0.1081
7.4000 -1.4000 -3.5000 6.6518 0.0000 0.0000 2.7183 0.0106 0.0107 0.9962 0.0782 0.0054 0.3415
7.4000 -1.4000 -3.2500 3.5114 0.0000 0.0016 3.0236 0.0318 0.0188 0.8147 0.0872 0.0143 0.7602
7.4000 -1.4000 -3.0000 1.8215 0.0000 0.0119 3.2649 0.0612 0.0297 0.5533 0.0923 0.0245 1.1107
7.4000 -1.4000 -2.7500 0.9030 0.0000 0.0385 3.4403 0.0809 0.0391 0.3486 0.0846 0.0295 1.1769
7.4000 -1.4000 -2.5000 0.4533 0.0017 0.0802 3.5864 0.0840 0.0412 0.2194 0.0671 0.0286 1.0358
7.4000 -1.4000 -2.2500 0.2579 0.0074 0.1151 3.7286 0.0750 0.0363 0.1425 0.0494 0.0243 0.8275
7.4000 -1.4000 -2.0000 0.1646 0.0147 0.1290 3.8653 0.0602 0.0286 0.0967 0.0353 0.0190 0.6218
7.4000 -1.4000 -1.7500 0.1105 0.0213 0.1240 3.9714 0.0445 0.0215 0.0688 0.0248 0.0139 0.4478
7.4000 -1.4000 -1.5000 0.0808 0.0248 0.1089 4.0227 0.0313 0.0161 0.0517 0.0174 0.0098 0.3158
7.4000 -1.4000 -1.2500 0.0666 0.0249 0.0917 4.0212 0.0217 0.0124 0.0419 0.0125 0.0068 0.2244
7.4000 -1.4000 -1.0000 0.0560 0.0233 0.0768 3.9930 0.0154 0.0098 0.0367 0.0095 0.0049 0.1643
7.4000 -1.4000 -0.7500 0.0447 0.0209 0.0651 3.9698 0.0114 0.0082 0.0346 0.0076 0.0037 0.1256
7.4000 -1.4000 -0.5000 0.0322 0.0184 0.0560 3.9591 0.0087 0.0071 0.0343 0.0065 0.0029 0.1003
7.4000 -1.4000 -4.0000 21.7652 0.0000 0.0000 2.0667 0.0000 0.0033 0.8506 0.0691 0.0000 0.0314
7.5000 -1.4000 -3.7500 13.0234 0.0000 0.0000 2.3916 0.0023 0.0073 1.2251 0.0903 0.0018 0.1358
7.5000 -1.4000 -3.5000 7.0952 0.0000 0.0000 2.7248 0.0132 0.0133 1.2516 0.0983 0.0068 0.4290
7.5000 -1.4000 -3.2500 3.5879 0.0000 0.0030 3.0316 0.0397 0.0234 1.0237 0.1095 0.0180 0.9559
7.5000 -1.4000 -3.0000 1.8207 0.0000 0.0147 3.2749 0.0762 0.0372 0.6959 0.1159 0.0307 1.3963
7.5000 -1.4000 -2.7500 0.9122 0.0000 0.0478 3.4542 0.1009 0.0489 0.4385 0.1063 0.0370 1.4811
7.5000 -1.4000 -2.5000 0.4565 0.0032 0.0995 3.6041 0.1048 0.0515 0.2761 0.0844 0.0358 1.3044
7.5000 -1.4000 -2.2500 0.2580 0.0091 0.1428 3.7493 0.0938 0.0452 0.1794 0.0623 0.0305 1.0430
7.5000 -1.4000 -2.0000 0.1613 0.0182 0.1601 3.8883 0.0753 0.0357 0.1217 0.0445 0.0238 0.7843
7.5000 -1.4000 -1.7500 0.1103 0.0265 0.1537 3.9998 0.0558 0.0268 0.0866 0.0313 0.0174 0.5655
7.5000 -1.4000 -1.5000 0.0805 0.0307 0.1348 4.0576 0.0393 0.0202 0.0652 0.0220 0.0123 0.3990
7.5000 -1.4000 -1.2500 0.0683 0.0307 0.1135 4.0640 0.0274 0.0154 0.0527 0.0158 0.0086 0.2837
7.5000 -1.4000 -1.0000 0.0601 0.0286 0.0949 4.0425 0.0194 0.0123 0.0461 0.0120 0.0062 0.2078
7.5000 -1.4000 -0.7500 0.0477 0.0256 0.0802 4.0250 0.0143 0.0103 0.0434 0.0096 0.0046 0.1587
7.5000 -1.4000 -0.5000 0.0345 0.0225 0.0690 4.0163 0.0110 0.0089 0.0428 0.0081 0.0036 0.1264
7.5000 -1.4000 -4.0000 22.6147 0.0000 0.0000 2.0722 0.0000 0.0042 1.0684 0.0867 0.0000 0.0394
7.6000 -1.4000 -3.7500 13.7554 0.0000 0.0000 2.3992 0.0029 0.0092 1.5383 0.1133 0.0023 0.1706
7.6000 -1.4000 -3.5000 7.5453 0.0000 0.0000 2.7327 0.0164 0.0166 1.5719 0.1234 0.0085 0.5390
7.6000 -1.4000 -3.2500 3.8533 0.0000 0.0037 3.0417 0.0494 0.0292 1.2860 0.1375 0.0224 1.2004
7.6000 -1.4000 -3.0000 1.8441 0.0000 0.0181 3.2878 0.0948 0.0463 0.8746 0.1456 0.0383 1.7547
7.6000 -1.4000 -2.7500 0.9147 0.0000 0.0592 3.4706 0.1256 0.0609 0.5514 0.1336 0.0462 1.8635
7.6000 -1.4000 -2.5000 0.4613 0.0039 0.1230 3.6249 0.1305 0.0641 0.3474 0.1062 0.0448 1.6428
7.6000 -1.4000 -2.2500 0.2592 0.0112 0.1766 3.7753 0.1167 0.0563 0.2258 0.0784 0.0382 1.3144
7.6000 -1.4000 -2.0000 0.1642 0.0224 0.1976 3.9200 0.0939 0.0444 0.1533 0.0562 0.0298 0.9894
7.6000 -1.4000 -1.7500 0.1123 0.0327 0.1894 4.0361 0.0696 0.0334 0.1091 0.0395 0.0218 0.7137
7.6000 -1.4000 -1.5000 0.0822 0.0378 0.1662 4.1007 0.0491 0.0250 0.0821 0.0278 0.0154 0.5044
7.6000 -1.4000 -1.2500 0.0708 0.0378 0.1399 4.1154 0.0343 0.0192 0.0663 0.0200 0.0108 0.3590
7.6000 -1.4000 -1.0000 0.0640 0.0351 0.1168 4.1024 0.0244 0.0154 0.0579 0.0151 0.0078 0.2631
7.6000 -1.4000 -0.7500 0.0541 0.0313 0.0986 4.0911 0.0180 0.0128 0.0541 0.0121 0.0058 0.2007
7.6000 -1.4000 -0.5000 0.0392 0.0274 0.0846 4.0857 0.0138 0.0111 0.0532 0.0102 0.0046 0.1595
7.6000 -1.4000 -4.0000 23.6859 0.0000 0.0000 2.0791 0.0000 0.0052 1.3412 0.1088 0.0000 0.0496
7.7000 -1.4000 -3.7500 14.5277 0.0000 0.0000 2.4080 0.0047 0.0115 1.9302 0.1421 0.0028 0.2143
7.7000 -1.4000 -3.5000 8.0027 0.0000 0.0000 2.7427 0.0204 0.0208 1.9721 0.1547 0.0106 0.6764
7.7000 -1.4000 -3.2500 4.1261 0.0000 0.0045 3.0537 0.0612 0.0364 1.6140 0.1725 0.0279 1.5070
7.7000 -1.4000 -3.0000 1.9723 0.0000 0.0222 3.3039 0.1174 0.0575 1.0985 0.1826 0.0477 2.2042
7.7000 -1.4000 -2.7500 0.9068 0.0000 0.0727 3.4914 0.1556 0.0756 0.6930 0.1678 0.0576 2.3434
7.7000 -1.4000 -2.5000 0.4571 0.0047 0.1516 3.6505 0.1619 0.0795 0.4368 0.1336 0.0559 2.0688
7.7000 -1.4000 -2.2500 0.2568 0.0138 0.2174 3.8072 0.1451 0.0699 0.2840 0.0988 0.0477 1.6573
7.7000 -1.4000 -2.0000 0.1659 0.0275 0.2428 3.9580 0.1167 0.0551 0.1929 0.0708 0.0373 1.2486
7.7000 -1.4000 -1.7500 0.1125 0.0401 0.2325 4.0808 0.0867 0.0415 0.1374 0.0499 0.0273 0.9017
7.7000 -1.4000 -1.5000 0.0842 0.0465 0.2039 4.1531 0.0613 0.0311 0.1033 0.0351 0.0193 0.6381
7.7000 -1.4000 -1.2500 0.0792 0.0465 0.1718 4.1769 0.0429 0.0240 0.0833 0.0253 0.0136 0.4549
7.7000 -1.4000 -1.0000 0.0799 0.0429 0.1432 4.1743 0.0306 0.0192 0.0726 0.0191 0.0098 0.3332
7.7000 -1.4000 -0.7500 0.0723 0.0381 0.1206 4.1687 0.0225 0.0160 0.0676 0.0152 0.0074 0.2541
7.7000 -1.4000 -0.5000 0.0577 0.0333 0.1034 4.1670 0.0173 0.0138 0.0661 0.0128 0.0057 0.2015
7.7000 -1.4000 -4.0000 24.8460 0.0000 0.0000 2.0877 0.0000 0.0065 1.6821 0.1365 0.0000 0.0623
7.8000 -1.4000 -3.7500 15.2584 0.0000 0.0000 2.4186 0.0059 0.0143 2.4186 0.1781 0.0035 0.2689
7.8000 -1.4000 -3.5000 8.4520 0.0000 0.0000 2.7549 0.0252 0.0258 2.4720 0.1939 0.0132 0.8485
7.8000 -1.4000 -3.2500 4.4064 0.0000 0.0056 3.0688 0.0754 0.0450 2.0241 0.2161 0.0347 1.8892
7.8000 -1.4000 -3.0000 2.1277 0.0000 0.0272 3.3236 0.1447 0.0711 1.3790 0.2288 0.0592 2.7658
7.8000 -1.4000 -2.7500 0.9646 0.0000 0.0892 3.5165 0.1921 0.0935 0.8705 0.2104 0.0717 2.9456
7.8000 -1.4000 -2.5000 0.4547 0.0058 0.1858 3.6831 0.2000 0.0983 0.5491 0.1679 0.0696 2.6039
7.8000 -1.4000 -2.2500 0.2561 0.0168 0.2660 3.8464 0.1795 0.0863 0.3573 0.1243 0.0595 2.0887
7.8000 -1.4000 -2.0000 0.1673 0.0336 0.2964 4.0049 0.1446 0.0681 0.2428 0.0893 0.0466 1.5761
7.8000 -1.4000 -1.7500 0.1158 0.0490 0.2835 4.1358 0.1077 0.0513 0.1729 0.0631 0.0342 1.1398
7.8000 -1.4000 -1.5000 0.0931 0.0568 0.2487 4.2168 0.0765 0.0386 0.1300 0.0445 0.0243 0.8085
7.8000 -1.4000 -1.2500 0.0911 0.0565 0.2101 4.2520 0.0537 0.0298 0.1047 0.0320 0.0172 0.5766
7.8000 -1.4000 -1.0000 0.0943 0.0521 0.1755 4.2582 0.0384 0.0238 0.0908 0.0241 0.0124 0.4227
7.8000 -1.4000 -0.7500 0.0913 0.0462 0.1479 4.2606 0.0283 0.0199 0.0841 0.0192 0.0093 0.3219
7.8000 -1.4000 -0.5000 0.0785 0.0403 0.1279 4.2630 0.0217 0.0172 0.0818 0.0161 0.0072 0.2552
7.8000 -1.4000 -4.0000 25.9820 0.0000 0.0000 2.0983 0.0000 0.0081 2.1072 0.1708 0.0000 0.0782
