#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.1500000 	 -2.5000000 	 0.4807000 	 0.0015000 	 0.1093000 	 3.5418000 	 0.0271000 	 0.0475000 	 0.3271000
6.9000000 	 -1.1500000 	 -2.2500000 	 0.2667000 	 0.0087000 	 0.1571000 	 3.6738000 	 0.0242000 	 0.0418000 	 0.2608000
6.9000000 	 -1.1500000 	 -2.0000000 	 0.1697000 	 0.0172000 	 0.1763000 	 3.7997000 	 0.0193000 	 0.0329000 	 0.1956000
6.9000000 	 -1.0250000 	 -2.5000000 	 0.4709000 	 0.0033000 	 0.1449000 	 3.5422000 	 0.0271000 	 0.0633000 	 0.3271000
6.9000000 	 -1.0250000 	 -2.2500000 	 0.2622000 	 0.0116000 	 0.2079000 	 3.6745000 	 0.0242000 	 0.0557000 	 0.2608000
6.9000000 	 -1.0250000 	 -2.0000000 	 0.1696000 	 0.0228000 	 0.2333000 	 3.7997000 	 0.0193000 	 0.0439000 	 0.1957000
6.9000000 	 -0.9000000 	 -2.5000000 	 0.4840000 	 0.0043000 	 0.1921000 	 3.5426000 	 0.0271000 	 0.0843000 	 0.3270000
6.9000000 	 -0.9000000 	 -2.2500000 	 0.2688000 	 0.0152000 	 0.2757000 	 3.6752000 	 0.0242000 	 0.0743000 	 0.2608000
6.9000000 	 -0.9000000 	 -2.0000000 	 0.1695000 	 0.0302000 	 0.3085000 	 3.8013000 	 0.0193000 	 0.0586000 	 0.1956000
7.0000000 	 -1.1500000 	 -2.5000000 	 0.4792000 	 0.0031000 	 0.1366000 	 3.5475000 	 0.0341000 	 0.0596000 	 0.4119000
7.0000000 	 -1.1500000 	 -2.2500000 	 0.2681000 	 0.0108000 	 0.1961000 	 3.6807000 	 0.0304000 	 0.0524000 	 0.3285000
7.0000000 	 -1.1500000 	 -2.0000000 	 0.1668000 	 0.0215000 	 0.2200000 	 3.8081000 	 0.0243000 	 0.0414000 	 0.2465000
7.0000000 	 -1.0250000 	 -2.5000000 	 0.4791000 	 0.0041000 	 0.1811000 	 3.5482000 	 0.0341000 	 0.0794000 	 0.4119000
7.0000000 	 -1.0250000 	 -2.2500000 	 0.2681000 	 0.0143000 	 0.2599000 	 3.6812000 	 0.0304000 	 0.0699000 	 0.3285000
7.0000000 	 -1.0250000 	 -2.0000000 	 0.1672000 	 0.0285000 	 0.2911000 	 3.8085000 	 0.0243000 	 0.0551000 	 0.2465000
7.0000000 	 -0.9000000 	 -2.5000000 	 0.4745000 	 0.0066000 	 0.2401000 	 3.5488000 	 0.0341000 	 0.1059000 	 0.4119000
7.0000000 	 -0.9000000 	 -2.2500000 	 0.2681000 	 0.0190000 	 0.3439000 	 3.6830000 	 0.0304000 	 0.0931000 	 0.3286000
7.0000000 	 -0.9000000 	 -2.0000000 	 0.1671000 	 0.0378000 	 0.3846000 	 3.8103000 	 0.0243000 	 0.0735000 	 0.2465000
7.1000000 	 -1.1500000 	 -2.5000000 	 0.4707000 	 0.0038000 	 0.1705000 	 3.5548000 	 0.0428000 	 0.0747000 	 0.5186000
7.1000000 	 -1.1500000 	 -2.2500000 	 0.2665000 	 0.0136000 	 0.2447000 	 3.6896000 	 0.0381000 	 0.0657000 	 0.4138000
7.1000000 	 -1.1500000 	 -2.0000000 	 0.1651000 	 0.0269000 	 0.2742000 	 3.8187000 	 0.0306000 	 0.0518000 	 0.3105000
7.1000000 	 -1.0250000 	 -2.5000000 	 0.4694000 	 0.0063000 	 0.2262000 	 3.5552000 	 0.0428000 	 0.0996000 	 0.5187000
7.1000000 	 -1.0250000 	 -2.2500000 	 0.2662000 	 0.0179000 	 0.3242000 	 3.6906000 	 0.0381000 	 0.0876000 	 0.4138000
7.1000000 	 -1.0250000 	 -2.0000000 	 0.1652000 	 0.0356000 	 0.3627000 	 3.8196000 	 0.0306000 	 0.0693000 	 0.3106000
7.1000000 	 -0.9000000 	 -2.5000000 	 0.4775000 	 0.0082000 	 0.2999000 	 3.5557000 	 0.0428000 	 0.1328000 	 0.5187000
7.1000000 	 -0.9000000 	 -2.2500000 	 0.2658000 	 0.0237000 	 0.4288000 	 3.6918000 	 0.0381000 	 0.1168000 	 0.4139000
7.1000000 	 -0.9000000 	 -2.0000000 	 0.1650000 	 0.0472000 	 0.4786000 	 3.8210000 	 0.0306000 	 0.0922000 	 0.3106000
7.2000000 	 -1.1500000 	 -2.5000000 	 0.4632000 	 0.0048000 	 0.2129000 	 3.5632000 	 0.0536000 	 0.0937000 	 0.6531000
7.2000000 	 -1.1500000 	 -2.2500000 	 0.2622000 	 0.0169000 	 0.3053000 	 3.6999000 	 0.0479000 	 0.0825000 	 0.5213000
7.2000000 	 -1.1500000 	 -2.0000000 	 0.1665000 	 0.0334000 	 0.3416000 	 3.8312000 	 0.0384000 	 0.0650000 	 0.3914000
7.2000000 	 -1.0250000 	 -2.5000000 	 0.4665000 	 0.0078000 	 0.2822000 	 3.5640000 	 0.0536000 	 0.1250000 	 0.6532000
7.2000000 	 -1.0250000 	 -2.2500000 	 0.2617000 	 0.0223000 	 0.4039000 	 3.7014000 	 0.0479000 	 0.1098000 	 0.5214000
7.2000000 	 -1.0250000 	 -2.0000000 	 0.1618000 	 0.0444000 	 0.4512000 	 3.8325000 	 0.0384000 	 0.0866000 	 0.3914000
7.2000000 	 -0.9000000 	 -2.5000000 	 0.4714000 	 0.0102000 	 0.3739000 	 3.5652000 	 0.0535000 	 0.1665000 	 0.6532000
