#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -2.5000000 	 0.4707000 	 0.0000000 	 0.0623000 	 3.5412000 	 0.0271000 	 0.0267000 	 0.3270000
6.9000000 	 -1.4000000 	 -2.2500000 	 0.2665000 	 0.0041000 	 0.0897000 	 3.6727000 	 0.0243000 	 0.0235000 	 0.2608000
6.9000000 	 -1.4000000 	 -2.0000000 	 0.1678000 	 0.0098000 	 0.1007000 	 3.7989000 	 0.0193000 	 0.0186000 	 0.1956000
6.9000000 	 -1.2750000 	 -2.5000000 	 0.4706000 	 0.0011000 	 0.0824000 	 3.5413000 	 0.0271000 	 0.0355000 	 0.3270000
6.9000000 	 -1.2750000 	 -2.2500000 	 0.2665000 	 0.0066000 	 0.1185000 	 3.6731000 	 0.0243000 	 0.0313000 	 0.2608000
6.9000000 	 -1.2750000 	 -2.0000000 	 0.1697000 	 0.0130000 	 0.1332000 	 3.7996000 	 0.0193000 	 0.0247000 	 0.1956000
6.9000000 	 -1.1500000 	 -2.5000000 	 0.4807000 	 0.0015000 	 0.1093000 	 3.5418000 	 0.0271000 	 0.0475000 	 0.3271000
6.9000000 	 -1.1500000 	 -2.2500000 	 0.2667000 	 0.0087000 	 0.1571000 	 3.6738000 	 0.0242000 	 0.0418000 	 0.2608000
6.9000000 	 -1.1500000 	 -2.0000000 	 0.1697000 	 0.0172000 	 0.1763000 	 3.7997000 	 0.0193000 	 0.0329000 	 0.1956000
6.9000000 	 -1.0250000 	 -2.5000000 	 0.4709000 	 0.0033000 	 0.1449000 	 3.5422000 	 0.0271000 	 0.0633000 	 0.3271000
6.9000000 	 -1.0250000 	 -2.2500000 	 0.2622000 	 0.0116000 	 0.2079000 	 3.6745000 	 0.0242000 	 0.0557000 	 0.2608000
6.9000000 	 -1.0250000 	 -2.0000000 	 0.1696000 	 0.0228000 	 0.2333000 	 3.7997000 	 0.0193000 	 0.0439000 	 0.1957000
6.9000000 	 -0.9000000 	 -2.5000000 	 0.4840000 	 0.0043000 	 0.1921000 	 3.5426000 	 0.0271000 	 0.0843000 	 0.3270000
6.9000000 	 -0.9000000 	 -2.2500000 	 0.2688000 	 0.0152000 	 0.2757000 	 3.6752000 	 0.0242000 	 0.0743000 	 0.2608000
6.9000000 	 -0.9000000 	 -2.0000000 	 0.1695000 	 0.0302000 	 0.3085000 	 3.8013000 	 0.0193000 	 0.0586000 	 0.1956000
6.9000000 	 -0.7750000 	 -2.5000000 	 0.4747000 	 0.0070000 	 0.2550000 	 3.5434000 	 0.0271000 	 0.1124000 	 0.3271000
6.9000000 	 -0.7750000 	 -2.2500000 	 0.2686000 	 0.0202000 	 0.3647000 	 3.6767000 	 0.0242000 	 0.0988000 	 0.2609000
6.9000000 	 -0.7750000 	 -2.0000000 	 0.1695000 	 0.0402000 	 0.4074000 	 3.8032000 	 0.0193000 	 0.0780000 	 0.1957000
6.9000000 	 -0.6500000 	 -2.5000000 	 0.4748000 	 0.0094000 	 0.3379000 	 3.5446000 	 0.0271000 	 0.1498000 	 0.3272000
6.9000000 	 -0.6500000 	 -2.2500000 	 0.2693000 	 0.0269000 	 0.4824000 	 3.6779000 	 0.0242000 	 0.1318000 	 0.2609000
6.9000000 	 -0.6500000 	 -2.0000000 	 0.1663000 	 0.0533000 	 0.5375000 	 3.8045000 	 0.0193000 	 0.1040000 	 0.1957000
6.9000000 	 -0.5250000 	 -2.5000000 	 0.4751000 	 0.0124000 	 0.4472000 	 3.5459000 	 0.0271000 	 0.1997000 	 0.3272000
6.9000000 	 -0.5250000 	 -2.2500000 	 0.2692000 	 0.0356000 	 0.6364000 	 3.6797000 	 0.0242000 	 0.1757000 	 0.2610000
6.9000000 	 -0.5250000 	 -2.0000000 	 0.1651000 	 0.0708000 	 0.7066000 	 3.8066000 	 0.0193000 	 0.1386000 	 0.1958000
6.9000000 	 -0.4000000 	 -2.5000000 	 0.4809000 	 0.0164000 	 0.5911000 	 3.5479000 	 0.0271000 	 0.2660000 	 0.3272000
6.9000000 	 -0.4000000 	 -2.2500000 	 0.2691000 	 0.0472000 	 0.8372000 	 3.6820000 	 0.0241000 	 0.2341000 	 0.2610000
6.9000000 	 -0.4000000 	 -2.0000000 	 0.1695000 	 0.0938000 	 0.9247000 	 3.8098000 	 0.0193000 	 0.1847000 	 0.1959000
6.9000000 	 -0.2750000 	 -2.5000000 	 0.4749000 	 0.0217000 	 0.7794000 	 3.5500000 	 0.0271000 	 0.3544000 	 0.3273000
6.9000000 	 -0.2750000 	 -2.2500000 	 0.2625000 	 0.0625000 	 1.0955000 	 3.6858000 	 0.0241000 	 0.3117000 	 0.2611000
6.9000000 	 -0.2750000 	 -2.0000000 	 0.1665000 	 0.1240000 	 1.2039000 	 3.8132000 	 0.0193000 	 0.2460000 	 0.1959000
6.9000000 	 -0.1500000 	 -2.5000000 	 0.4707000 	 0.0287000 	 1.0238000 	 3.5532000 	 0.0270000 	 0.4719000 	 0.3274000
6.9000000 	 -0.1500000 	 -2.2500000 	 0.2719000 	 0.0826000 	 1.4246000 	 3.6904000 	 0.0241000 	 0.4149000 	 0.2613000
