#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 16.0548000 	 0.0000000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0000000 	 0.3224000 	 0.0107000 	 0.0000000 	 0.0104000
6.9000000 	 -1.4000000 	 -3.7500000 	 11.0269000 	 0.0000000 	 0.0000000 	 0.0027000 	 0.0000000 	 0.0010000 	 0.3686000 	 0.0167000 	 0.0000000 	 0.0335000
6.9000000 	 -1.4000000 	 -3.5000000 	 7.8069000 	 0.0000000 	 0.0000000 	 0.0033000 	 0.0019000 	 0.0031000 	 0.3873000 	 0.0250000 	 0.0014000 	 0.0943000
6.9000000 	 -1.4000000 	 -3.2500000 	 5.5716000 	 0.0000000 	 0.0000000 	 0.0038000 	 0.0074000 	 0.0053000 	 0.3533000 	 0.0352000 	 0.0036000 	 0.2136000
6.9000000 	 -1.4000000 	 -3.0000000 	 3.9981000 	 0.0000000 	 0.0000000 	 0.0044000 	 0.0165000 	 0.0085000 	 0.2780000 	 0.0470000 	 0.0073000 	 0.3785000
6.9000000 	 -1.4000000 	 -2.7500000 	 2.8907000 	 0.0000000 	 0.0000000 	 0.0053000 	 0.0305000 	 0.0129000 	 0.1986000 	 0.0602000 	 0.0123000 	 0.5568000
6.9000000 	 -1.4000000 	 -2.5000000 	 2.1191000 	 0.0000000 	 0.0038000 	 0.0067000 	 0.0500000 	 0.0186000 	 0.1370000 	 0.0748000 	 0.0183000 	 0.7321000
6.9000000 	 -1.4000000 	 -2.2500000 	 1.5753000 	 0.0000000 	 0.0098000 	 0.0088000 	 0.0765000 	 0.0257000 	 0.0951000 	 0.0909000 	 0.0257000 	 0.9026000
6.9000000 	 -1.4000000 	 -2.0000000 	 1.2034000 	 0.0000000 	 0.0219000 	 0.0121000 	 0.1115000 	 0.0336000 	 0.0683000 	 0.1084000 	 0.0344000 	 1.0708000
6.9000000 	 -1.4000000 	 -1.7500000 	 0.9511000 	 0.0000000 	 0.0438000 	 0.0172000 	 0.1567000 	 0.0416000 	 0.0512000 	 0.1270000 	 0.0446000 	 1.2380000
6.9000000 	 -1.4000000 	 -1.5000000 	 0.7763000 	 0.0000000 	 0.0810000 	 0.0253000 	 0.2132000 	 0.0490000 	 0.0400000 	 0.1464000 	 0.0562000 	 1.4046000
6.9000000 	 -1.2750000 	 -4.0000000 	 16.0544000 	 0.0000000 	 0.0000000 	 0.0022000 	 0.0000000 	 0.0000000 	 0.3223000 	 0.0107000 	 0.0000000 	 0.0104000
6.9000000 	 -1.2750000 	 -3.7500000 	 11.0228000 	 0.0000000 	 0.0000000 	 0.0027000 	 0.0000000 	 0.0013000 	 0.3686000 	 0.0167000 	 0.0000000 	 0.0335000
6.9000000 	 -1.2750000 	 -3.5000000 	 7.8073000 	 0.0000000 	 0.0000000 	 0.0033000 	 0.0019000 	 0.0041000 	 0.3872000 	 0.0250000 	 0.0014000 	 0.0943000
6.9000000 	 -1.2750000 	 -3.2500000 	 5.5699000 	 0.0000000 	 0.0000000 	 0.0038000 	 0.0074000 	 0.0070000 	 0.3532000 	 0.0352000 	 0.0036000 	 0.2136000
6.9000000 	 -1.2750000 	 -3.0000000 	 3.9985000 	 0.0000000 	 0.0000000 	 0.0044000 	 0.0165000 	 0.0113000 	 0.2780000 	 0.0470000 	 0.0073000 	 0.3785000
