#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OII_3727        	 NeIII_3869      	 OIII_4363       	 OIII_5007      
6.9000000 	 -1.1500000 	 -2.5000000 	 2.1197000 	 0.0000000 	 0.0065000 	 0.0067000 	 0.0499000 	 0.0331000 	 0.1368000 	 0.0748000 	 0.0183000 	 0.7318000
6.9000000 	 -1.1500000 	 -2.2500000 	 1.5749000 	 0.0000000 	 0.0164000 	 0.0088000 	 0.0763000 	 0.0455000 	 0.0950000 	 0.0909000 	 0.0256000 	 0.9022000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.2031000 	 0.0000000 	 0.0362000 	 0.0121000 	 0.1112000 	 0.0594000 	 0.0683000 	 0.1082000 	 0.0343000 	 1.0697000
6.9000000 	 -1.0250000 	 -2.5000000 	 2.1190000 	 0.0000000 	 0.0085000 	 0.0067000 	 0.0499000 	 0.0441000 	 0.1368000 	 0.0748000 	 0.0183000 	 0.7316000
6.9000000 	 -1.0250000 	 -2.2500000 	 1.5754000 	 0.0000000 	 0.0212000 	 0.0088000 	 0.0762000 	 0.0606000 	 0.0950000 	 0.0908000 	 0.0256000 	 0.9016000
6.9000000 	 -1.0250000 	 -2.0000000 	 1.2024000 	 0.0000000 	 0.0466000 	 0.0121000 	 0.1109000 	 0.0791000 	 0.0682000 	 0.1082000 	 0.0343000 	 1.0691000
6.9000000 	 -0.9000000 	 -2.5000000 	 2.1194000 	 0.0000000 	 0.0111000 	 0.0067000 	 0.0498000 	 0.0587000 	 0.1368000 	 0.0747000 	 0.0183000 	 0.7312000
6.9000000 	 -0.9000000 	 -2.2500000 	 1.5748000 	 0.0000000 	 0.0273000 	 0.0088000 	 0.0761000 	 0.0807000 	 0.0950000 	 0.0907000 	 0.0256000 	 0.9011000
6.9000000 	 -0.9000000 	 -2.0000000 	 1.2024000 	 0.0000000 	 0.0602000 	 0.0121000 	 0.1107000 	 0.1053000 	 0.0682000 	 0.1081000 	 0.0342000 	 1.0683000
7.0000000 	 -1.1500000 	 -2.5000000 	 2.1111000 	 0.0000000 	 0.0078000 	 0.0066000 	 0.0612000 	 0.0407000 	 0.1717000 	 0.0588000 	 0.0226000 	 0.9122000
7.0000000 	 -1.1500000 	 -2.2500000 	 1.5709000 	 0.0000000 	 0.0196000 	 0.0087000 	 0.0931000 	 0.0558000 	 0.1193000 	 0.0713000 	 0.0316000 	 1.1235000
7.0000000 	 -1.1500000 	 -2.0000000 	 1.1991000 	 0.0000000 	 0.0430000 	 0.0120000 	 0.1352000 	 0.0726000 	 0.0855000 	 0.0848000 	 0.0421000 	 1.3311000
7.0000000 	 -0.9000000 	 -2.5000000 	 2.1106000 	 0.0000000 	 0.0133000 	 0.0066000 	 0.0609000 	 0.0721000 	 0.1716000 	 0.0587000 	 0.0226000 	 0.9113000
7.0000000 	 -0.9000000 	 -2.2500000 	 1.5651000 	 0.0000000 	 0.0325000 	 0.0087000 	 0.0927000 	 0.0989000 	 0.1191000 	 0.0712000 	 0.0315000 	 1.1220000
7.0000000 	 -0.9000000 	 -2.0000000 	 1.2003000 	 0.0000000 	 0.0714000 	 0.0119000 	 0.1344000 	 0.1285000 	 0.0855000 	 0.0846000 	 0.0419000 	 1.3285000
7.2000000 	 -1.1500000 	 -2.5000000 	 2.0834000 	 0.0000000 	 0.0110000 	 0.0065000 	 0.0887000 	 0.0598000 	 0.2685000 	 0.0898000 	 0.0336000 	 1.4008000
7.2000000 	 -1.1500000 	 -2.2500000 	 1.5587000 	 0.0000000 	 0.0268000 	 0.0085000 	 0.1337000 	 0.0813000 	 0.1865000 	 0.1085000 	 0.0465000 	 1.7206000
7.2000000 	 -1.1500000 	 -2.0000000 	 1.1949000 	 0.0000000 	 0.0581000 	 0.0117000 	 0.1918000 	 0.1048000 	 0.1337000 	 0.1284000 	 0.0617000 	 2.0319000
7.2000000 	 -1.0250000 	 -2.5000000 	 2.0837000 	 0.0000000 	 0.0142000 	 0.0065000 	 0.0885000 	 0.0796000 	 0.2685000 	 0.0897000 	 0.0335000 	 1.3999000
7.2000000 	 -1.0250000 	 -2.2500000 	 1.5583000 	 0.0000000 	 0.0345000 	 0.0085000 	 0.1333000 	 0.1083000 	 0.1864000 	 0.1084000 	 0.0465000 	 1.7191000
7.2000000 	 -1.0250000 	 -2.0000000 	 1.1953000 	 0.0000000 	 0.0750000 	 0.0117000 	 0.1912000 	 0.1392000 	 0.1335000 	 0.1282000 	 0.0615000 	 2.0293000
7.2000000 	 -0.9000000 	 -2.5000000 	 2.0827000 	 0.0000000 	 0.0183000 	 0.0065000 	 0.0883000 	 0.1059000 	 0.2683000 	 0.0896000 	 0.0335000 	 1.3986000
7.2000000 	 -0.9000000 	 -2.2500000 	 1.5583000 	 0.0000000 	 0.0443000 	 0.0085000 	 0.1329000 	 0.1439000 	 0.1863000 	 0.1082000 	 0.0463000 	 1.7169000
7.2000000 	 -0.9000000 	 -2.0000000 	 1.1943000 	 0.0000000 	 0.0968000 	 0.0117000 	 0.1901000 	 0.1848000 	 0.1335000 	 0.1280000 	 0.0613000 	 2.0256000
7.3000000 	 -1.1500000 	 -2.5000000 	 2.0711000 	 0.0000000 	 0.0126000 	 0.0064000 	 0.1042000 	 0.0710000 	 0.3349000 	 0.1098000 	 0.0402000 	 1.7205000
7.3000000 	 -1.1500000 	 -2.2500000 	 1.5461000 	 0.0000000 	 0.0304000 	 0.0084000 	 0.1561000 	 0.0961000 	 0.2324000 	 0.1323000 	 0.0555000 	 2.1094000
7.3000000 	 -1.1500000 	 -2.0000000 	 1.1852000 	 0.0000000 	 0.0656000 	 0.0115000 	 0.2223000 	 0.1230000 	 0.1665000 	 0.1562000 	 0.0731000 	 2.4850000
7.3000000 	 -1.0250000 	 -2.5000000 	 2.0708000 	 0.0000000 	 0.0162000 	 0.0064000 	 0.1041000 	 0.0945000 	 0.3347000 	 0.1097000 	 0.0401000 	 1.7190000
7.3000000 	 -1.0250000 	 -2.2500000 	 1.5455000 	 0.0000000 	 0.0389000 	 0.0084000 	 0.1556000 	 0.1277000 	 0.2324000 	 0.1322000 	 0.0553000 	 2.1069000
7.3000000 	 -1.0250000 	 -2.0000000 	 1.1845000 	 0.0000000 	 0.0844000 	 0.0115000 	 0.2212000 	 0.1632000 	 0.1663000 	 0.1559000 	 0.0728000 	 2.4810000
7.3000000 	 -0.9000000 	 -2.5000000 	 2.0703000 	 0.0000000 	 0.0209000 	 0.0064000 	 0.1037000 	 0.1257000 	 0.3345000 	 0.1096000 	 0.0400000 	 1.7171000
7.3000000 	 -0.9000000 	 -2.2500000 	 1.5444000 	 0.0000000 	 0.0500000 	 0.0084000 	 0.1549000 	 0.1697000 	 0.2322000 	 0.1319000 	 0.0551000 	 2.1037000
7.3000000 	 -0.9000000 	 -2.0000000 	 1.1848000 	 0.0000000 	 0.1089000 	 0.0115000 	 0.2199000 	 0.2165000 	 0.1661000 	 0.1555000 	 0.0725000 	 2.4757000
7.5000000 	 -1.1500000 	 -2.5000000 	 2.0113000 	 0.0000000 	 0.0157000 	 0.0063000 	 0.1358000 	 0.0954000 	 0.5138000 	 0.1602000 	 0.0551000 	 2.5377000
7.5000000 	 -1.1500000 	 -2.2500000 	 1.5080000 	 0.0000000 	 0.0365000 	 0.0082000 	 0.1997000 	 0.1267000 	 0.3565000 	 0.1916000 	 0.0751000 	 3.0945000
7.5000000 	 -1.1500000 	 -2.0000000 	 1.1609000 	 0.0000000 	 0.0777000 	 0.0112000 	 0.2792000 	 0.1597000 	 0.2547000 	 0.2243000 	 0.0977000 	 3.6247000
7.5000000 	 -1.0250000 	 -2.5000000 	 2.0106000 	 0.0000000 	 0.0199000 	 0.0063000 	 0.1353000 	 0.1267000 	 0.5135000 	 0.1600000 	 0.0550000 	 2.5345000
7.5000000 	 -1.0250000 	 -2.2500000 	 1.5074000 	 0.0000000 	 0.0466000 	 0.0082000 	 0.1988000 	 0.1683000 	 0.3561000 	 0.1912000 	 0.0748000 	 3.0893000
7.5000000 	 -1.0250000 	 -2.0000000 	 1.1610000 	 0.0000000 	 0.0997000 	 0.0112000 	 0.2774000 	 0.2118000 	 0.2545000 	 0.2237000 	 0.0972000 	 3.6164000
7.5000000 	 -0.9000000 	 -2.5000000 	 2.0105000 	 0.0000000 	 0.0254000 	 0.0063000 	 0.1347000 	 0.1683000 	 0.5130000 	 0.1597000 	 0.0548000 	 2.5301000
7.5000000 	 -0.9000000 	 -2.2500000 	 1.5065000 	 0.0000000 	 0.0597000 	 0.0082000 	 0.1976000 	 0.2231000 	 0.3557000 	 0.1907000 	 0.0745000 	 3.0823000
7.5000000 	 -0.9000000 	 -2.0000000 	 1.1564000 	 0.0000000 	 0.1279000 	 0.0112000 	 0.2751000 	 0.2804000 	 0.2540000 	 0.2229000 	 0.0966000 	 3.6056000
7.6000000 	 -1.1500000 	 -2.5000000 	 1.9676000 	 0.0000000 	 0.0167000 	 0.0062000 	 0.1486000 	 0.1067000 	 0.6304000 	 0.1902000 	 0.0627000 	 3.0349000
7.6000000 	 -1.1500000 	 -2.2500000 	 1.4878000 	 0.0000000 	 0.0383000 	 0.0081000 	 0.2166000 	 0.1403000 	 0.4372000 	 0.2262000 	 0.0847000 	 3.6869000
7.6000000 	 -1.1500000 	 -2.0000000 	 1.1369000 	 0.0000000 	 0.0808000 	 0.0110000 	 0.2998000 	 0.1752000 	 0.3121000 	 0.2636000 	 0.1093000 	 4.3042000
7.6000000 	 -1.0250000 	 -2.5000000 	 1.9667000 	 0.0000000 	 0.0211000 	 0.0062000 	 0.1480000 	 0.1418000 	 0.6298000 	 0.1899000 	 0.0625000 	 3.0301000
7.6000000 	 -1.0250000 	 -2.2500000 	 1.4857000 	 0.0000000 	 0.0487000 	 0.0080000 	 0.2154000 	 0.1862000 	 0.4368000 	 0.2257000 	 0.0843000 	 3.6794000
7.6000000 	 -1.0250000 	 -2.0000000 	 1.1432000 	 0.0000000 	 0.1033000 	 0.0109000 	 0.2976000 	 0.2321000 	 0.3117000 	 0.2628000 	 0.1087000 	 4.2930000
7.6000000 	 -0.9000000 	 -2.5000000 	 1.9636000 	 0.0000000 	 0.0267000 	 0.0062000 	 0.1472000 	 0.1882000 	 0.6290000 	 0.1894000 	 0.0622000 	 3.0239000
7.6000000 	 -0.9000000 	 -2.2500000 	 1.4848000 	 0.0000000 	 0.0622000 	 0.0080000 	 0.2139000 	 0.2467000 	 0.4361000 	 0.2250000 	 0.0839000 	 3.6697000
7.6000000 	 -0.9000000 	 -2.0000000 	 1.1378000 	 0.0000000 	 0.1320000 	 0.0109000 	 0.2948000 	 0.3069000 	 0.3111000 	 0.2618000 	 0.1080000 	 4.2780000
