#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5 (O/H vs. log U and vs N/O empirically constrained)
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
#12+log(O/H) log(C/O) log(U) Lya_1216 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.90 -1.150 -2.50 2.1197 0.0065 0.0067 0.0499 0.0331 0.7318
6.90 -1.150 -2.25 1.5749 0.0165 0.0088 0.0763 0.0455 0.9022
6.90 -1.150 -2.00 1.2031 0.0362 0.0121 0.1112 0.0595 1.0697
6.90 -1.025 -2.50 2.1190 0.0085 0.0067 0.0499 0.0441 0.7316
6.90 -1.025 -2.25 1.5754 0.0212 0.0088 0.0762 0.0606 0.9016
6.90 -1.025 -2.00 1.2024 0.0466 0.0121 0.1110 0.0792 1.0691
6.90 -0.900 -2.50 2.1194 0.0111 0.0067 0.0498 0.0588 0.7312
6.90 -0.900 -2.25 1.5748 0.0274 0.0088 0.0760 0.0807 0.9011
6.90 -0.900 -2.00 1.2024 0.0602 0.0121 0.1107 0.1054 1.0683
7.00 -1.150 -2.50 2.1111 0.0079 0.0066 0.0611 0.0407 0.9122
7.00 -1.150 -2.25 1.5709 0.0196 0.0087 0.0931 0.0558 1.1235
7.00 -1.150 -2.00 1.1991 0.0429 0.0120 0.1352 0.0727 1.3311
7.00 -0.900 -2.50 2.1106 0.0133 0.0066 0.0610 0.0722 0.9113
7.00 -0.900 -2.25 1.5651 0.0325 0.0087 0.0927 0.0990 1.1220
7.00 -0.900 -2.00 1.2003 0.0714 0.0119 0.1344 0.1286 1.3285
7.20 -1.150 -2.50 2.0834 0.0110 0.0065 0.0887 0.0598 1.4008
7.20 -1.150 -2.25 1.5587 0.0268 0.0085 0.1337 0.0814 1.7206
7.20 -1.150 -2.00 1.1949 0.0582 0.0117 0.1919 0.1048 2.0319
7.20 -1.025 -2.50 2.0837 0.0142 0.0065 0.0885 0.0797 1.3999
7.20 -1.025 -2.25 1.5583 0.0344 0.0085 0.1334 0.1083 1.7191
7.20 -1.025 -2.00 1.1953 0.0750 0.0117 0.1911 0.1393 2.0293
7.20 -0.900 -2.50 2.0827 0.0183 0.0065 0.0883 0.1060 1.3986
7.20 -0.900 -2.25 1.5583 0.0443 0.0085 0.1329 0.1440 1.7169
7.20 -0.900 -2.00 1.1943 0.0968 0.0117 0.1901 0.1849 2.0256
7.30 -1.150 -2.50 2.0711 0.0126 0.0064 0.1043 0.0711 1.7205
7.30 -1.150 -2.25 1.5461 0.0304 0.0084 0.1561 0.0961 2.1094
7.30 -1.150 -2.00 1.1852 0.0655 0.0115 0.2222 0.1230 2.4850
7.30 -1.025 -2.50 2.0708 0.0163 0.0064 0.1040 0.0946 1.7190
7.30 -1.025 -2.25 1.5455 0.0389 0.0084 0.1556 0.1278 2.1069
7.30 -1.025 -2.00 1.1845 0.0844 0.0115 0.2212 0.1634 2.4810
7.30 -0.900 -2.50 2.0703 0.0208 0.0064 0.1037 0.1258 1.7171
7.30 -0.900 -2.25 1.5444 0.0500 0.0084 0.1549 0.1698 2.1037
7.30 -0.900 -2.00 1.1848 0.1088 0.0115 0.2198 0.2167 2.4757
7.50 -1.150 -2.50 2.0113 0.0156 0.0063 0.1358 0.0954 2.5377
7.50 -1.150 -2.25 1.5080 0.0365 0.0082 0.1998 0.1268 3.0945
7.50 -1.150 -2.00 1.1609 0.0777 0.0112 0.2792 0.1599 3.6247
7.50 -1.025 -2.50 2.0106 0.0199 0.0063 0.1353 0.1268 2.5345
7.50 -1.025 -2.25 1.5074 0.0466 0.0082 0.1988 0.1684 3.0893
7.50 -1.025 -2.00 1.1610 0.0997 0.0112 0.2774 0.2120 3.6164
7.50 -0.900 -2.50 2.0105 0.0253 0.0063 0.1347 0.1684 2.5301
7.50 -0.900 -2.25 1.5065 0.0597 0.0082 0.1976 0.2234 3.0823
7.50 -0.900 -2.00 1.1564 0.1279 0.0112 0.2751 0.2806 3.6056
7.60 -1.150 -2.50 1.9676 0.0167 0.0062 0.1487 0.1068 3.0349
