#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -0.8
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 72.0452000 	 0.0000000 	 0.5174000 	 0.0000000 	 0.0015000 	 0.0258000
6.9000000 	 -1.4000000 	 -3.7500000 	 73.7451000 	 0.0000000 	 0.8298000 	 0.0020000 	 0.0031000 	 0.0805000
6.9000000 	 -1.4000000 	 -3.5000000 	 75.9101000 	 0.0000000 	 1.2600000 	 0.0071000 	 0.0057000 	 0.2139000
6.9000000 	 -1.4000000 	 -3.2500000 	 32.9556000 	 0.0012000 	 1.7242000 	 0.0184000 	 0.0091000 	 0.4231000
6.9000000 	 -1.4000000 	 -3.0000000 	 25.1048000 	 0.0046000 	 2.0263000 	 0.0306000 	 0.0134000 	 0.5351000
6.9000000 	 -1.4000000 	 -2.7500000 	 15.7567000 	 0.0131000 	 2.2090000 	 0.0386000 	 0.0174000 	 0.5325000
6.9000000 	 -1.4000000 	 -2.5000000 	 10.1503000 	 0.0269000 	 2.3063000 	 0.0398000 	 0.0189000 	 0.4511000
6.9000000 	 -1.4000000 	 -2.2500000 	 7.2875000 	 0.0403000 	 2.3821000 	 0.0343000 	 0.0168000 	 0.3394000
6.9000000 	 -1.4000000 	 -2.0000000 	 5.4604000 	 0.0460000 	 2.4487000 	 0.0245000 	 0.0123000 	 0.2254000
6.9000000 	 -1.4000000 	 -1.7500000 	 4.1523000 	 0.0426000 	 2.4772000 	 0.0144000 	 0.0077000 	 0.1310000
6.9000000 	 -1.4000000 	 -1.5000000 	 3.2822000 	 0.0337000 	 2.4411000 	 0.0072000 	 0.0043000 	 0.0670000
6.9000000 	 -1.4000000 	 -1.2500000 	 2.6536000 	 0.0235000 	 2.3345000 	 0.0033000 	 0.0023000 	 0.0315000
6.9000000 	 -1.4000000 	 -1.0000000 	 2.3512000 	 0.0148000 	 2.1703000 	 0.0015000 	 0.0013000 	 0.0150000
6.9000000 	 -1.4000000 	 -0.7500000 	 2.2170000 	 0.0091000 	 1.9940000 	 0.0000000 	 0.0000000 	 0.0073000
6.9000000 	 -1.4000000 	 -0.5000000 	 2.4046000 	 0.0063000 	 1.9016000 	 0.0000000 	 0.0000000 	 0.0045000
6.9000000 	 -1.2750000 	 -4.0000000 	 72.0425000 	 0.0000000 	 0.5174000 	 0.0000000 	 0.0021000 	 0.0258000
6.9000000 	 -1.2750000 	 -3.7500000 	 73.7423000 	 0.0000000 	 0.8298000 	 0.0020000 	 0.0041000 	 0.0805000
6.9000000 	 -1.2750000 	 -3.5000000 	 75.9070000 	 0.0000000 	 1.2600000 	 0.0071000 	 0.0076000 	 0.2139000
6.9000000 	 -1.2750000 	 -3.2500000 	 32.9533000 	 0.0017000 	 1.7243000 	 0.0184000 	 0.0122000 	 0.4230000
6.9000000 	 -1.2750000 	 -3.0000000 	 25.0645000 	 0.0061000 	 2.0285000 	 0.0306000 	 0.0179000 	 0.5356000
6.9000000 	 -1.2750000 	 -2.7500000 	 16.0141000 	 0.0171000 	 2.1968000 	 0.0384000 	 0.0230000 	 0.5314000
6.9000000 	 -1.2750000 	 -2.5000000 	 10.0952000 	 0.0355000 	 2.3094000 	 0.0398000 	 0.0252000 	 0.4509000
6.9000000 	 -1.2750000 	 -2.2500000 	 7.2947000 	 0.0528000 	 2.3819000 	 0.0343000 	 0.0224000 	 0.3395000
6.9000000 	 -1.2750000 	 -2.0000000 	 5.4631000 	 0.0603000 	 2.4486000 	 0.0245000 	 0.0164000 	 0.2256000
6.9000000 	 -1.2750000 	 -1.7500000 	 4.1039000 	 0.0558000 	 2.4769000 	 0.0144000 	 0.0103000 	 0.1307000
6.9000000 	 -1.2750000 	 -1.5000000 	 3.2668000 	 0.0440000 	 2.4422000 	 0.0072000 	 0.0058000 	 0.0664000
6.9000000 	 -1.2750000 	 -1.2500000 	 2.6662000 	 0.0305000 	 2.3344000 	 0.0034000 	 0.0031000 	 0.0321000
