#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -2.5000000 	 7.6455000 	 0.0261000 	 1.6162000 	 0.0651000 	 0.0270000 	 0.6757000
6.9000000 	 -1.4000000 	 -2.2500000 	 5.7095000 	 0.0477000 	 1.7688000 	 0.0728000 	 0.0304000 	 0.6156000
6.9000000 	 -1.4000000 	 -2.0000000 	 4.3172000 	 0.0694000 	 1.9728000 	 0.0681000 	 0.0282000 	 0.4966000
6.9000000 	 -1.2750000 	 -2.5000000 	 7.6533000 	 0.0338000 	 1.6149000 	 0.0651000 	 0.0360000 	 0.6752000
6.9000000 	 -1.2750000 	 -2.2500000 	 5.7171000 	 0.0615000 	 1.7683000 	 0.0728000 	 0.0405000 	 0.6155000
6.9000000 	 -1.2750000 	 -2.0000000 	 4.2995000 	 0.0893000 	 1.9718000 	 0.0680000 	 0.0375000 	 0.4966000
6.9000000 	 -1.1500000 	 -2.5000000 	 7.6403000 	 0.0438000 	 1.6169000 	 0.0651000 	 0.0480000 	 0.6757000
6.9000000 	 -1.1500000 	 -2.2500000 	 5.7091000 	 0.0794000 	 1.7692000 	 0.0728000 	 0.0540000 	 0.6155000
6.9000000 	 -1.1500000 	 -2.0000000 	 4.2559000 	 0.1154000 	 1.9746000 	 0.0681000 	 0.0501000 	 0.4966000
6.9000000 	 -1.0250000 	 -2.5000000 	 7.6545000 	 0.0564000 	 1.6151000 	 0.0650000 	 0.0639000 	 0.6750000
6.9000000 	 -1.0250000 	 -2.2500000 	 5.7030000 	 0.1026000 	 1.7697000 	 0.0728000 	 0.0720000 	 0.6155000
6.9000000 	 -1.0250000 	 -2.0000000 	 4.3425000 	 0.1486000 	 1.9691000 	 0.0679000 	 0.0665000 	 0.4967000
6.9000000 	 -0.9000000 	 -2.5000000 	 7.6892000 	 0.0727000 	 1.6117000 	 0.0647000 	 0.0850000 	 0.6738000
6.9000000 	 -0.9000000 	 -2.2500000 	 5.6977000 	 0.1329000 	 1.7708000 	 0.0727000 	 0.0959000 	 0.6155000
6.9000000 	 -0.9000000 	 -2.0000000 	 4.3119000 	 0.1931000 	 1.9718000 	 0.0679000 	 0.0887000 	 0.4966000
6.9000000 	 -0.7750000 	 -2.5000000 	 7.7135000 	 0.0939000 	 1.6101000 	 0.0646000 	 0.1131000 	 0.6731000
6.9000000 	 -0.7750000 	 -2.2500000 	 5.6266000 	 0.1733000 	 1.7765000 	 0.0728000 	 0.1280000 	 0.6159000
