#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -0.5250000 	 -4.0000000 	 1.8258000 	 0.0000000 	 0.0000000 	 0.4449000 	 0.0000000 	 0.0065000 	 0.0138000
6.9000000 	 -0.5250000 	 -3.7500000 	 0.9343000 	 0.0000000 	 0.0000000 	 0.5763000 	 0.0000000 	 0.0134000 	 0.0482000
6.9000000 	 -0.5250000 	 -3.5000000 	 0.5321000 	 0.0000000 	 0.0000000 	 0.6999000 	 0.0046000 	 0.0266000 	 0.1369000
6.9000000 	 -0.5250000 	 -3.2500000 	 0.3326000 	 0.0000000 	 0.0035000 	 0.7990000 	 0.0126000 	 0.0490000 	 0.2752000
6.9000000 	 -0.5250000 	 -3.0000000 	 0.1995000 	 0.0000000 	 0.0134000 	 0.8810000 	 0.0259000 	 0.0833000 	 0.4229000
6.9000000 	 -0.5250000 	 -2.7500000 	 0.1133000 	 0.0000000 	 0.0402000 	 0.9633000 	 0.0441000 	 0.1299000 	 0.5554000
6.9000000 	 -0.5250000 	 -2.5000000 	 0.1093000 	 0.0000000 	 0.1005000 	 1.0681000 	 0.0673000 	 0.1860000 	 0.6576000
6.9000000 	 -0.5250000 	 -2.2500000 	 0.0269000 	 0.0055000 	 0.2133000 	 1.2084000 	 0.0931000 	 0.2403000 	 0.7139000
6.9000000 	 -0.5250000 	 -2.0000000 	 0.0097000 	 0.0167000 	 0.3740000 	 1.3908000 	 0.1162000 	 0.2710000 	 0.7086000
6.9000000 	 -0.5250000 	 -1.7500000 	 0.0143000 	 0.0390000 	 0.5148000 	 1.5911000 	 0.1260000 	 0.2531000 	 0.6258000
6.9000000 	 -0.5250000 	 -1.5000000 	 0.0122000 	 0.0685000 	 0.5324000 	 1.7464000 	 0.1101000 	 0.1874000 	 0.4732000
6.9000000 	 -0.5250000 	 -1.2500000 	 0.0030000 	 0.0793000 	 0.3816000 	 1.6358000 	 0.0690000 	 0.1023000 	 0.2742000
6.9000000 	 -0.5250000 	 -1.0000000 	 0.0018000 	 0.0591000 	 0.1931000 	 1.2488000 	 0.0309000 	 0.0429000 	 0.1186000
6.9000000 	 -0.5250000 	 -0.7500000 	 0.0019000 	 0.0349000 	 0.0859000 	 0.9086000 	 0.0133000 	 0.0179000 	 0.0468000
6.9000000 	 -0.5250000 	 -0.5000000 	 0.0031000 	 0.0184000 	 0.0361000 	 0.6468000 	 0.0076000 	 0.0085000 	 0.0210000
6.9000000 	 -0.4000000 	 -4.0000000 	 1.8270000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0086000 	 0.0138000
6.9000000 	 -0.4000000 	 -3.7500000 	 0.9339000 	 0.0000000 	 0.0000000 	 0.5763000 	 0.0000000 	 0.0178000 	 0.0482000
6.9000000 	 -0.4000000 	 -3.5000000 	 0.5316000 	 0.0000000 	 0.0000000 	 0.6999000 	 0.0046000 	 0.0354000 	 0.1368000
6.9000000 	 -0.4000000 	 -3.2500000 	 0.3323000 	 0.0000000 	 0.0045000 	 0.7990000 	 0.0126000 	 0.0653000 	 0.2751000
6.9000000 	 -0.4000000 	 -3.0000000 	 0.2001000 	 0.0000000 	 0.0174000 	 0.8805000 	 0.0258000 	 0.1108000 	 0.4224000
6.9000000 	 -0.4000000 	 -2.7500000 	 0.1136000 	 0.0000000 	 0.0523000 	 0.9630000 	 0.0440000 	 0.1727000 	 0.5546000
6.9000000 	 -0.4000000 	 -2.5000000 	 0.1144000 	 0.0013000 	 0.1310000 	 1.0687000 	 0.0671000 	 0.2473000 	 0.6570000
6.9000000 	 -0.4000000 	 -2.2500000 	 0.0148000 	 0.0072000 	 0.2785000 	 1.2093000 	 0.0927000 	 0.3190000 	 0.7132000
6.9000000 	 -0.4000000 	 -2.0000000 	 0.0208000 	 0.0215000 	 0.4881000 	 1.3928000 	 0.1155000 	 0.3599000 	 0.7079000
6.9000000 	 -0.4000000 	 -1.7500000 	 0.0179000 	 0.0500000 	 0.6714000 	 1.5941000 	 0.1251000 	 0.3369000 	 0.6253000
