#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 1.8357000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0000000 	 0.0139000
6.9000000 	 -1.4000000 	 -3.7500000 	 0.9338000 	 0.0000000 	 0.0000000 	 0.5760000 	 0.0000000 	 0.0011000 	 0.0482000
6.9000000 	 -1.4000000 	 -3.5000000 	 0.5340000 	 0.0000000 	 0.0000000 	 0.6998000 	 0.0046000 	 0.0035000 	 0.1371000
6.9000000 	 -1.4000000 	 -3.2500000 	 0.3321000 	 0.0000000 	 0.0000000 	 0.7988000 	 0.0127000 	 0.0066000 	 0.2756000
6.9000000 	 -1.4000000 	 -3.0000000 	 0.2006000 	 0.0000000 	 0.0012000 	 0.8807000 	 0.0260000 	 0.0111000 	 0.4237000
6.9000000 	 -1.4000000 	 -2.7500000 	 0.1139000 	 0.0000000 	 0.0060000 	 0.9627000 	 0.0445000 	 0.0174000 	 0.5567000
6.9000000 	 -1.4000000 	 -2.5000000 	 0.1139000 	 0.0000000 	 0.0158000 	 1.0668000 	 0.0680000 	 0.0250000 	 0.6592000
6.9000000 	 -1.4000000 	 -2.2500000 	 0.0131000 	 0.0000000 	 0.0339000 	 1.2067000 	 0.0944000 	 0.0324000 	 0.7166000
6.9000000 	 -1.4000000 	 -2.0000000 	 0.0196000 	 0.0017000 	 0.0589000 	 1.3867000 	 0.1180000 	 0.0367000 	 0.7109000
6.9000000 	 -1.4000000 	 -1.7500000 	 0.0186000 	 0.0062000 	 0.0806000 	 1.5841000 	 0.1283000 	 0.0340000 	 0.6276000
6.9000000 	 -1.4000000 	 -1.5000000 	 0.0051000 	 0.0113000 	 0.0837000 	 1.7391000 	 0.1121000 	 0.0249000 	 0.4747000
6.9000000 	 -1.4000000 	 -1.2500000 	 0.0026000 	 0.0130000 	 0.0607000 	 1.6319000 	 0.0701000 	 0.0135000 	 0.2753000
6.9000000 	 -1.4000000 	 -1.0000000 	 0.0018000 	 0.0094000 	 0.0310000 	 1.2501000 	 0.0314000 	 0.0056000 	 0.1194000
6.9000000 	 -1.4000000 	 -0.7500000 	 0.0018000 	 0.0053000 	 0.0135000 	 0.9065000 	 0.0134000 	 0.0014000 	 0.0470000
6.9000000 	 -1.4000000 	 -0.5000000 	 0.0022000 	 0.0017000 	 0.0055000 	 0.6462000 	 0.0079000 	 0.0000000 	 0.0212000
6.9000000 	 -1.2750000 	 -4.0000000 	 1.8311000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0000000 	 0.0139000
6.9000000 	 -1.2750000 	 -3.7500000 	 0.9336000 	 0.0000000 	 0.0000000 	 0.5760000 	 0.0000000 	 0.0014000 	 0.0482000
6.9000000 	 -1.2750000 	 -3.5000000 	 0.5336000 	 0.0000000 	 0.0000000 	 0.6998000 	 0.0046000 	 0.0048000 	 0.1371000
6.9000000 	 -1.2750000 	 -3.2500000 	 0.3332000 	 0.0000000 	 0.0000000 	 0.7989000 	 0.0127000 	 0.0088000 	 0.2756000
6.9000000 	 -1.2750000 	 -3.0000000 	 0.2015000 	 0.0000000 	 0.0017000 	 0.8807000 	 0.0260000 	 0.0149000 	 0.4236000
6.9000000 	 -1.2750000 	 -2.7500000 	 0.1145000 	 0.0000000 	 0.0080000 	 0.9632000 	 0.0445000 	 0.0232000 	 0.5568000
6.9000000 	 -1.2750000 	 -2.5000000 	 0.1147000 	 0.0000000 	 0.0208000 	 1.0669000 	 0.0680000 	 0.0333000 	 0.6591000
6.9000000 	 -1.2750000 	 -2.2500000 	 0.0131000 	 0.0000000 	 0.0440000 	 1.2069000 	 0.0944000 	 0.0433000 	 0.7165000
6.9000000 	 -1.2750000 	 -2.0000000 	 0.0177000 	 0.0033000 	 0.0764000 	 1.3870000 	 0.1179000 	 0.0489000 	 0.7109000
6.9000000 	 -1.2750000 	 -1.7500000 	 0.0065000 	 0.0082000 	 0.1046000 	 1.5842000 	 0.1281000 	 0.0454000 	 0.6275000
6.9000000 	 -1.2750000 	 -1.5000000 	 0.0051000 	 0.0147000 	 0.1084000 	 1.7371000 	 0.1118000 	 0.0332000 	 0.4740000
6.9000000 	 -1.2750000 	 -1.2500000 	 0.0035000 	 0.0170000 	 0.0787000 	 1.6338000 	 0.0702000 	 0.0180000 	 0.2756000
6.9000000 	 -1.2750000 	 -1.0000000 	 0.0018000 	 0.0123000 	 0.0402000 	 1.2506000 	 0.0314000 	 0.0076000 	 0.1194000
6.9000000 	 -1.2750000 	 -0.7500000 	 0.0018000 	 0.0070000 	 0.0177000 	 0.9067000 	 0.0134000 	 0.0031000 	 0.0470000
6.9000000 	 -1.2750000 	 -0.5000000 	 0.0019000 	 0.0035000 	 0.0072000 	 0.6463000 	 0.0079000 	 0.0000000 	 0.0212000
6.9000000 	 -1.1500000 	 -4.0000000 	 1.8358000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0000000 	 0.0139000
6.9000000 	 -1.1500000 	 -3.7500000 	 0.9337000 	 0.0000000 	 0.0000000 	 0.5761000 	 0.0000000 	 0.0032000 	 0.0482000
6.9000000 	 -1.1500000 	 -3.5000000 	 0.5335000 	 0.0000000 	 0.0000000 	 0.6998000 	 0.0046000 	 0.0063000 	 0.1371000
6.9000000 	 -1.1500000 	 -3.2500000 	 0.3339000 	 0.0000000 	 0.0000000 	 0.7989000 	 0.0127000 	 0.0116000 	 0.2756000
6.9000000 	 -1.1500000 	 -3.0000000 	 0.2022000 	 0.0000000 	 0.0033000 	 0.8808000 	 0.0260000 	 0.0199000 	 0.4236000
6.9000000 	 -1.1500000 	 -2.7500000 	 0.1133000 	 0.0000000 	 0.0105000 	 0.9630000 	 0.0445000 	 0.0310000 	 0.5566000
6.9000000 	 -1.1500000 	 -2.5000000 	 0.1161000 	 0.0000000 	 0.0271000 	 1.0669000 	 0.0679000 	 0.0444000 	 0.6590000
6.9000000 	 -1.1500000 	 -2.2500000 	 0.0131000 	 0.0000000 	 0.0570000 	 1.2071000 	 0.0943000 	 0.0577000 	 0.7164000
6.9000000 	 -1.1500000 	 -2.0000000 	 0.0152000 	 0.0044000 	 0.0991000 	 1.3873000 	 0.1178000 	 0.0651000 	 0.7107000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.0065000 	 0.0107000 	 0.1360000 	 1.5847000 	 0.1279000 	 0.0604000 	 0.6273000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.0719000 	 0.0192000 	 0.1407000 	 1.7381000 	 0.1117000 	 0.0442000 	 0.4740000
6.9000000 	 -1.1500000 	 -1.2500000 	 0.0278000 	 0.0221000 	 0.1021000 	 1.6376000 	 0.0703000 	 0.0241000 	 0.2762000
6.9000000 	 -1.1500000 	 -1.0000000 	 0.0018000 	 0.0161000 	 0.0521000 	 1.2515000 	 0.0314000 	 0.0101000 	 0.1194000
6.9000000 	 -1.1500000 	 -0.7500000 	 0.0019000 	 0.0091000 	 0.0230000 	 0.9069000 	 0.0134000 	 0.0043000 	 0.0470000
6.9000000 	 -1.1500000 	 -0.5000000 	 0.0019000 	 0.0045000 	 0.0095000 	 0.6465000 	 0.0079000 	 0.0012000 	 0.0212000
6.9000000 	 -1.0250000 	 -4.0000000 	 1.8328000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0012000 	 0.0139000
6.9000000 	 -1.0250000 	 -3.7500000 	 0.9335000 	 0.0000000 	 0.0000000 	 0.5761000 	 0.0000000 	 0.0043000 	 0.0482000
6.9000000 	 -1.0250000 	 -3.5000000 	 0.5332000 	 0.0000000 	 0.0000000 	 0.6998000 	 0.0046000 	 0.0085000 	 0.1370000
6.9000000 	 -1.0250000 	 -3.2500000 	 0.3328000 	 0.0000000 	 0.0000000 	 0.7989000 	 0.0127000 	 0.0156000 	 0.2755000
6.9000000 	 -1.0250000 	 -3.0000000 	 0.2002000 	 0.0000000 	 0.0044000 	 0.8801000 	 0.0259000 	 0.0264000 	 0.4232000
6.9000000 	 -1.0250000 	 -2.7500000 	 0.1134000 	 0.0000000 	 0.0138000 	 0.9630000 	 0.0444000 	 0.0413000 	 0.5565000
6.9000000 	 -1.0250000 	 -2.5000000 	 0.1189000 	 0.0000000 	 0.0351000 	 1.0671000 	 0.0679000 	 0.0592000 	 0.6589000
6.9000000 	 -1.0250000 	 -2.2500000 	 0.0322000 	 0.0012000 	 0.0740000 	 1.2069000 	 0.0942000 	 0.0767000 	 0.7159000
6.9000000 	 -1.0250000 	 -2.0000000 	 0.0139000 	 0.0058000 	 0.1289000 	 1.3868000 	 0.1175000 	 0.0866000 	 0.7100000
6.9000000 	 -1.0250000 	 -1.7500000 	 0.0188000 	 0.0140000 	 0.1770000 	 1.5857000 	 0.1278000 	 0.0804000 	 0.6273000
6.9000000 	 -1.0250000 	 -1.5000000 	 0.0079000 	 0.0249000 	 0.1830000 	 1.7386000 	 0.1116000 	 0.0589000 	 0.4738000
6.9000000 	 -1.0250000 	 -1.2500000 	 0.0025000 	 0.0286000 	 0.1325000 	 1.6368000 	 0.0701000 	 0.0320000 	 0.2759000
6.9000000 	 -1.0250000 	 -1.0000000 	 0.0018000 	 0.0210000 	 0.0676000 	 1.2521000 	 0.0314000 	 0.0134000 	 0.1195000
6.9000000 	 -1.0250000 	 -0.7500000 	 0.0018000 	 0.0120000 	 0.0299000 	 0.9070000 	 0.0134000 	 0.0056000 	 0.0470000
6.9000000 	 -1.0250000 	 -0.5000000 	 0.0019000 	 0.0061000 	 0.0124000 	 0.6465000 	 0.0078000 	 0.0027000 	 0.0211000
6.9000000 	 -0.9000000 	 -4.0000000 	 1.8330000 	 0.0000000 	 0.0000000 	 0.4448000 	 0.0000000 	 0.0027000 	 0.0139000
6.9000000 	 -0.9000000 	 -3.7500000 	 0.9331000 	 0.0000000 	 0.0000000 	 0.5760000 	 0.0000000 	 0.0057000 	 0.0482000
6.9000000 	 -0.9000000 	 -3.5000000 	 0.5337000 	 0.0000000 	 0.0000000 	 0.6999000 	 0.0046000 	 0.0113000 	 0.1370000
6.9000000 	 -0.9000000 	 -3.2500000 	 0.3330000 	 0.0000000 	 0.0000000 	 0.7989000 	 0.0127000 	 0.0207000 	 0.2755000
6.9000000 	 -0.9000000 	 -3.0000000 	 0.2005000 	 0.0000000 	 0.0058000 	 0.8809000 	 0.0259000 	 0.0352000 	 0.4235000
6.9000000 	 -0.9000000 	 -2.7500000 	 0.1133000 	 0.0000000 	 0.0181000 	 0.9632000 	 0.0444000 	 0.0550000 	 0.5564000
