#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -0.5250000 	 -4.0000000 	 1.6367000 	 0.0000000 	 0.0000000 	 0.7878000 	 0.0000000 	 0.0060000 	 0.0117000
6.9000000 	 -0.5250000 	 -3.7500000 	 0.8881000 	 0.0000000 	 0.0000000 	 0.9866000 	 0.0000000 	 0.0123000 	 0.0432000
6.9000000 	 -0.5250000 	 -3.5000000 	 0.5093000 	 0.0000000 	 0.0000000 	 1.1898000 	 0.0047000 	 0.0251000 	 0.1266000
6.9000000 	 -0.5250000 	 -3.2500000 	 0.2966000 	 0.0000000 	 0.0057000 	 1.3682000 	 0.0130000 	 0.0477000 	 0.2481000
6.9000000 	 -0.5250000 	 -3.0000000 	 0.1593000 	 0.0000000 	 0.0232000 	 1.5161000 	 0.0254000 	 0.0817000 	 0.3568000
6.9000000 	 -0.5250000 	 -2.7500000 	 0.0550000 	 0.0000000 	 0.0688000 	 1.6485000 	 0.0397000 	 0.1224000 	 0.4243000
6.9000000 	 -0.5250000 	 -2.5000000 	 0.0478000 	 0.0047000 	 0.1529000 	 1.7842000 	 0.0526000 	 0.1565000 	 0.4403000
6.9000000 	 -0.5250000 	 -2.2500000 	 0.1937000 	 0.0145000 	 0.2555000 	 1.9242000 	 0.0603000 	 0.1651000 	 0.4045000
6.9000000 	 -0.5250000 	 -2.0000000 	 0.1348000 	 0.0318000 	 0.3199000 	 2.0542000 	 0.0565000 	 0.1404000 	 0.3253000
6.9000000 	 -0.5250000 	 -1.7500000 	 0.0401000 	 0.0496000 	 0.3036000 	 2.1317000 	 0.0431000 	 0.0969000 	 0.2260000
6.9000000 	 -0.5250000 	 -1.5000000 	 0.0045000 	 0.0548000 	 0.2245000 	 2.0869000 	 0.0270000 	 0.0568000 	 0.1338000
6.9000000 	 -0.5250000 	 -1.2500000 	 0.0033000 	 0.0443000 	 0.1334000 	 1.8410000 	 0.0143000 	 0.0301000 	 0.0671000
6.9000000 	 -0.5250000 	 -1.0000000 	 0.0026000 	 0.0291000 	 0.0685000 	 1.4710000 	 0.0078000 	 0.0162000 	 0.0303000
6.9000000 	 -0.5250000 	 -0.7500000 	 0.0023000 	 0.0228000 	 0.0391000 	 1.1095000 	 0.0152000 	 0.0107000 	 0.0274000
6.9000000 	 -0.5250000 	 -0.5000000 	 0.0023000 	 0.0130000 	 0.0191000 	 0.7808000 	 0.0100000 	 0.0072000 	 0.0160000
6.9000000 	 -0.4000000 	 -4.0000000 	 1.6370000 	 0.0000000 	 0.0000000 	 0.7878000 	 0.0000000 	 0.0080000 	 0.0117000
6.9000000 	 -0.4000000 	 -3.7500000 	 0.8859000 	 0.0000000 	 0.0000000 	 0.9868000 	 0.0000000 	 0.0165000 	 0.0432000
6.9000000 	 -0.4000000 	 -3.5000000 	 0.5090000 	 0.0000000 	 0.0000000 	 1.1899000 	 0.0047000 	 0.0334000 	 0.1265000
6.9000000 	 -0.4000000 	 -3.2500000 	 0.2956000 	 0.0000000 	 0.0076000 	 1.3688000 	 0.0130000 	 0.0636000 	 0.2481000
6.9000000 	 -0.4000000 	 -3.0000000 	 0.1675000 	 0.0000000 	 0.0306000 	 1.5167000 	 0.0254000 	 0.1089000 	 0.3567000
6.9000000 	 -0.4000000 	 -2.7500000 	 0.0640000 	 0.0000000 	 0.0904000 	 1.6501000 	 0.0397000 	 0.1631000 	 0.4244000
6.9000000 	 -0.4000000 	 -2.5000000 	 0.0389000 	 0.0061000 	 0.2014000 	 1.7851000 	 0.0524000 	 0.2083000 	 0.4401000
6.9000000 	 -0.4000000 	 -2.2500000 	 0.0179000 	 0.0188000 	 0.3366000 	 1.9252000 	 0.0601000 	 0.2200000 	 0.4042000
6.9000000 	 -0.4000000 	 -2.0000000 	 0.0963000 	 0.0415000 	 0.4218000 	 2.0573000 	 0.0563000 	 0.1878000 	 0.3254000
6.9000000 	 -0.4000000 	 -1.7500000 	 0.0489000 	 0.0647000 	 0.4002000 	 2.1327000 	 0.0430000 	 0.1300000 	 0.2258000
6.9000000 	 -0.4000000 	 -1.5000000 	 0.1806000 	 0.0715000 	 0.2956000 	 2.0852000 	 0.0268000 	 0.0763000 	 0.1336000
6.9000000 	 -0.4000000 	 -1.2500000 	 0.0033000 	 0.0585000 	 0.1762000 	 1.8463000 	 0.0143000 	 0.0405000 	 0.0673000
6.9000000 	 -0.4000000 	 -1.0000000 	 0.0048000 	 0.0385000 	 0.0903000 	 1.4730000 	 0.0078000 	 0.0217000 	 0.0303000
6.9000000 	 -0.4000000 	 -0.7500000 	 0.0023000 	 0.0303000 	 0.0518000 	 1.1098000 	 0.0151000 	 0.0144000 	 0.0273000
6.9000000 	 -0.4000000 	 -0.5000000 	 0.0023000 	 0.0172000 	 0.0251000 	 0.7807000 	 0.0100000 	 0.0096000 	 0.0160000
7.0000000 	 -0.5250000 	 -4.0000000 	 1.6095000 	 0.0000000 	 0.0000000 	 0.7883000 	 0.0000000 	 0.0075000 	 0.0147000
