#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry, stop criterion: 2% free electrons, no grains
#
12+log(O/H) log(C/O) log(U) Lya_1216 NV_1239 CIV_1549 HeII_1640 OIII_1665 CIII_1909 OIII_5007
6.9000 -1.4000 -0.5000 51.3364 0.0188 1.1947 0.6825 0.6349 0.0241 1.6248
6.9000 -1.4000 -0.7500 60.9878 0.0215 1.1449 0.4782 0.5470 0.0287 1.4438
6.9000 -1.4000 -1.0000 71.4368 0.0230 1.0248 0.2883 0.4601 0.0284 1.2332
6.9000 -1.4000 -1.2500 66.1851 0.0223 0.9390 0.1791 0.3876 0.0272 1.0749
6.9000 -1.4000 -1.5000 59.7277 0.0165 0.8402 0.1205 0.2750 0.0272 0.8540
6.9000 -1.4000 -1.7500 55.4804 0.0097 0.8242 0.0886 0.1716 0.0297 0.6865
6.9000 -1.4000 -2.0000 53.8783 0.0045 0.8383 0.0608 0.1109 0.0299 0.5955
6.9000 -1.4000 -2.2500 53.3629 0.0010 0.8518 0.0363 0.0756 0.0263 0.5387
6.9000 -1.4000 -2.5000 52.7246 0.0000 0.8563 0.0183 0.0522 0.0205 0.4921
6.9000 -1.4000 -2.7500 52.3516 0.0000 0.8326 0.0073 0.0343 0.0142 0.4303
6.9000 -1.4000 -3.0000 52.1980 0.0000 0.7773 0.0015 0.0204 0.0088 0.3420
6.9000 -1.4000 -3.2500 52.3644 0.0000 0.6878 0.0000 0.0099 0.0051 0.2277
6.9000 -1.4000 -3.5000 52.3789 0.0000 0.5740 0.0000 0.0026 0.0027 0.1118
6.9000 -1.4000 -3.7500 52.2398 0.0000 0.4470 0.0000 0.0000 0.0000 0.0381
6.9000 -1.4000 -4.0000 51.7186 0.0000 0.3394 0.0000 0.0000 0.0000 0.0110
7.0000 -1.4000 -0.5000 52.4976 0.0214 1.2090 0.8175 0.7673 0.0289 2.0106
7.0000 -1.4000 -0.7500 60.8720 0.0248 1.1453 0.5698 0.6607 0.0344 1.7776
7.0000 -1.4000 -1.0000 71.5719 0.0271 1.0322 0.3479 0.5632 0.0344 1.5341
7.0000 -1.4000 -1.2500 65.7129 0.0264 0.9420 0.2172 0.4734 0.0333 1.3339
7.0000 -1.4000 -1.5000 59.1589 0.0196 0.8449 0.1472 0.3355 0.0336 1.0609
7.0000 -1.4000 -1.7500 55.1193 0.0117 0.8286 0.1085 0.2114 0.0368 0.8580
7.0000 -1.4000 -2.0000 53.4707 0.0055 0.8430 0.0745 0.1377 0.0373 0.7477
7.0000 -1.4000 -2.2500 53.0278 0.0013 0.8533 0.0441 0.0939 0.0327 0.6753
