#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -2.5 - -0.5
# SED: double composite AGN power law, a(UV) = -1.5, a(ox) = -1.2
# Plane-parallel geometry, stop criterion: 98% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 81.2063000 	 0.0000000 	 0.0000000 	 0.2692000 	 0.0000000 	 0.0011000 	 0.0212000
6.9000000 	 -1.4000000 	 -3.7500000 	 83.2012000 	 0.0000000 	 0.0000000 	 0.4768000 	 0.0016000 	 0.0024000 	 0.0674000
6.9000000 	 -1.4000000 	 -3.5000000 	 30.3539000 	 0.0000000 	 0.0000000 	 0.8491000 	 0.0069000 	 0.0049000 	 0.2170000
6.9000000 	 -1.4000000 	 -3.2500000 	 25.7192000 	 0.0000000 	 0.0000000 	 1.1249000 	 0.0171000 	 0.0085000 	 0.4035000
6.9000000 	 -1.4000000 	 -3.0000000 	 18.0286000 	 0.0000000 	 0.0036000 	 1.3302000 	 0.0324000 	 0.0138000 	 0.5676000
6.9000000 	 -1.4000000 	 -2.7500000 	 11.4868000 	 0.0000000 	 0.0109000 	 1.4719000 	 0.0494000 	 0.0204000 	 0.6585000
6.9000000 	 -1.4000000 	 -2.5000000 	 7.6455000 	 0.0000000 	 0.0261000 	 1.6162000 	 0.0651000 	 0.0270000 	 0.6757000
6.9000000 	 -1.4000000 	 -2.2500000 	 5.7095000 	 0.0014000 	 0.0477000 	 1.7688000 	 0.0728000 	 0.0304000 	 0.6156000
6.9000000 	 -1.4000000 	 -2.0000000 	 4.3172000 	 0.0058000 	 0.0694000 	 1.9728000 	 0.0681000 	 0.0282000 	 0.4966000
6.9000000 	 -1.4000000 	 -1.7500000 	 3.6892000 	 0.0116000 	 0.0788000 	 2.1735000 	 0.0501000 	 0.0207000 	 0.3444000
6.9000000 	 -1.4000000 	 -1.5000000 	 3.3072000 	 0.0168000 	 0.0726000 	 2.3277000 	 0.0289000 	 0.0124000 	 0.2048000
6.9000000 	 -1.4000000 	 -1.2500000 	 2.8805000 	 0.0184000 	 0.0574000 	 2.3987000 	 0.0139000 	 0.0066000 	 0.1072000
6.9000000 	 -1.4000000 	 -1.0000000 	 2.5334000 	 0.0161000 	 0.0398000 	 2.3673000 	 0.0060000 	 0.0033000 	 0.0499000
6.9000000 	 -1.4000000 	 -0.7500000 	 2.1815000 	 0.0111000 	 0.0244000 	 2.2416000 	 0.0025000 	 0.0017000 	 0.0224000
6.9000000 	 -1.4000000 	 -0.5000000 	 2.1160000 	 0.0062000 	 0.0139000 	 2.0686000 	 0.0011000 	 0.0000000 	 0.0106000
6.9000000 	 -1.2750000 	 -4.0000000 	 81.2037000 	 0.0000000 	 0.0000000 	 0.2692000 	 0.0000000 	 0.0015000 	 0.0212000
6.9000000 	 -1.2750000 	 -3.7500000 	 83.1983000 	 0.0000000 	 0.0000000 	 0.4768000 	 0.0016000 	 0.0032000 	 0.0674000
6.9000000 	 -1.2750000 	 -3.5000000 	 30.3515000 	 0.0000000 	 0.0000000 	 0.8491000 	 0.0069000 	 0.0065000 	 0.2170000
6.9000000 	 -1.2750000 	 -3.2500000 	 25.7175000 	 0.0000000 	 0.0012000 	 1.1249000 	 0.0171000 	 0.0113000 	 0.4035000
6.9000000 	 -1.2750000 	 -3.0000000 	 18.0245000 	 0.0000000 	 0.0048000 	 1.3301000 	 0.0324000 	 0.0183000 	 0.5675000
6.9000000 	 -1.2750000 	 -2.7500000 	 11.5371000 	 0.0000000 	 0.0143000 	 1.4693000 	 0.0493000 	 0.0271000 	 0.6580000
6.9000000 	 -1.2750000 	 -2.5000000 	 7.6533000 	 0.0000000 	 0.0338000 	 1.6149000 	 0.0651000 	 0.0360000 	 0.6752000
6.9000000 	 -1.2750000 	 -2.2500000 	 5.7171000 	 0.0018000 	 0.0615000 	 1.7683000 	 0.0728000 	 0.0405000 	 0.6155000
6.9000000 	 -1.2750000 	 -2.0000000 	 4.2995000 	 0.0076000 	 0.0893000 	 1.9718000 	 0.0680000 	 0.0375000 	 0.4966000
6.9000000 	 -1.2750000 	 -1.7500000 	 3.6805000 	 0.0151000 	 0.1012000 	 2.1736000 	 0.0501000 	 0.0276000 	 0.3443000
6.9000000 	 -1.2750000 	 -1.5000000 	 3.2826000 	 0.0217000 	 0.0930000 	 2.3283000 	 0.0289000 	 0.0166000 	 0.2047000
6.9000000 	 -1.2750000 	 -1.2500000 	 2.8895000 	 0.0239000 	 0.0732000 	 2.3984000 	 0.0139000 	 0.0088000 	 0.1075000
