#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -1.5
# SED: BPASS v.2.1, a = -1.35, M_up = 300 M_sun,, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 17.8321000 	 0.0000000 	 0.0000000 	 0.0030000 	 0.0000000 	 0.0000000 	 0.0123000
6.9000000 	 -1.4000000 	 -3.7500000 	 12.5437000 	 0.0000000 	 0.0000000 	 0.0035000 	 0.0000000 	 0.0011000 	 0.0386000
6.9000000 	 -1.4000000 	 -3.5000000 	 8.9524000 	 0.0000000 	 0.0000000 	 0.0040000 	 0.0022000 	 0.0033000 	 0.1065000
6.9000000 	 -1.4000000 	 -3.2500000 	 6.3552000 	 0.0000000 	 0.0000000 	 0.0045000 	 0.0082000 	 0.0056000 	 0.2321000
6.9000000 	 -1.4000000 	 -3.0000000 	 4.4927000 	 0.0000000 	 0.0000000 	 0.0052000 	 0.0177000 	 0.0088000 	 0.3965000
6.9000000 	 -1.4000000 	 -2.7500000 	 3.1509000 	 0.0000000 	 0.0010000 	 0.0061000 	 0.0321000 	 0.0132000 	 0.5699000
6.9000000 	 -1.4000000 	 -2.5000000 	 2.2367000 	 0.0000000 	 0.0047000 	 0.0076000 	 0.0521000 	 0.0190000 	 0.7407000
6.9000000 	 -1.4000000 	 -2.2500000 	 1.6147000 	 0.0000000 	 0.0119000 	 0.0098000 	 0.0796000 	 0.0259000 	 0.9092000
6.9000000 	 -1.4000000 	 -2.0000000 	 1.2096000 	 0.0000000 	 0.0263000 	 0.0132000 	 0.1166000 	 0.0336000 	 1.0774000
6.9000000 	 -1.4000000 	 -1.7500000 	 0.9438000 	 0.0000000 	 0.0522000 	 0.0186000 	 0.1653000 	 0.0415000 	 1.2474000
6.9000000 	 -1.4000000 	 -1.5000000 	 0.7616000 	 0.0000000 	 0.0959000 	 0.0273000 	 0.2276000 	 0.0486000 	 1.4190000
6.9000000 	 -1.2750000 	 -4.0000000 	 17.8310000 	 0.0000000 	 0.0000000 	 0.0030000 	 0.0000000 	 0.0000000 	 0.0123000
6.9000000 	 -1.2750000 	 -3.7500000 	 12.5391000 	 0.0000000 	 0.0000000 	 0.0035000 	 0.0000000 	 0.0015000 	 0.0386000
6.9000000 	 -1.2750000 	 -3.5000000 	 8.9478000 	 0.0000000 	 0.0000000 	 0.0040000 	 0.0022000 	 0.0045000 	 0.1065000
6.9000000 	 -1.2750000 	 -3.2500000 	 6.3554000 	 0.0000000 	 0.0000000 	 0.0045000 	 0.0082000 	 0.0075000 	 0.2321000
6.9000000 	 -1.2750000 	 -3.0000000 	 4.4917000 	 0.0000000 	 0.0000000 	 0.0052000 	 0.0177000 	 0.0118000 	 0.3964000
6.9000000 	 -1.2750000 	 -2.7500000 	 3.1501000 	 0.0000000 	 0.0013000 	 0.0061000 	 0.0321000 	 0.0177000 	 0.5698000
6.9000000 	 -1.2750000 	 -2.5000000 	 2.2366000 	 0.0000000 	 0.0062000 	 0.0076000 	 0.0521000 	 0.0254000 	 0.7406000
6.9000000 	 -1.2750000 	 -2.2500000 	 1.6146000 	 0.0000000 	 0.0155000 	 0.0098000 	 0.0795000 	 0.0346000 	 0.9089000
6.9000000 	 -1.2750000 	 -2.0000000 	 1.2096000 	 0.0000000 	 0.0339000 	 0.0132000 	 0.1164000 	 0.0448000 	 1.0770000
6.9000000 	 -1.2750000 	 -1.7500000 	 0.9435000 	 0.0000000 	 0.0675000 	 0.0186000 	 0.1650000 	 0.0552000 	 1.2468000
6.9000000 	 -1.2750000 	 -1.5000000 	 0.7619000 	 0.0000000 	 0.1241000 	 0.0273000 	 0.2271000 	 0.0647000 	 1.4180000
6.9000000 	 -1.1500000 	 -4.0000000 	 17.8293000 	 0.0000000 	 0.0000000 	 0.0030000 	 0.0000000 	 0.0011000 	 0.0123000
6.9000000 	 -1.1500000 	 -3.7500000 	 12.5451000 	 0.0000000 	 0.0000000 	 0.0035000 	 0.0000000 	 0.0033000 	 0.0386000
6.9000000 	 -1.1500000 	 -3.5000000 	 8.9455000 	 0.0000000 	 0.0000000 	 0.0040000 	 0.0022000 	 0.0059000 	 0.1065000
6.9000000 	 -1.1500000 	 -3.2500000 	 6.3503000 	 0.0000000 	 0.0000000 	 0.0045000 	 0.0082000 	 0.0099000 	 0.2321000
6.9000000 	 -1.1500000 	 -3.0000000 	 4.4913000 	 0.0000000 	 0.0000000 	 0.0052000 	 0.0177000 	 0.0157000 	 0.3964000
6.9000000 	 -1.1500000 	 -2.7500000 	 3.1501000 	 0.0000000 	 0.0018000 	 0.0061000 	 0.0321000 	 0.0236000 	 0.5697000
6.9000000 	 -1.1500000 	 -2.5000000 	 2.2372000 	 0.0000000 	 0.0081000 	 0.0076000 	 0.0520000 	 0.0338000 	 0.7404000
6.9000000 	 -1.1500000 	 -2.2500000 	 1.6144000 	 0.0000000 	 0.0201000 	 0.0098000 	 0.0794000 	 0.0461000 	 0.9086000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.2096000 	 0.0000000 	 0.0440000 	 0.0132000 	 0.1163000 	 0.0597000 	 1.0765000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.9436000 	 0.0000000 	 0.0875000 	 0.0186000 	 0.1646000 	 0.0735000 	 1.2459000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.7605000 	 0.0000000 	 0.1610000 	 0.0273000 	 0.2263000 	 0.0860000 	 1.4167000
6.9000000 	 -1.0250000 	 -4.0000000 	 17.8280000 	 0.0000000 	 0.0000000 	 0.0030000 	 0.0000000 	 0.0014000 	 0.0123000
6.9000000 	 -1.0250000 	 -3.7500000 	 12.5275000 	 0.0000000 	 0.0000000 	 0.0035000 	 0.0000000 	 0.0044000 	 0.0386000
