#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.1500000 	 -2.2500000 	 1.6144000 	 0.0000000 	 0.0201000 	 0.0098000 	 0.0794000 	 0.0461000 	 0.9086000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.2096000 	 0.0000000 	 0.0440000 	 0.0132000 	 0.1163000 	 0.0597000 	 1.0765000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.9436000 	 0.0000000 	 0.0875000 	 0.0186000 	 0.1646000 	 0.0735000 	 1.2459000
6.9000000 	 -1.0250000 	 -2.2500000 	 1.6152000 	 0.0000000 	 0.0260000 	 0.0098000 	 0.0793000 	 0.0614000 	 0.9082000
6.9000000 	 -1.0250000 	 -2.0000000 	 1.2094000 	 0.0000000 	 0.0569000 	 0.0132000 	 0.1160000 	 0.0795000 	 1.0758000
6.9000000 	 -1.0250000 	 -1.7500000 	 0.9432000 	 0.0000000 	 0.1137000 	 0.0186000 	 0.1642000 	 0.0977000 	 1.2448000
6.9000000 	 -0.9000000 	 -2.2500000 	 1.6155000 	 0.0000000 	 0.0337000 	 0.0098000 	 0.0792000 	 0.0817000 	 0.9076000
6.9000000 	 -0.9000000 	 -2.0000000 	 1.2111000 	 0.0000000 	 0.0739000 	 0.0132000 	 0.1158000 	 0.1057000 	 1.0749000
6.9000000 	 -0.9000000 	 -1.7500000 	 0.9427000 	 0.0000000 	 0.1477000 	 0.0186000 	 0.1635000 	 0.1298000 	 1.2433000
7.0000000 	 -1.1500000 	 -2.2500000 	 1.5934000 	 0.0000000 	 0.0228000 	 0.0090000 	 0.0971000 	 0.0571000 	 1.1331000
7.0000000 	 -1.1500000 	 -2.0000000 	 1.1955000 	 0.0000000 	 0.0499000 	 0.0122000 	 0.1417000 	 0.0739000 	 1.3419000
7.0000000 	 -1.1500000 	 -1.7500000 	 0.9348000 	 0.0000000 	 0.0999000 	 0.0172000 	 0.1999000 	 0.0910000 	 1.5519000
7.0000000 	 -0.9000000 	 -2.2500000 	 1.6038000 	 0.0000000 	 0.0382000 	 0.0090000 	 0.0967000 	 0.1011000 	 1.1317000
7.0000000 	 -0.9000000 	 -2.0000000 	 1.2013000 	 0.0000000 	 0.0840000 	 0.0122000 	 0.1407000 	 0.1306000 	 1.3393000
7.0000000 	 -0.9000000 	 -1.7500000 	 0.9343000 	 0.0000000 	 0.1685000 	 0.0171000 	 0.1981000 	 0.1607000 	 1.5478000
7.2000000 	 -1.1500000 	 -2.2500000 	 1.5586000 	 0.0000000 	 0.0287000 	 0.0078000 	 0.1402000 	 0.0847000 	 1.7414000
7.2000000 	 -1.1500000 	 -2.0000000 	 1.1739000 	 0.0000000 	 0.0627000 	 0.0105000 	 0.2024000 	 0.1094000 	 2.0581000
7.2000000 	 -1.1500000 	 -1.7500000 	 0.9167000 	 0.0000000 	 0.1256000 	 0.0147000 	 0.2826000 	 0.1345000 	 2.3742000
7.2000000 	 -1.0250000 	 -2.2500000 	 1.5579000 	 0.0000000 	 0.0369000 	 0.0078000 	 0.1399000 	 0.1127000 	 1.7399000
7.2000000 	 -1.0250000 	 -2.0000000 	 1.1739000 	 0.0000000 	 0.0812000 	 0.0105000 	 0.2018000 	 0.1455000 	 2.0559000
7.2000000 	 -1.0250000 	 -1.7500000 	 0.9156000 	 0.0000000 	 0.1628000 	 0.0147000 	 0.2812000 	 0.1785000 	 2.3703000
7.2000000 	 -0.9000000 	 -2.2500000 	 1.5590000 	 0.0000000 	 0.0478000 	 0.0078000 	 0.1394000 	 0.1499000 	 1.7380000
7.2000000 	 -0.9000000 	 -2.0000000 	 1.1688000 	 0.0000000 	 0.1054000 	 0.0105000 	 0.2007000 	 0.1931000 	 2.0524000
7.2000000 	 -0.9000000 	 -1.7500000 	 0.9147000 	 0.0000000 	 0.2108000 	 0.0147000 	 0.2793000 	 0.2366000 	 2.3650000
7.3000000 	 -1.1500000 	 -2.2500000 	 1.5318000 	 0.0000000 	 0.0315000 	 0.0073000 	 0.1651000 	 0.1013000 	 2.1428000
7.3000000 	 -1.1500000 	 -2.0000000 	 1.1546000 	 0.0000000 	 0.0688000 	 0.0098000 	 0.2368000 	 0.1305000 	 2.5286000
7.3000000 	 -1.1500000 	 -1.7500000 	 0.9040000 	 0.0000000 	 0.1378000 	 0.0136000 	 0.3284000 	 0.1598000 	 2.9120000
7.3000000 	 -1.0250000 	 -2.2500000 	 1.5319000 	 0.0000000 	 0.0406000 	 0.0073000 	 0.1646000 	 0.1347000 	 2.1405000
7.3000000 	 -1.0250000 	 -2.0000000 	 1.1560000 	 0.0000000 	 0.0892000 	 0.0098000 	 0.2358000 	 0.1732000 	 2.5249000
7.3000000 	 -1.0250000 	 -1.7500000 	 0.9040000 	 0.0000000 	 0.1783000 	 0.0136000 	 0.3264000 	 0.2119000 	 2.9061000
7.3000000 	 -0.9000000 	 -2.2500000 	 1.5301000 	 0.0000000 	 0.0524000 	 0.0073000 	 0.1639000 	 0.1790000 	 2.1375000
7.3000000 	 -0.9000000 	 -2.0000000 	 1.1547000 	 0.0000000 	 0.1155000 	 0.0098000 	 0.2344000 	 0.2298000 	 2.5199000
7.3000000 	 -0.9000000 	 -1.7500000 	 0.9027000 	 0.0000000 	 0.2304000 	 0.0136000 	 0.3237000 	 0.2805000 	 2.8982000
7.5000000 	 -1.1500000 	 -2.2500000 	 1.4744000 	 0.0000000 	 0.0360000 	 0.0065000 	 0.2160000 	 0.1374000 	 3.1735000
7.5000000 	 -1.1500000 	 -2.0000000 	 1.1149000 	 0.0000000 	 0.0782000 	 0.0086000 	 0.3046000 	 0.1753000 	 3.7285000
7.5000000 	 -1.1500000 	 -1.7500000 	 0.8699000 	 0.0000000 	 0.1558000 	 0.0118000 	 0.4161000 	 0.2128000 	 4.2774000
7.5000000 	 -1.0250000 	 -2.2500000 	 1.4731000 	 0.0000000 	 0.0462000 	 0.0065000 	 0.2149000 	 0.1825000 	 3.1684000
7.5000000 	 -1.0250000 	 -2.0000000 	 1.1142000 	 0.0000000 	 0.1009000 	 0.0086000 	 0.3028000 	 0.2325000 	 3.7205000
7.5000000 	 -1.0250000 	 -1.7500000 	 0.8686000 	 0.0000000 	 0.2005000 	 0.0118000 	 0.4126000 	 0.2817000 	 4.2649000
7.5000000 	 -0.9000000 	 -2.2500000 	 1.4732000 	 0.0000000 	 0.0596000 	 0.0065000 	 0.2137000 	 0.2422000 	 3.1616000
7.5000000 	 -0.9000000 	 -2.0000000 	 1.1127000 	 0.0000000 	 0.1302000 	 0.0085000 	 0.3003000 	 0.3078000 	 3.7099000
7.5000000 	 -0.9000000 	 -1.7500000 	 0.8692000 	 0.0000000 	 0.2570000 	 0.0118000 	 0.4081000 	 0.3720000 	 4.2487000
7.6000000 	 -1.1500000 	 -2.5000000 	 1.9549000 	 0.0000000 	 0.0155000 	 0.0050000 	 0.1615000 	 0.1162000 	 3.1200000
7.6000000 	 -1.1500000 	 -2.2500000 	 1.4331000 	 0.0000000 	 0.0368000 	 0.0063000 	 0.2369000 	 0.1543000 	 3.8000000
7.6000000 	 -1.1500000 	 -2.0000000 	 1.0902000 	 0.0000000 	 0.0796000 	 0.0082000 	 0.3312000 	 0.1956000 	 4.4537000
7.6000000 	 -1.0250000 	 -2.5000000 	 1.9571000 	 0.0000000 	 0.0199000 	 0.0050000 	 0.1608000 	 0.1544000 	 3.1153000
7.6000000 	 -1.0250000 	 -2.2500000 	 1.4318000 	 0.0000000 	 0.0472000 	 0.0063000 	 0.2356000 	 0.2049000 	 3.7927000
7.6000000 	 -1.0250000 	 -2.0000000 	 1.0880000 	 0.0000000 	 0.1025000 	 0.0082000 	 0.3289000 	 0.2594000 	 4.4427000
7.6000000 	 -0.9000000 	 -2.5000000 	 1.9541000 	 0.0000000 	 0.0254000 	 0.0050000 	 0.1599000 	 0.2049000 	 3.1091000
7.6000000 	 -0.9000000 	 -2.2500000 	 1.4317000 	 0.0000000 	 0.0606000 	 0.0063000 	 0.2339000 	 0.2715000 	 3.7830000
7.6000000 	 -0.9000000 	 -2.0000000 	 1.0872000 	 0.0000000 	 0.1317000 	 0.0082000 	 0.3258000 	 0.3429000 	 4.4278000
7.7000000 	 -1.1500000 	 -2.5000000 	 1.8780000 	 0.0000000 	 0.0155000 	 0.0050000 	 0.1710000 	 0.1272000 	 3.6843000
7.7000000 	 -1.1500000 	 -2.2500000 	 1.3946000 	 0.0000000 	 0.0359000 	 0.0062000 	 0.2491000 	 0.1671000 	 4.4748000
7.7000000 	 -1.1500000 	 -2.0000000 	 1.0534000 	 0.0000000 	 0.0772000 	 0.0081000 	 0.3451000 	 0.2103000 	 5.2302000
7.7000000 	 -1.0250000 	 -2.5000000 	 1.8767000 	 0.0000000 	 0.0196000 	 0.0050000 	 0.1702000 	 0.1689000 	 3.6777000
7.7000000 	 -1.0250000 	 -2.2500000 	 1.3926000 	 0.0000000 	 0.0458000 	 0.0062000 	 0.2476000 	 0.2217000 	 4.4644000
7.7000000 	 -1.0250000 	 -2.0000000 	 1.0519000 	 0.0000000 	 0.0989000 	 0.0081000 	 0.3425000 	 0.2785000 	 5.2154000
7.7000000 	 -0.9000000 	 -2.5000000 	 1.8755000 	 0.0000000 	 0.0249000 	 0.0050000 	 0.1692000 	 0.2240000 	 3.6690000
7.7000000 	 -0.9000000 	 -2.2500000 	 1.3915000 	 0.0000000 	 0.0587000 	 0.0062000 	 0.2456000 	 0.2936000 	 4.4516000
7.7000000 	 -0.9000000 	 -2.0000000 	 1.0520000 	 0.0000000 	 0.1266000 	 0.0081000 	 0.3390000 	 0.3682000 	 5.1959000
7.8000000 	 -1.1500000 	 -2.5000000 	 1.8032000 	 0.0000000 	 0.0148000 	 0.0051000 	 0.1736000 	 0.1344000 	 4.2752000
7.8000000 	 -1.1500000 	 -2.2500000 	 1.3346000 	 0.0000000 	 0.0336000 	 0.0062000 	 0.2504000 	 0.1747000 	 5.1798000
7.8000000 	 -1.1500000 	 -2.0000000 	 1.0133000 	 0.0000000 	 0.0712000 	 0.0080000 	 0.3450000 	 0.2180000 	 6.0357000
7.8000000 	 -1.0250000 	 -2.5000000 	 1.8020000 	 0.0000000 	 0.0185000 	 0.0051000 	 0.1725000 	 0.1784000 	 4.2663000
7.8000000 	 -1.0250000 	 -2.2500000 	 1.3329000 	 0.0000000 	 0.0426000 	 0.0062000 	 0.2487000 	 0.2316000 	 5.1667000
7.8000000 	 -1.0250000 	 -2.0000000 	 1.0121000 	 0.0000000 	 0.0909000 	 0.0080000 	 0.3422000 	 0.2886000 	 6.0175000
7.8000000 	 -0.9000000 	 -2.5000000 	 1.8003000 	 0.0000000 	 0.0235000 	 0.0051000 	 0.1713000 	 0.2364000 	 4.2549000
7.8000000 	 -0.9000000 	 -2.2500000 	 1.3309000 	 0.0000000 	 0.0542000 	 0.0062000 	 0.2463000 	 0.3062000 	 5.1481000
7.8000000 	 -0.9000000 	 -2.0000000 	 1.0105000 	 0.0000000 	 0.1156000 	 0.0080000 	 0.3384000 	 0.3811000 	 5.9924000
7.9000000 	 -1.1500000 	 -2.7500000 	 2.3447000 	 0.0000000 	 0.0054000 	 0.0045000 	 0.1079000 	 0.1011000 	 3.7336000
7.9000000 	 -1.1500000 	 -2.5000000 	 1.7125000 	 0.0000000 	 0.0134000 	 0.0052000 	 0.1651000 	 0.1347000 	 4.8315000
7.9000000 	 -1.1500000 	 -2.2500000 	 1.2741000 	 0.0000000 	 0.0295000 	 0.0064000 	 0.2357000 	 0.1730000 	 5.8412000
7.9000000 	 -1.0250000 	 -2.7500000 	 2.3425000 	 0.0000000 	 0.0068000 	 0.0045000 	 0.1073000 	 0.1341000 	 3.7248000
7.9000000 	 -1.0250000 	 -2.5000000 	 1.7119000 	 0.0000000 	 0.0167000 	 0.0052000 	 0.1642000 	 0.1787000 	 4.8218000
7.9000000 	 -1.0250000 	 -2.2500000 	 1.2731000 	 0.0000000 	 0.0370000 	 0.0064000 	 0.2341000 	 0.2293000 	 5.8260000
7.9000000 	 -0.9000000 	 -2.7500000 	 2.3404000 	 0.0000000 	 0.0086000 	 0.0045000 	 0.1065000 	 0.1778000 	 3.7149000
7.9000000 	 -0.9000000 	 -2.5000000 	 1.7087000 	 0.0000000 	 0.0207000 	 0.0052000 	 0.1627000 	 0.2365000 	 4.8054000
7.9000000 	 -0.9000000 	 -2.2500000 	 1.2719000 	 0.0000000 	 0.0468000 	 0.0063000 	 0.2318000 	 0.3032000 	 5.8041000
8.0000000 	 -1.1500000 	 -2.7500000 	 2.1955000 	 0.0000000 	 0.0049000 	 0.0049000 	 0.0970000 	 0.0973000 	 4.1092000
8.0000000 	 -1.1500000 	 -2.5000000 	 1.6113000 	 0.0000000 	 0.0114000 	 0.0057000 	 0.1470000 	 0.1278000 	 5.3111000
8.0000000 	 -1.1500000 	 -2.2500000 	 1.1965000 	 0.0000000 	 0.0244000 	 0.0068000 	 0.2084000 	 0.1625000 	 6.4092000
8.0000000 	 -1.0250000 	 -2.7500000 	 2.1917000 	 0.0000000 	 0.0061000 	 0.0049000 	 0.0964000 	 0.1292000 	 4.0994000
8.0000000 	 -1.0250000 	 -2.5000000 	 1.6086000 	 0.0000000 	 0.0141000 	 0.0057000 	 0.1461000 	 0.1694000 	 5.2980000
8.0000000 	 -1.0250000 	 -2.2500000 	 1.1939000 	 0.0000000 	 0.0304000 	 0.0068000 	 0.2068000 	 0.2152000 	 6.3909000
8.0000000 	 -0.9000000 	 -2.7500000 	 2.1885000 	 0.0000000 	 0.0076000 	 0.0049000 	 0.0956000 	 0.1710000 	 4.0862000
8.0000000 	 -0.9000000 	 -2.5000000 	 1.6049000 	 0.0000000 	 0.0174000 	 0.0057000 	 0.1449000 	 0.2242000 	 5.2799000
8.0000000 	 -0.9000000 	 -2.2500000 	 1.1917000 	 0.0000000 	 0.0379000 	 0.0068000 	 0.2048000 	 0.2846000 	 6.3668000
8.0000000 	 -0.7750000 	 -2.7500000 	 2.1877000 	 0.0000000 	 0.0094000 	 0.0049000 	 0.0946000 	 0.2259000 	 4.0691000
8.0000000 	 -0.7750000 	 -2.5000000 	 1.6026000 	 0.0000000 	 0.0216000 	 0.0057000 	 0.1431000 	 0.2960000 	 5.2564000
8.0000000 	 -0.7750000 	 -2.2500000 	 1.1885000 	 0.0000000 	 0.0475000 	 0.0068000 	 0.2022000 	 0.3754000 	 6.3352000
8.0000000 	 -0.6500000 	 -2.7500000 	 2.1815000 	 0.0000000 	 0.0115000 	 0.0049000 	 0.0932000 	 0.2977000 	 4.0465000
8.0000000 	 -0.6500000 	 -2.5000000 	 1.5991000 	 0.0000000 	 0.0268000 	 0.0057000 	 0.1409000 	 0.3895000 	 5.2241000
8.0000000 	 -0.6500000 	 -2.2500000 	 1.1858000 	 0.0000000 	 0.0593000 	 0.0068000 	 0.1988000 	 0.4933000 	 6.2932000
8.1000000 	 -1.1500000 	 -3.0000000 	 2.7979000 	 0.0000000 	 0.0000000 	 0.0042000 	 0.0476000 	 0.0656000 	 2.9884000
8.1000000 	 -1.1500000 	 -2.7500000 	 2.0366000 	 0.0000000 	 0.0042000 	 0.0047000 	 0.0807000 	 0.0883000 	 4.3719000
8.1000000 	 -1.1500000 	 -2.5000000 	 1.4842000 	 0.0000000 	 0.0093000 	 0.0054000 	 0.1219000 	 0.1145000 	 5.6567000
8.1000000 	 -1.0250000 	 -3.0000000 	 2.7956000 	 0.0000000 	 0.0011000 	 0.0042000 	 0.0472000 	 0.0870000 	 2.9800000
8.1000000 	 -1.0250000 	 -2.7500000 	 2.0333000 	 0.0000000 	 0.0052000 	 0.0047000 	 0.0802000 	 0.1171000 	 4.3601000
8.1000000 	 -1.0250000 	 -2.5000000 	 1.4878000 	 0.0000000 	 0.0112000 	 0.0054000 	 0.1211000 	 0.1518000 	 5.6428000
8.1000000 	 -0.9000000 	 -3.0000000 	 2.7897000 	 0.0000000 	 0.0015000 	 0.0042000 	 0.0468000 	 0.1152000 	 2.9695000
8.1000000 	 -0.9000000 	 -2.7500000 	 2.0296000 	 0.0000000 	 0.0063000 	 0.0047000 	 0.0794000 	 0.1550000 	 4.3441000
8.1000000 	 -0.9000000 	 -2.5000000 	 1.4840000 	 0.0000000 	 0.0135000 	 0.0054000 	 0.1199000 	 0.2008000 	 5.6217000
8.1000000 	 -0.7750000 	 -3.0000000 	 2.7850000 	 0.0000000 	 0.0029000 	 0.0042000 	 0.0462000 	 0.1519000 	 2.9543000
8.1000000 	 -0.7750000 	 -2.7500000 	 2.0107000 	 0.0000000 	 0.0077000 	 0.0047000 	 0.0785000 	 0.2045000 	 4.3232000
8.1000000 	 -0.7750000 	 -2.5000000 	 1.4810000 	 0.0000000 	 0.0164000 	 0.0053000 	 0.1184000 	 0.2649000 	 5.5940000
8.1000000 	 -0.6500000 	 -3.0000000 	 2.7781000 	 0.0000000 	 0.0037000 	 0.0042000 	 0.0454000 	 0.1997000 	 2.9341000
8.1000000 	 -0.6500000 	 -2.7500000 	 2.0081000 	 0.0000000 	 0.0092000 	 0.0047000 	 0.0771000 	 0.2688000 	 4.2951000
8.1000000 	 -0.6500000 	 -2.5000000 	 1.4784000 	 0.0000000 	 0.0200000 	 0.0053000 	 0.1166000 	 0.3485000 	 5.5597000
8.2000000 	 -0.9000000 	 -3.0000000 	 2.5961000 	 0.0000000 	 0.0012000 	 0.0038000 	 0.0356000 	 0.0991000 	 3.0146000
