#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -2.2500000 	 1.6147000 	 0.0000000 	 0.0119000 	 0.0098000 	 0.0796000 	 0.0259000 	 0.9092000
6.9000000 	 -1.4000000 	 -2.0000000 	 1.2096000 	 0.0000000 	 0.0263000 	 0.0132000 	 0.1166000 	 0.0336000 	 1.0774000
6.9000000 	 -1.4000000 	 -1.7500000 	 0.9438000 	 0.0000000 	 0.0522000 	 0.0186000 	 0.1653000 	 0.0415000 	 1.2474000
6.9000000 	 -1.2750000 	 -2.2500000 	 1.6146000 	 0.0000000 	 0.0155000 	 0.0098000 	 0.0795000 	 0.0346000 	 0.9089000
6.9000000 	 -1.2750000 	 -2.0000000 	 1.2096000 	 0.0000000 	 0.0339000 	 0.0132000 	 0.1164000 	 0.0448000 	 1.0770000
6.9000000 	 -1.2750000 	 -1.7500000 	 0.9435000 	 0.0000000 	 0.0675000 	 0.0186000 	 0.1650000 	 0.0552000 	 1.2468000
6.9000000 	 -1.1500000 	 -2.2500000 	 1.6144000 	 0.0000000 	 0.0201000 	 0.0098000 	 0.0794000 	 0.0461000 	 0.9086000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.2096000 	 0.0000000 	 0.0440000 	 0.0132000 	 0.1163000 	 0.0597000 	 1.0765000
6.9000000 	 -1.1500000 	 -1.7500000 	 0.9436000 	 0.0000000 	 0.0875000 	 0.0186000 	 0.1646000 	 0.0735000 	 1.2459000
6.9000000 	 -1.0250000 	 -2.2500000 	 1.6152000 	 0.0000000 	 0.0260000 	 0.0098000 	 0.0793000 	 0.0614000 	 0.9082000
6.9000000 	 -1.0250000 	 -2.0000000 	 1.2094000 	 0.0000000 	 0.0569000 	 0.0132000 	 0.1160000 	 0.0795000 	 1.0758000
6.9000000 	 -1.0250000 	 -1.7500000 	 0.9432000 	 0.0000000 	 0.1137000 	 0.0186000 	 0.1642000 	 0.0977000 	 1.2448000
