#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -0.5250000 	 -4.0000000 	 40.1749000 	 0.0000000 	 0.0000000 	 0.1680000 	 0.0000000 	 0.0105000 	 0.0181000
6.9000000 	 -0.5250000 	 -3.7500000 	 28.4641000 	 0.0000000 	 0.0000000 	 0.1979000 	 0.0000000 	 0.0173000 	 0.0520000
6.9000000 	 -0.5250000 	 -3.5000000 	 19.0952000 	 0.0000000 	 0.0000000 	 0.2205000 	 0.0028000 	 0.0281000 	 0.1294000
6.9000000 	 -0.5250000 	 -3.2500000 	 12.4481000 	 0.0000000 	 0.0019000 	 0.2324000 	 0.0095000 	 0.0435000 	 0.2530000
6.9000000 	 -0.5250000 	 -3.0000000 	 7.8961000 	 0.0000000 	 0.0119000 	 0.2385000 	 0.0189000 	 0.0637000 	 0.3987000
6.9000000 	 -0.5250000 	 -2.7500000 	 4.9354000 	 0.0000000 	 0.0414000 	 0.2454000 	 0.0325000 	 0.0861000 	 0.5465000
6.9000000 	 -0.5250000 	 -2.5000000 	 3.1410000 	 0.0000000 	 0.1161000 	 0.2587000 	 0.0512000 	 0.1057000 	 0.6893000
6.9000000 	 -0.5250000 	 -2.2500000 	 2.0601000 	 0.0000000 	 0.2621000 	 0.2843000 	 0.0765000 	 0.1184000 	 0.8263000
6.9000000 	 -0.5250000 	 -2.0000000 	 1.4219000 	 0.0000000 	 0.4920000 	 0.3298000 	 0.1100000 	 0.1246000 	 0.9573000
6.9000000 	 -0.5250000 	 -1.7500000 	 1.0293000 	 0.0000000 	 0.8036000 	 0.4046000 	 0.1529000 	 0.1270000 	 1.0798000
6.9000000 	 -0.5250000 	 -1.5000000 	 0.7982000 	 0.0011000 	 1.1803000 	 0.5202000 	 0.2035000 	 0.1265000 	 1.1841000
6.9000000 	 -0.5250000 	 -1.2500000 	 0.6497000 	 0.0054000 	 1.5659000 	 0.6885000 	 0.2541000 	 0.1220000 	 1.2546000
