#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -4.0000000 	 40.2076000 	 0.0000000 	 0.0000000 	 0.1680000 	 0.0000000 	 0.0000000 	 0.0181000
6.9000000 	 -1.4000000 	 -3.7500000 	 28.4896000 	 0.0000000 	 0.0000000 	 0.1979000 	 0.0000000 	 0.0014000 	 0.0520000
6.9000000 	 -1.4000000 	 -3.5000000 	 19.1290000 	 0.0000000 	 0.0000000 	 0.2204000 	 0.0028000 	 0.0038000 	 0.1294000
6.9000000 	 -1.4000000 	 -3.2500000 	 12.4570000 	 0.0000000 	 0.0000000 	 0.2324000 	 0.0095000 	 0.0058000 	 0.2531000
6.9000000 	 -1.4000000 	 -3.0000000 	 7.8924000 	 0.0000000 	 0.0011000 	 0.2384000 	 0.0189000 	 0.0085000 	 0.3988000
6.9000000 	 -1.4000000 	 -2.7500000 	 4.9373000 	 0.0000000 	 0.0057000 	 0.2452000 	 0.0326000 	 0.0115000 	 0.5469000
6.9000000 	 -1.4000000 	 -2.5000000 	 3.1439000 	 0.0000000 	 0.0162000 	 0.2584000 	 0.0514000 	 0.0141000 	 0.6900000
6.9000000 	 -1.4000000 	 -2.2500000 	 2.0550000 	 0.0000000 	 0.0369000 	 0.2838000 	 0.0770000 	 0.0159000 	 0.8274000
6.9000000 	 -1.4000000 	 -1.7500000 	 1.0287000 	 0.0000000 	 0.1246000 	 0.4029000 	 0.1556000 	 0.0172000 	 1.0827000
6.9000000 	 -1.4000000 	 -1.5000000 	 0.7955000 	 0.0000000 	 0.1967000 	 0.5171000 	 0.2085000 	 0.0172000 	 1.1880000
6.9000000 	 -1.4000000 	 -1.2500000 	 0.6451000 	 0.0000000 	 0.2792000 	 0.6832000 	 0.2621000 	 0.0167000 	 1.2589000
6.9000000 	 -1.4000000 	 -1.0000000 	 0.5491000 	 0.0016000 	 0.3501000 	 0.9084000 	 0.3029000 	 0.0155000 	 1.2830000
6.9000000 	 -1.4000000 	 -0.7500000 	 0.4892000 	 0.0063000 	 0.3885000 	 1.1914000 	 0.3201000 	 0.0139000 	 1.2571000
6.9000000 	 -1.4000000 	 -0.5000000 	 0.4430000 	 0.0143000 	 0.3924000 	 1.5236000 	 0.3138000 	 0.0122000 	 1.1906000
6.9000000 	 -1.2750000 	 -4.0000000 	 40.2126000 	 0.0000000 	 0.0000000 	 0.1680000 	 0.0000000 	 0.0011000 	 0.0181000
6.9000000 	 -1.2750000 	 -3.7500000 	 28.4838000 	 0.0000000 	 0.0000000 	 0.1979000 	 0.0000000 	 0.0031000 	 0.0520000
6.9000000 	 -1.2750000 	 -3.5000000 	 19.1285000 	 0.0000000 	 0.0000000 	 0.2204000 	 0.0028000 	 0.0050000 	 0.1294000
6.9000000 	 -1.2750000 	 -3.2500000 	 12.4555000 	 0.0000000 	 0.0000000 	 0.2324000 	 0.0095000 	 0.0078000 	 0.2531000
6.9000000 	 -1.2750000 	 -3.0000000 	 7.8950000 	 0.0000000 	 0.0014000 	 0.2385000 	 0.0189000 	 0.0113000 	 0.3988000
6.9000000 	 -1.2750000 	 -2.7500000 	 4.9391000 	 0.0000000 	 0.0077000 	 0.2453000 	 0.0326000 	 0.0154000 	 0.5468000
6.9000000 	 -1.2750000 	 -2.5000000 	 3.1430000 	 0.0000000 	 0.0215000 	 0.2584000 	 0.0514000 	 0.0189000 	 0.6899000
6.9000000 	 -1.2750000 	 -2.2500000 	 2.0575000 	 0.0000000 	 0.0489000 	 0.2839000 	 0.0770000 	 0.0212000 	 0.8273000
6.9000000 	 -1.2750000 	 -2.0000000 	 1.4117000 	 0.0000000 	 0.0952000 	 0.3290000 	 0.1112000 	 0.0223000 	 0.9591000
6.9000000 	 -1.2750000 	 -1.7500000 	 1.0290000 	 0.0000000 	 0.1649000 	 0.4030000 	 0.1555000 	 0.0230000 	 1.0826000
6.9000000 	 -1.2750000 	 -1.5000000 	 0.7956000 	 0.0000000 	 0.2591000 	 0.5173000 	 0.2082000 	 0.0230000 	 1.1878000
6.9000000 	 -1.2750000 	 -1.2500000 	 0.6459000 	 0.0000000 	 0.3666000 	 0.6835000 	 0.2616000 	 0.0223000 	 1.2587000
6.9000000 	 -1.2750000 	 -1.0000000 	 0.5491000 	 0.0031000 	 0.4584000 	 0.9088000 	 0.3022000 	 0.0207000 	 1.2827000
6.9000000 	 -1.2750000 	 -0.7500000 	 0.4885000 	 0.0084000 	 0.5078000 	 1.1920000 	 0.3195000 	 0.0185000 	 1.2569000
6.9000000 	 -1.2750000 	 -0.5000000 	 0.4443000 	 0.0191000 	 0.5124000 	 1.5242000 	 0.3131000 	 0.0162000 	 1.1903000
6.9000000 	 -1.1500000 	 -4.0000000 	 40.2082000 	 0.0000000 	 0.0000000 	 0.1680000 	 0.0000000 	 0.0015000 	 0.0181000
6.9000000 	 -1.1500000 	 -3.7500000 	 28.4819000 	 0.0000000 	 0.0000000 	 0.1979000 	 0.0000000 	 0.0041000 	 0.0520000
6.9000000 	 -1.1500000 	 -3.5000000 	 19.1279000 	 0.0000000 	 0.0000000 	 0.2204000 	 0.0028000 	 0.0067000 	 0.1294000
6.9000000 	 -1.1500000 	 -3.2500000 	 12.4562000 	 0.0000000 	 0.0000000 	 0.2324000 	 0.0095000 	 0.0103000 	 0.2531000
6.9000000 	 -1.1500000 	 -3.0000000 	 7.9014000 	 0.0000000 	 0.0019000 	 0.2385000 	 0.0189000 	 0.0151000 	 0.3988000
6.9000000 	 -1.1500000 	 -2.7500000 	 4.9378000 	 0.0000000 	 0.0101000 	 0.2453000 	 0.0326000 	 0.0204000 	 0.5468000
6.9000000 	 -1.1500000 	 -2.5000000 	 3.1438000 	 0.0000000 	 0.0284000 	 0.2585000 	 0.0514000 	 0.0252000 	 0.6899000
6.9000000 	 -1.1500000 	 -2.2500000 	 2.0581000 	 0.0000000 	 0.0649000 	 0.2839000 	 0.0770000 	 0.0282000 	 0.8272000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.4136000 	 0.0000000 	 0.1261000 	 0.3291000 	 0.1112000 	 0.0298000 	 0.9590000
6.9000000 	 -1.1500000 	 -1.7500000 	 1.0297000 	 0.0000000 	 0.2175000 	 0.4031000 	 0.1552000 	 0.0306000 	 1.0823000
6.9000000 	 -1.1500000 	 -1.5000000 	 0.7958000 	 0.0000000 	 0.3403000 	 0.5175000 	 0.2079000 	 0.0306000 	 1.1875000
6.9000000 	 -1.1500000 	 -1.2500000 	 0.6456000 	 0.0000000 	 0.4790000 	 0.6839000 	 0.2610000 	 0.0297000 	 1.2584000
6.9000000 	 -1.1500000 	 -1.0000000 	 0.5497000 	 0.0041000 	 0.5964000 	 0.9094000 	 0.3015000 	 0.0275000 	 1.2824000
6.9000000 	 -1.1500000 	 -0.7500000 	 0.4873000 	 0.0111000 	 0.6591000 	 1.1927000 	 0.3186000 	 0.0246000 	 1.2565000
6.9000000 	 -1.1500000 	 -0.5000000 	 0.4417000 	 0.0253000 	 0.6642000 	 1.5252000 	 0.3123000 	 0.0216000 	 1.1899000
6.9000000 	 -1.0250000 	 -4.0000000 	 40.1951000 	 0.0000000 	 0.0000000 	 0.1680000 	 0.0000000 	 0.0033000 	 0.0181000
6.9000000 	 -1.0250000 	 -3.7500000 	 28.4814000 	 0.0000000 	 0.0000000 	 0.1979000 	 0.0000000 	 0.0055000 	 0.0520000
6.9000000 	 -1.0250000 	 -3.5000000 	 19.1623000 	 0.0000000 	 0.0000000 	 0.2205000 	 0.0028000 	 0.0088000 	 0.1294000
6.9000000 	 -1.0250000 	 -3.2500000 	 12.4565000 	 0.0000000 	 0.0000000 	 0.2324000 	 0.0095000 	 0.0138000 	 0.2530000
6.9000000 	 -1.0250000 	 -3.0000000 	 7.8945000 	 0.0000000 	 0.0038000 	 0.2385000 	 0.0189000 	 0.0201000 	 0.3988000
6.9000000 	 -1.0250000 	 -2.7500000 	 4.9373000 	 0.0000000 	 0.0134000 	 0.2453000 	 0.0326000 	 0.0272000 	 0.5467000
6.9000000 	 -1.0250000 	 -2.5000000 	 3.1410000 	 0.0000000 	 0.0376000 	 0.2585000 	 0.0514000 	 0.0335000 	 0.6898000
6.9000000 	 -1.0250000 	 -2.2500000 	 2.0574000 	 0.0000000 	 0.0860000 	 0.2839000 	 0.0769000 	 0.0376000 	 0.8271000
6.9000000 	 -1.0250000 	 -2.0000000 	 1.4136000 	 0.0000000 	 0.1668000 	 0.3292000 	 0.1111000 	 0.0397000 	 0.9588000
6.9000000 	 -1.0250000 	 -1.7500000 	 1.0296000 	 0.0000000 	 0.2860000 	 0.4033000 	 0.1551000 	 0.0407000 	 1.0821000
6.9000000 	 -1.0250000 	 -1.5000000 	 0.7961000 	 0.0000000 	 0.4446000 	 0.5178000 	 0.2074000 	 0.0407000 	 1.1871000
6.9000000 	 -1.0250000 	 -1.2500000 	 0.6457000 	 0.0012000 	 0.6215000 	 0.6845000 	 0.2603000 	 0.0395000 	 1.2580000
6.9000000 	 -1.0250000 	 -1.0000000 	 0.5506000 	 0.0054000 	 0.7698000 	 0.9102000 	 0.3005000 	 0.0366000 	 1.2819000
6.9000000 	 -1.0250000 	 -0.7500000 	 0.4865000 	 0.0147000 	 0.8478000 	 1.1937000 	 0.3175000 	 0.0327000 	 1.2560000
6.9000000 	 -1.0250000 	 -0.5000000 	 0.4447000 	 0.0335000 	 0.8529000 	 1.5264000 	 0.3112000 	 0.0287000 	 1.1894000
6.9000000 	 -0.9000000 	 -4.0000000 	 40.1941000 	 0.0000000 	 0.0000000 	 0.1680000 	 0.0000000 	 0.0044000 	 0.0181000
6.9000000 	 -0.9000000 	 -3.7500000 	 28.4792000 	 0.0000000 	 0.0000000 	 0.1979000 	 0.0000000 	 0.0073000 	 0.0520000
6.9000000 	 -0.9000000 	 -3.5000000 	 19.1582000 	 0.0000000 	 0.0000000 	 0.2205000 	 0.0028000 	 0.0118000 	 0.1294000
6.9000000 	 -0.9000000 	 -3.2500000 	 12.4530000 	 0.0000000 	 0.0000000 	 0.2324000 	 0.0095000 	 0.0183000 	 0.2530000
6.9000000 	 -0.9000000 	 -3.0000000 	 7.8939000 	 0.0000000 	 0.0051000 	 0.2385000 	 0.0189000 	 0.0269000 	 0.3988000
6.9000000 	 -0.9000000 	 -2.7500000 	 4.9369000 	 0.0000000 	 0.0178000 	 0.2453000 	 0.0326000 	 0.0363000 	 0.5467000
6.9000000 	 -0.9000000 	 -2.5000000 	 3.1426000 	 0.0000000 	 0.0498000 	 0.2585000 	 0.0514000 	 0.0447000 	 0.6897000
6.9000000 	 -0.9000000 	 -2.2500000 	 2.0629000 	 0.0000000 	 0.1140000 	 0.2840000 	 0.0769000 	 0.0502000 	 0.8270000
6.9000000 	 -0.9000000 	 -2.0000000 	 1.4126000 	 0.0000000 	 0.2200000 	 0.3292000 	 0.1109000 	 0.0529000 	 0.9586000
6.9000000 	 -0.9000000 	 -1.7500000 	 1.0298000 	 0.0000000 	 0.3744000 	 0.4035000 	 0.1547000 	 0.0541000 	 1.0817000
6.9000000 	 -0.9000000 	 -1.5000000 	 0.7962000 	 0.0000000 	 0.5768000 	 0.5182000 	 0.2068000 	 0.0542000 	 1.1867000
6.9000000 	 -0.9000000 	 -1.2500000 	 0.6482000 	 0.0016000 	 0.7992000 	 0.6854000 	 0.2593000 	 0.0525000 	 1.2573000
6.9000000 	 -0.9000000 	 -1.0000000 	 0.5510000 	 0.0072000 	 0.9830000 	 0.9113000 	 0.2992000 	 0.0487000 	 1.2814000
