#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log C/O: -1.4 - 0.6, log U: -4.0 - -0.5
# SED: post-AGB stars from Rauch T* = 50,000 K
# Plane-parallel geometry, stop criterion: 2% free electrons
#
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000 -1.4000 -4.0000 19.0664 0.0000 0.0000 0.0000 0.0000 0.0000 0.0017
6.9000 -1.4000 -3.5000 7.2711 0.0000 0.0000 0.0000 0.0000 0.0032 0.0187
6.9000 -1.4000 -3.2500 4.5077 0.0000 0.0000 0.0000 0.0016 0.0055 0.0572
6.9000 -1.4000 -3.0000 2.8230 0.0000 0.0000 0.0000 0.0070 0.0090 0.1500
6.9000 -1.4000 -2.7500 1.8241 0.0000 0.0000 0.0000 0.0187 0.0141 0.3166
6.9000 -1.4000 -2.5000 1.2444 0.0000 0.0000 0.0000 0.0393 0.0211 0.5344
6.9000 -1.4000 -2.2500 0.8903 0.0000 0.0000 0.0000 0.0700 0.0306 0.7688
6.9000 -1.4000 -2.0000 0.6737 0.0000 0.0000 0.0000 0.1116 0.0429 0.9981
6.9000 -1.4000 -1.7500 0.5338 0.0000 0.0000 0.0000 0.1638 0.0580 1.2153
6.9000 -1.4000 -1.5000 0.4426 0.0000 0.0017 0.0012 0.2248 0.0754 1.4175
6.9000 -1.4000 -1.2500 0.3751 0.0000 0.0051 0.0017 0.2908 0.0936 1.6017
6.9000 -1.4000 -1.0000 0.3235 0.0000 0.0097 0.0026 0.3575 0.1114 1.7651
6.9000 -1.4000 -0.7500 0.2842 0.0000 0.0175 0.0040 0.4214 0.1277 1.9071
6.9000 -1.4000 -0.5000 0.2532 0.0000 0.0306 0.0062 0.4805 0.1413 2.0277
7.0000 -1.4000 -3.7500 11.8122 0.0000 0.0000 0.0000 0.0000 0.0013 0.0071
7.0000 -1.4000 -3.5000 7.2558 0.0000 0.0000 0.0000 0.0000 0.0039 0.0234
7.0000 -1.4000 -3.2500 4.4886 0.0000 0.0000 0.0000 0.0019 0.0068 0.0715
7.0000 -1.4000 -3.0000 2.8133 0.0000 0.0000 0.0000 0.0086 0.0111 0.1872
7.0000 -1.4000 -2.7500 1.8174 0.0000 0.0000 0.0000 0.0229 0.0174 0.3947
7.0000 -1.4000 -2.5000 1.2396 0.0000 0.0000 0.0000 0.0482 0.0260 0.6657
7.0000 -1.4000 -2.2500 0.8863 0.0000 0.0000 0.0000 0.0854 0.0375 0.9568
7.0000 -1.4000 -2.0000 0.6699 0.0000 0.0000 0.0000 0.1355 0.0524 1.2409
7.0000 -1.4000 -1.7500 0.5315 0.0000 0.0000 0.0000 0.1981 0.0706 1.5095
7.0000 -1.4000 -1.5000 0.4392 0.0000 0.0031 0.0012 0.2707 0.0912 1.7584
7.0000 -1.4000 -1.2500 0.3708 0.0000 0.0062 0.0017 0.3490 0.1130 1.9848
7.0000 -1.4000 -1.0000 0.3207 0.0000 0.0116 0.0026 0.4278 0.1341 2.1846
7.0000 -1.4000 -0.7500 0.2824 0.0000 0.0210 0.0039 0.5035 0.1533 2.3585
7.0000 -1.4000 -0.5000 0.2512 0.0000 0.0365 0.0061 0.5741 0.1696 2.5075
7.0000 -1.4000 -4.0000 18.9727 0.0000 0.0000 0.0000 0.0000 0.0000 0.0021
7.1000 -1.4000 -3.7500 11.7920 0.0000 0.0000 0.0000 0.0000 0.0025 0.0088
7.1000 -1.4000 -3.5000 7.2047 0.0000 0.0000 0.0000 0.0000 0.0048 0.0292
7.1000 -1.4000 -3.2500 4.4790 0.0000 0.0000 0.0000 0.0024 0.0084 0.0891
7.1000 -1.4000 -3.0000 2.8227 0.0000 0.0000 0.0000 0.0106 0.0138 0.2332
