#Constrained by relation between 12+log(O/H), log(U) and log(C/O)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.1500000 	 -2.5000000 	 2.1197000 	 0.0000000 	 0.0065000 	 0.0067000 	 0.0499000 	 0.0331000 	 0.7318000
6.9000000 	 -1.1500000 	 -2.2500000 	 1.5749000 	 0.0000000 	 0.0164000 	 0.0088000 	 0.0763000 	 0.0455000 	 0.9022000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.2031000 	 0.0000000 	 0.0362000 	 0.0121000 	 0.1112000 	 0.0594000 	 1.0697000
6.9000000 	 -1.0250000 	 -2.5000000 	 2.1190000 	 0.0000000 	 0.0085000 	 0.0067000 	 0.0499000 	 0.0441000 	 0.7316000
6.9000000 	 -1.0250000 	 -2.2500000 	 1.5754000 	 0.0000000 	 0.0212000 	 0.0088000 	 0.0762000 	 0.0606000 	 0.9016000
6.9000000 	 -1.0250000 	 -2.0000000 	 1.2024000 	 0.0000000 	 0.0466000 	 0.0121000 	 0.1109000 	 0.0791000 	 1.0691000
6.9000000 	 -0.9000000 	 -2.5000000 	 2.1194000 	 0.0000000 	 0.0111000 	 0.0067000 	 0.0498000 	 0.0587000 	 0.7312000
6.9000000 	 -0.9000000 	 -2.2500000 	 1.5748000 	 0.0000000 	 0.0273000 	 0.0088000 	 0.0761000 	 0.0807000 	 0.9011000
6.9000000 	 -0.9000000 	 -2.0000000 	 1.2024000 	 0.0000000 	 0.0602000 	 0.0121000 	 0.1107000 	 0.1053000 	 1.0683000
7.0000000 	 -1.1500000 	 -2.5000000 	 2.1111000 	 0.0000000 	 0.0078000 	 0.0066000 	 0.0612000 	 0.0407000 	 0.9122000
7.0000000 	 -1.1500000 	 -2.2500000 	 1.5709000 	 0.0000000 	 0.0196000 	 0.0087000 	 0.0931000 	 0.0558000 	 1.1235000
7.0000000 	 -1.1500000 	 -2.0000000 	 1.1991000 	 0.0000000 	 0.0430000 	 0.0120000 	 0.1352000 	 0.0726000 	 1.3311000
7.0000000 	 -0.9000000 	 -2.5000000 	 2.1106000 	 0.0000000 	 0.0133000 	 0.0066000 	 0.0609000 	 0.0721000 	 0.9113000
7.0000000 	 -0.9000000 	 -2.2500000 	 1.5651000 	 0.0000000 	 0.0325000 	 0.0087000 	 0.0927000 	 0.0989000 	 1.1220000
7.0000000 	 -0.9000000 	 -2.0000000 	 1.2003000 	 0.0000000 	 0.0714000 	 0.0119000 	 0.1344000 	 0.1285000 	 1.3285000
7.2000000 	 -1.1500000 	 -2.5000000 	 2.0834000 	 0.0000000 	 0.0110000 	 0.0065000 	 0.0887000 	 0.0598000 	 1.4008000
7.2000000 	 -1.1500000 	 -2.2500000 	 1.5587000 	 0.0000000 	 0.0268000 	 0.0085000 	 0.1337000 	 0.0813000 	 1.7206000
7.2000000 	 -1.1500000 	 -2.0000000 	 1.1949000 	 0.0000000 	 0.0581000 	 0.0117000 	 0.1918000 	 0.1048000 	 2.0319000
7.2000000 	 -1.0250000 	 -2.5000000 	 2.0837000 	 0.0000000 	 0.0142000 	 0.0065000 	 0.0885000 	 0.0796000 	 1.3999000
7.2000000 	 -1.0250000 	 -2.2500000 	 1.5583000 	 0.0000000 	 0.0345000 	 0.0085000 	 0.1333000 	 0.1083000 	 1.7191000
7.2000000 	 -1.0250000 	 -2.0000000 	 1.1953000 	 0.0000000 	 0.0750000 	 0.0117000 	 0.1912000 	 0.1392000 	 2.0293000
7.2000000 	 -0.9000000 	 -2.5000000 	 2.0827000 	 0.0000000 	 0.0183000 	 0.0065000 	 0.0883000 	 0.1059000 	 1.3986000
7.2000000 	 -0.9000000 	 -2.2500000 	 1.5583000 	 0.0000000 	 0.0443000 	 0.0085000 	 0.1329000 	 0.1439000 	 1.7169000
7.2000000 	 -0.9000000 	 -2.0000000 	 1.1943000 	 0.0000000 	 0.0968000 	 0.0117000 	 0.1901000 	 0.1848000 	 2.0256000
7.3000000 	 -1.1500000 	 -2.5000000 	 2.0711000 	 0.0000000 	 0.0126000 	 0.0064000 	 0.1042000 	 0.0710000 	 1.7205000
7.3000000 	 -1.1500000 	 -2.2500000 	 1.5461000 	 0.0000000 	 0.0304000 	 0.0084000 	 0.1561000 	 0.0961000 	 2.1094000
7.3000000 	 -1.1500000 	 -2.0000000 	 1.1852000 	 0.0000000 	 0.0656000 	 0.0115000 	 0.2223000 	 0.1230000 	 2.4850000
7.3000000 	 -1.0250000 	 -2.5000000 	 2.0708000 	 0.0000000 	 0.0162000 	 0.0064000 	 0.1041000 	 0.0945000 	 1.7190000
7.3000000 	 -1.0250000 	 -2.2500000 	 1.5455000 	 0.0000000 	 0.0389000 	 0.0084000 	 0.1556000 	 0.1277000 	 2.1069000
