#Constrained by relation between 12+log(O/H) and log(U)
12+log(O/H)     	 log(C/O)        	 log(U)          	 Lya_1216        	 NV_1239         	 CIV_1549        	 HeII_1640       	 OIII_1665       	 CIII_1909       	 OIII_5007      
6.9000000 	 -1.4000000 	 -2.5000000 	 2.1191000 	 0.0000000 	 0.0038000 	 0.0067000 	 0.0500000 	 0.0186000 	 0.7321000
6.9000000 	 -1.4000000 	 -2.2500000 	 1.5753000 	 0.0000000 	 0.0098000 	 0.0088000 	 0.0765000 	 0.0257000 	 0.9026000
6.9000000 	 -1.4000000 	 -2.0000000 	 1.2034000 	 0.0000000 	 0.0219000 	 0.0121000 	 0.1115000 	 0.0336000 	 1.0708000
6.9000000 	 -1.2750000 	 -2.5000000 	 2.1195000 	 0.0000000 	 0.0049000 	 0.0067000 	 0.0500000 	 0.0248000 	 0.7320000
6.9000000 	 -1.2750000 	 -2.2500000 	 1.5753000 	 0.0000000 	 0.0128000 	 0.0088000 	 0.0763000 	 0.0341000 	 0.9024000
6.9000000 	 -1.2750000 	 -2.0000000 	 1.2034000 	 0.0000000 	 0.0281000 	 0.0121000 	 0.1113000 	 0.0447000 	 1.0703000
6.9000000 	 -1.1500000 	 -2.5000000 	 2.1197000 	 0.0000000 	 0.0065000 	 0.0067000 	 0.0499000 	 0.0331000 	 0.7318000
6.9000000 	 -1.1500000 	 -2.2500000 	 1.5749000 	 0.0000000 	 0.0164000 	 0.0088000 	 0.0763000 	 0.0455000 	 0.9022000
6.9000000 	 -1.1500000 	 -2.0000000 	 1.2031000 	 0.0000000 	 0.0362000 	 0.0121000 	 0.1112000 	 0.0594000 	 1.0697000
6.9000000 	 -1.0250000 	 -2.5000000 	 2.1190000 	 0.0000000 	 0.0085000 	 0.0067000 	 0.0499000 	 0.0441000 	 0.7316000
6.9000000 	 -1.0250000 	 -2.2500000 	 1.5754000 	 0.0000000 	 0.0212000 	 0.0088000 	 0.0762000 	 0.0606000 	 0.9016000
6.9000000 	 -1.0250000 	 -2.0000000 	 1.2024000 	 0.0000000 	 0.0466000 	 0.0121000 	 0.1109000 	 0.0791000 	 1.0691000
6.9000000 	 -0.9000000 	 -2.5000000 	 2.1194000 	 0.0000000 	 0.0111000 	 0.0067000 	 0.0498000 	 0.0587000 	 0.7312000
6.9000000 	 -0.9000000 	 -2.2500000 	 1.5748000 	 0.0000000 	 0.0273000 	 0.0088000 	 0.0761000 	 0.0807000 	 0.9011000
6.9000000 	 -0.9000000 	 -2.0000000 	 1.2024000 	 0.0000000 	 0.0602000 	 0.0121000 	 0.1107000 	 0.1053000 	 1.0683000
6.9000000 	 -0.7750000 	 -2.5000000 	 2.1185000 	 0.0000000 	 0.0143000 	 0.0067000 	 0.0498000 	 0.0782000 	 0.7308000
6.9000000 	 -0.7750000 	 -2.2500000 	 1.5746000 	 0.0000000 	 0.0353000 	 0.0088000 	 0.0759000 	 0.1074000 	 0.9004000
6.9000000 	 -0.7750000 	 -2.0000000 	 1.2021000 	 0.0000000 	 0.0778000 	 0.0121000 	 0.1103000 	 0.1400000 	 1.0669000
6.9000000 	 -0.6500000 	 -2.5000000 	 2.1188000 	 0.0000000 	 0.0185000 	 0.0067000 	 0.0496000 	 0.1041000 	 0.7302000
6.9000000 	 -0.6500000 	 -2.2500000 	 1.5748000 	 0.0000000 	 0.0455000 	 0.0088000 	 0.0756000 	 0.1428000 	 0.8993000
6.9000000 	 -0.6500000 	 -2.0000000 	 1.2016000 	 0.0000000 	 0.1008000 	 0.0121000 	 0.1097000 	 0.1858000 	 1.0652000
